headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_f1,ret_f2,ret_f3,ret_f4,ret_f5,ret_f6,ret_f7,ret_f8,ret_f9,ret_f10,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,Mkt-RF,SMB,HML,RF,Mkt-RF_1,SMB_1,HML_1,RF_1,date_1,Mkt-RF_2,SMB_2,HML_2,RF_2,date_2,Mkt-RF_3,SMB_3,HML_3,RF_3,date_3,Mkt-RF_4,SMB_4,HML_4,RF_4,date_4,Mkt-RF_5,SMB_5,HML_5,RF_5,date_5,Mkt-RF_6,SMB_6,HML_6,RF_6,date_6,Mkt-RF_7,SMB_7,HML_7,RF_7,date_7,Mkt-RF_8,SMB_8,HML_8,RF_8,date_8,Mkt-RF_9,SMB_9,HML_9,RF_9,date_9,Mkt-RF_10,SMB_10,HML_10,RF_10,date_10,index,b_mkt,b_smb,b_hml,er_FF3,ar_FF3,er_FF3_1,ar_FF3_1,er_FF3_2,ar_FF3_2,er_FF3_3,ar_FF3_3,er_FF3_4,ar_FF3_4,er_FF3_5,ar_FF3_5,er_FF3_6,ar_FF3_6,er_FF3_7,ar_FF3_7,er_FF3_8,ar_FF3_8,er_FF3_9,ar_FF3_9,er_FF3_10,ar_FF3_10,FF3_CAR_1,FF3_CAR_2,FF3_CAR_3,FF3_CAR_5,FF3_CAR_10
Agilent Companion Diagnostic Receives Expanded FDA Approval For PD-L1 IHC 22C3 PharmDx,2019-06-11,A,2019-06-11 11:58:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,-0.00284542003646493,-0.0156097412109375,-0.01354475878179073,0.003181490581482649,0.002837622771039605,-0.00482691265642643,0.002508742501959205,0.004337706603109837,0.002823889721184969,-0.003975449129939079,0.0123066334053874,2019-06-12,2019-06-13,2019-06-14,2019-06-17,2019-06-18,2019-06-19,2019-06-20,2019-06-21,2019-06-24,2019-06-25,-0.12,-0.25,0.55,0.009,-0.2,0.41,-0.99,0.009,2019-06-12,0.52,0.67,-0.04,0.009,2019-06-13,-0.27,-0.79,0.32,0.009,2019-06-14,0.15,0.63,-1.12,0.009,2019-06-17,1.04,0.16,0.33,0.009,2019-06-18,0.32,0.11,-0.6,0.009,2019-06-19,0.89,-0.36,-0.23,0.009,2019-06-20,-0.21,-0.47,-0.03,0.009,2019-06-21,-0.34,-0.9,0.08,0.009,2019-06-24,-0.98,0.34,0.71,0.009,2019-06-25,798304.0,0.9632,0.0862,-0.2972,-0.291594,0.2887485799635351,0.14593,-0.1615397412109375,0.579506,-0.5930507587817907,-0.414266,0.41744749058148267,0.5406500000000001,-0.5378123772289605,0.9264439999999998,-0.9312709126564263,0.505026,-0.5025172574980408,0.903572,-0.8992342933968902,-0.22486999999999996,0.22769388972118493,-0.419844,0.4158685508700609,-1.1166399999999999,1.1289466334053873,0.12720883875259759,-0.7545904999927282,-0.17560326820030803,-1.051635799303904,-0.5605133895547239
"Piper Jaffray Initiates Coverage On Agilent Technologies with Overweight Rating, Announces $83 Price Target",2019-06-11,A,2019-06-11 11:10:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,-0.00284542003646493,0.005393068306148052,0.0004876264429185539,-0.005523966625332832,0.00277735642157495,-0.0065168053843081,0.006395529489964247,0.002118316246196628,-0.0156097412109375,-0.01354475878179073,0.003181490581482649,2019-06-12,2019-06-13,2019-06-14,2019-06-17,2019-06-18,2019-06-19,2019-06-20,2019-06-21,2019-06-24,2019-06-25,-0.12,-0.25,0.55,0.009,-0.2,0.41,-0.99,0.009,2019-06-12,0.52,0.67,-0.04,0.009,2019-06-13,-0.27,-0.79,0.32,0.009,2019-06-14,0.15,0.63,-1.12,0.009,2019-06-17,1.04,0.16,0.33,0.009,2019-06-18,0.32,0.11,-0.6,0.009,2019-06-19,0.89,-0.36,-0.23,0.009,2019-06-20,-0.21,-0.47,-0.03,0.009,2019-06-21,-0.34,-0.9,0.08,0.009,2019-06-24,-0.98,0.34,0.71,0.009,2019-06-25,798304.0,0.9632,0.0862,-0.2972,-0.291594,0.2887485799635351,0.14593,-0.14053693169385195,0.579506,-0.5790183735570814,-0.414266,0.4087420333746672,0.5406500000000001,-0.5378726435784251,0.9264439999999998,-0.9329608053843079,0.505026,-0.49863047051003573,0.903572,-0.9014536837538034,-0.22486999999999996,0.20926025878906246,-0.419844,0.40629924121820926,-1.1166399999999999,1.1198214905814825,0.14821164826968314,-0.7195553052509334,-0.17027634018241422,-1.0620914155880659,-0.5976639690593926
"Applied Optoelectronics shares are trading higher after Rosenblatt upgraded the stock from Sell to Neutral, and announced a $10 per share price target.",2019-06-27,AAOI,2019-06-27 13:24:00+00:00,APPLIED OPTOELECTRONICS INC,14145.0,03823U10,0.1127503365278244,0.04100657626986504,0.01790508627891541,-0.007475817110389471,0.007532125804573298,0.01934918388724327,0.01757467538118362,-0.0392918772995472,-0.0242697037756443,0.01473982539027929,0.007262816186994314,2019-06-28,2019-07-01,2019-07-02,2019-07-03,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,0.6,1.42,-0.09,0.009,0.68,0.64,0.61,0.009,2019-06-28,0.75,-0.54,-0.13,0.009,2019-07-01,0.14,-0.79,-0.81,0.009,2019-07-02,0.78,-0.04,-0.33,0.009,2019-07-03,-0.1,0.16,0.91,0.009,2019-07-05,-0.58,-0.45,0.05,0.009,2019-07-08,0.18,-0.15,-0.43,0.009,2019-07-09,0.4,-0.15,-0.36,0.009,2019-07-10,0.19,-0.79,0.04,0.009,2019-07-11,0.53,0.18,0.41,0.009,2019-07-12,880870.0,1.4558,1.4869,0.0288,2.9912859999999997,-2.8785356634721753,1.9681280000000003,-1.9271214237301353,0.2941799999999997,-0.2762749137210843,-0.9851670000000001,0.9776911828896107,1.0755439999999998,-1.0680118741954265,0.12753200000000003,-0.10818281611275676,-1.5030289999999997,1.5206036753811834,0.035625,-0.0749168772995472,0.3579170000000001,-0.3821867037756444,-0.887897,0.9026368253902793,1.060024,-1.0527611838130058,-4.80565708720231,-2.2033963374512195,0.7014162691685264,-0.19850350741857264,0.8051929197705088
"Rosenblatt Upgrades Applied Optoelectronics to Neutral, Announces $10 Price Target",2019-06-27,AAOI,2019-06-27 11:19:00+00:00,APPLIED OPTOELECTRONICS INC,14145.0,03823U10,0.1127503365278244,-0.02192236855626106,-0.005172449629753828,0.0,-0.008232259191572666,-0.01179548073559999,-0.01414684299379587,0.00896864477545023,0.02666668407618999,0.002597379498183727,0.00129536644089967,2019-06-28,2019-07-01,2019-07-02,2019-07-03,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,0.6,1.42,-0.09,0.009,0.68,0.64,0.61,0.009,2019-06-28,0.75,-0.54,-0.13,0.009,2019-07-01,0.14,-0.79,-0.81,0.009,2019-07-02,0.78,-0.04,-0.33,0.009,2019-07-03,-0.1,0.16,0.91,0.009,2019-07-05,-0.58,-0.45,0.05,0.009,2019-07-08,0.18,-0.15,-0.43,0.009,2019-07-09,0.4,-0.15,-0.36,0.009,2019-07-10,0.19,-0.79,0.04,0.009,2019-07-11,0.53,0.18,0.41,0.009,2019-07-12,880870.0,1.4558,1.4869,0.0288,2.9912859999999997,-2.8785356634721753,1.9681280000000003,-1.9900503685562614,0.2941799999999997,-0.29935244962975355,-0.9851670000000001,0.9851670000000001,1.0755439999999998,-1.0837762591915725,0.12753200000000003,-0.13932748073560003,-1.5030289999999997,1.4888821570062039,0.035625,-0.026656355224549767,0.3579170000000001,-0.3312503159238101,-0.887897,0.8904943794981838,1.060024,-1.0587286335591004,-4.868586032028436,-2.289402818186015,0.6858145503702466,-0.2379367399271724,0.8234137510613275
"Goldman Sachs Upgrades AllianceBernstein Holding to Buy, Raises Price Target to $35",2019-06-12,AB,2019-06-12 10:47:00+00:00,ALLIANCEBERNSTEIN HOLDING L P,75278.0,01881G10,0.02850021980702877,-0.01015887968242168,0.009736813604831696,0.003127515083178878,-0.004936410114169121,0.01305483095347881,-0.01597935333848,0.002619132399559021,0.00496349111199379,0.01169734727591276,-0.001027674763463438,2019-06-13,2019-06-14,2019-06-17,2019-06-18,2019-06-19,2019-06-20,2019-06-21,2019-06-24,2019-06-25,2019-06-26,-0.2,0.41,-0.99,0.009,0.52,0.67,-0.04,0.009,2019-06-13,-0.27,-0.79,0.32,0.009,2019-06-14,0.15,0.63,-1.12,0.009,2019-06-17,1.04,0.16,0.33,0.009,2019-06-18,0.32,0.11,-0.6,0.009,2019-06-19,0.89,-0.36,-0.23,0.009,2019-06-20,-0.21,-0.47,-0.03,0.009,2019-06-21,-0.34,-0.9,0.08,0.009,2019-06-24,-0.98,0.34,0.71,0.009,2019-06-25,-0.06,-0.05,0.25,0.009,2019-06-26,804323.0,1.096,0.1726,0.8219,-0.953115,0.9816152198070288,0.6616860000000001,-0.6718448796824218,-0.16026600000000002,0.17000281360483172,-0.63839,0.6415175150831789,1.447683,-1.4526194101141692,-0.11443399999999992,0.12748883095347874,0.7332670000000001,-0.7492463533384801,-0.326939,0.329558132399559,-0.4532280000000001,0.45819149111199386,-0.4228470000000003,0.43454434727591307,0.140085,-0.14111267476346342,0.309770340124607,-0.5018420660775901,0.8115203286880106,-0.6836130640775115,0.4594237736390011
AbbVie Shares Tick Higher Over Last Few Mins. Following Mention Of Unusual Option Activity By Jon Najarian On CNBC's 'Fast Money: Halftime Report',2019-06-28,ABBV,2019-06-28 16:54:00+00:00,ABBVIE INC,13721.0,00287Y10,0.03885716199874878,0.07941962033510208,0.03643433749675751,0.06894199550151825,0.05619419366121292,-0.008766653947532177,0.02500761486589909,-0.05296044796705246,-0.02199185639619827,0.05525214597582817,-0.01187212765216827,2019-07-01,2019-07-02,2019-07-03,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,2019-07-15,0.68,0.64,0.61,0.009,0.75,-0.54,-0.13,0.009,2019-07-01,0.14,-0.79,-0.81,0.009,2019-07-02,0.78,-0.04,-0.33,0.009,2019-07-03,-0.1,0.16,0.91,0.009,2019-07-05,-0.58,-0.45,0.05,0.009,2019-07-08,0.18,-0.15,-0.43,0.009,2019-07-09,0.4,-0.15,-0.36,0.009,2019-07-10,0.19,-0.79,0.04,0.009,2019-07-11,0.53,0.18,0.41,0.009,2019-07-12,-0.04,-0.35,-1.07,0.009,2019-07-15,887894.0,0.8806,-0.3334,-0.2312,0.2534000000000001,-0.21454283800125135,0.8795419999999999,-0.8001223796648979,0.5829420000000001,-0.5465076625032426,0.7855000000000001,-0.7165580044984818,-0.342796,0.3989901936612129,-0.363278,0.3545113460524678,0.316934,-0.2919263851341009,0.49448200000000003,-0.5474424479670525,0.43045200000000006,-0.45244385639619833,0.3209140000000001,-0.2656618540241719,0.33785,-0.34972212765216826,-1.0146652176661493,-1.3466300421681403,-1.2630656670017244,0.036943535215198886,-1.5526853251212243
"AbbVie shares are trading higher, rebounding after dipping on Monday following the announcement that the company will acquire Allergan for $60 billion. SVB Leerink upgraded the stock from Market Perform to Outperform.",2019-06-26,ABBV,2019-06-26 13:33:00+00:00,ABBVIE INC,13721.0,00287Y10,0.03500765934586525,-0.05502200871706009,-0.0518738254904747,-0.1395712345838547,0.02335846237838268,-0.07684501260519028,-0.1524725556373596,0.0826580598950386,-0.1688623130321503,0.0061239218339324,-0.1471536159515381,2019-06-27,2019-06-28,2019-07-01,2019-07-02,2019-07-03,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,-0.06,-0.05,0.25,0.009,0.6,1.42,-0.09,0.009,2019-06-27,0.68,0.64,0.61,0.009,2019-06-28,0.75,-0.54,-0.13,0.009,2019-07-01,0.14,-0.79,-0.81,0.009,2019-07-02,0.78,-0.04,-0.33,0.009,2019-07-03,-0.1,0.16,0.91,0.009,2019-07-05,-0.58,-0.45,0.05,0.009,2019-07-08,0.18,-0.15,-0.43,0.009,2019-07-09,0.4,-0.15,-0.36,0.009,2019-07-10,0.19,-0.79,0.04,0.009,2019-07-11,873384.0,0.8609,-0.4567,-0.2919,-0.09279399999999999,0.12780165934586524,-0.09670299999999991,0.041680991282939825,0.12406500000000006,-0.17593882549047477,0.93924,-1.0788112345838548,0.726758,-0.7033995376216173,0.7950969999999999,-0.8719420126051902,-0.415791,0.2633184443626404,-0.299402,0.3820600598950386,0.35798399999999997,-0.5268463130321502,0.526949,-0.5208250781660676,0.521688,-0.6688416159515381,0.16948265062880508,-0.13425783420753495,-1.2547500600743295,-2.6541527848106625,-1.9430765154972671
SVB Leerink Upgrades AbbVie to Outperform,2019-06-26,ABBV,2019-06-26 11:24:00+00:00,ABBVIE INC,13721.0,00287Y10,0.03500765934586525,0.0122167281806469,0.01070662308484316,-0.02754230611026287,-0.02931280061602592,-0.02346455305814743,-0.03656497970223427,-0.0253741480410099,0.0157989077270031,0.04424965009093285,0.04845818132162094,2019-06-27,2019-06-28,2019-07-01,2019-07-02,2019-07-03,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,-0.06,-0.05,0.25,0.009,0.6,1.42,-0.09,0.009,2019-06-27,0.68,0.64,0.61,0.009,2019-06-28,0.75,-0.54,-0.13,0.009,2019-07-01,0.14,-0.79,-0.81,0.009,2019-07-02,0.78,-0.04,-0.33,0.009,2019-07-03,-0.1,0.16,0.91,0.009,2019-07-05,-0.58,-0.45,0.05,0.009,2019-07-08,0.18,-0.15,-0.43,0.009,2019-07-09,0.4,-0.15,-0.36,0.009,2019-07-10,0.19,-0.79,0.04,0.009,2019-07-11,873384.0,0.8609,-0.4567,-0.2919,-0.09279399999999999,0.12780165934586524,-0.09670299999999991,0.10891972818064681,0.12406500000000006,-0.1133583769151569,0.93924,-0.9667823061102628,0.726758,-0.7560708006160259,0.7950969999999999,-0.8185615530581474,-0.415791,0.37922602029776575,-0.299402,0.2740278519589901,0.35798399999999997,-0.34218509227299687,0.526949,-0.48269934990906715,0.521688,-0.4732298186783791,0.23672138752651206,-0.004438648734510095,-1.0801406830254197,-2.5414146597844365,-1.4634219416618346
AbbVie Receives Positive Recommendation From INESSS For The Combination VENCLEXTA With Rituximab As A Treatment For Patients With Chronic Lymphocytic Leukemia,2019-06-25,ABBV,2019-06-25 13:21:00+00:00,ABBVIE INC,13721.0,00287Y10,-0.1625239104032516,0.0122167281806469,0.01070662308484316,-0.02754230611026287,-0.02931280061602592,-0.02346455305814743,-0.03656497970223427,-0.0253741480410099,0.0157989077270031,0.04424965009093285,0.04845818132162094,2019-06-26,2019-06-27,2019-06-28,2019-07-01,2019-07-02,2019-07-03,2019-07-05,2019-07-08,2019-07-09,2019-07-10,-0.98,0.34,0.71,0.009,-0.06,-0.05,0.25,0.009,2019-06-26,0.6,1.42,-0.09,0.009,2019-06-27,0.68,0.64,0.61,0.009,2019-06-28,0.75,-0.54,-0.13,0.009,2019-07-01,0.14,-0.79,-0.81,0.009,2019-07-02,0.78,-0.04,-0.33,0.009,2019-07-03,-0.1,0.16,0.91,0.009,2019-07-05,-0.58,-0.45,0.05,0.009,2019-07-08,0.18,-0.15,-0.43,0.009,2019-07-09,0.4,-0.15,-0.36,0.009,2019-07-10,866133.0,0.8548,-0.4644,-0.3035,-1.202085,1.0395610895967484,-0.094943,0.1071597281806469,-0.1102529999999999,0.12095962308484307,0.10791300000000004,-0.1354553061102629,0.940331,-0.969643800616026,0.741383,-0.7648475530581474,0.794475,-0.8310399797022343,-0.42696900000000004,0.40159485195899014,-0.29297899999999993,0.30877790772700303,0.363029,-0.31877934990906714,0.52984,-0.48138181867837904,1.1467208177773953,0.22811935126548996,-0.014495683025419842,-1.869946659784436,-1.685675941661835
AbbVie CEO Says Feels Comfortable With Risk Related To Allergan's Opioid Exposure,2019-06-25,ABBV,2019-06-25 12:58:00+00:00,ABBVIE INC,13721.0,00287Y10,-0.1625239104032516,0.0122167281806469,0.01070662308484316,-0.02754230611026287,-0.02931280061602592,-0.02346455305814743,-0.03656497970223427,-0.0253741480410099,0.0157989077270031,0.04424965009093285,0.04845818132162094,2019-06-26,2019-06-27,2019-06-28,2019-07-01,2019-07-02,2019-07-03,2019-07-05,2019-07-08,2019-07-09,2019-07-10,-0.98,0.34,0.71,0.009,-0.06,-0.05,0.25,0.009,2019-06-26,0.6,1.42,-0.09,0.009,2019-06-27,0.68,0.64,0.61,0.009,2019-06-28,0.75,-0.54,-0.13,0.009,2019-07-01,0.14,-0.79,-0.81,0.009,2019-07-02,0.78,-0.04,-0.33,0.009,2019-07-03,-0.1,0.16,0.91,0.009,2019-07-05,-0.58,-0.45,0.05,0.009,2019-07-08,0.18,-0.15,-0.43,0.009,2019-07-09,0.4,-0.15,-0.36,0.009,2019-07-10,866133.0,0.8548,-0.4644,-0.3035,-1.202085,1.0395610895967484,-0.094943,0.1071597281806469,-0.1102529999999999,0.12095962308484307,0.10791300000000004,-0.1354553061102629,0.940331,-0.969643800616026,0.741383,-0.7648475530581474,0.794475,-0.8310399797022343,-0.42696900000000004,0.40159485195899014,-0.29297899999999993,0.30877790772700303,0.363029,-0.31877934990906714,0.52984,-0.48138181867837904,1.1467208177773953,0.22811935126548996,-0.014495683025419842,-1.869946659784436,-1.685675941661835
