headline type,magnitude,confidence,custom_id,company_name,headline,prompt_type,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,sum_exret_1,sum_exret_5,sum_exret_10
decrease,0.5,0.7,2753,NOMURA HOLDINGS INC,"""Brexit"" And The US-China Trade War Drag On European Freight Markets",1,,121,12,0.0,2019-09-04,89256.0,0.4784684628248214,6.9377983675189325,3.110050643921869,1.7241422086954117,4.556963670143399,4.822336425504448,1.2106,0.3486,0.7914,1.08,-0.22,0.43,0.009,-0.30569999999999997,5.149,1.4114
increase,0.6,0.8,1827,INTERNATIONAL BUSINESS MACHS COR,"""Deep Data"" To Become The Greatest Natural Resource, Tech Execs Say",1,,121,11,2.0,2019-01-08,12490.0,0.717683881521225,1.585580869499359,10.898770963516991,0.7074682973325253,4.6408623121305,2.5518639606785465,1.4219,0.473,0.9315,1.01,0.53,-0.63,0.01,0.659,0.678,8.8717
uncertain,0.4,0.6,1080,CANADIAN NATIONAL RAILWAY CO,"""Every Option"" On Table To End CN Strike, Canadian Minister Says",1,,126,12,1.0,2019-11-25,84181.0,1.583978347480297,-2.958973023637268,-1.0260752411344498,0.0996306189335882,-0.0883998118002549,-2.195780267789571,0.5419,-0.1933,0.7905,0.92,1.32,-0.38,0.006,1.2345,-2.1203000000000003,-1.1480000000000006
uncertain,0.2,0.6,2021,HUNT J B TRANSPORT SERVICES INC,"""FreightWaves Is Doing Some Pretty Cool Stuff""",1,,123,12,1.0,2019-09-20,42877.0,-0.6132321897894144,-2.724485720933112,-4.879544119293611,-1.343336421996355,-1.5837101252327068,-1.6521751988854194,0.9284,1.3686,0.9338,-0.48,0.29,0.15,0.009,0.765,-0.1058,-1.9996
decrease,0.6,0.8,3453,TEXTRON INC,"""Liquid nitrogen explosion at @TextronAviation @Beechcraft Plant III this morning sends 11 workers to the hospital. Authorities say no fatalities""",1,,134,12,0.0,2019-12-27,23579.0,0.2930592047050595,0.9467947044409007,1.5329130927429937,0.0221987589611671,-1.1411025970825106,-0.331861761164709,-1.5316,-1.3929,1.4572,-0.1,-0.53,-0.07,0.007,-0.2762,-0.8309,-2.2001999999999997
uncertain,0.2,0.5,1054,CALAMOS GLOBAL DYNAMIC INCOME FD,"""Nuclear Verdict"" Kills 540 Truck Carrier",1,,122,12,1.0,2019-10-14,92110.0,-0.3802247578278184,0.7604555605203345,2.281366704674781,0.2528481185436249,0.3797473076297963,1.797178093380647,0.3817,0.5083,0.7343,-0.18,-0.34,-0.04,0.007,-0.6353,0.22860000000000014,0.7777000000000001
uncertain,0.3,0.7,1123,ISHARES INC,"""Really tariffs, laws, have to originate with Congress, and I think you just can't declare emergencies on spending, on tariffs, also on arms sales,"" - Sen. Rand Paul on CNN",1,,142,12,1.0,2019-06-04,83223.0,0.6442765705287457,3.773583552888504,2.5077447330715374,-0.5824790336191654,-4.198479252691179,-2.8239618320341275,1.8514,0.4541,0.5999,2.33,0.42,-0.03,0.009,0.6694,2.5437000000000003,0.5381
increase,0.5,0.7,2847,TREEHOUSE FOODS INC,"""Shipper Of Choice"" TreeHouse Foods Bakes-In Driver Satisfaction",1,,120,11,2.0,2019-06-25,90775.0,-1.4584869146347046,2.5617032884931445,5.179507084269508,-0.9087604470551014,-1.2676580143790694,-2.8683423784521156,-1.9076,-1.4392,0.4928,-0.98,0.34,0.71,0.009,-2.8771,0.025900000000000034,2.222600000000001
increase,0.6,0.8,3160,X P O INC,"""Shipper Of Choice"" – It Can Be A Sweet Deal To Partner With Nestle",1,,122,11,2.0,2019-06-13,90175.0,-1.3045746833086014,0.2957003230493082,-4.226822545103581,0.9549527429044248,0.8640855830995386,4.1837113188820885,2.6058,1.8405,1.4564,0.52,0.67,-0.04,0.009,0.9202,-0.8930000000000001,-3.7918999999999987
uncertain,0.7,0.8,1235,P G & E CORP,$0 Or $40? PG&E Price Targets Reflect Uncertain Outlook On Wall Street,1,,125,12,1.0,2019-10-10,13688.0,2.9525095596909523,0.5134784597915054,-7.573814472553786,0.7339442614465952,-4.521743112134846,1.0119564779659471,-29.0528,-29.6158,0.8877,0.59,-0.4,0.26,0.007,-27.7622,-30.9602,-38.8431
increase,0.6,0.8,1069,ELECTRONIC ARTS INC,"$3M 'Apex Legends Global Series' To Start Next Month, Feature 12 Live Events",1,,128,11,2.0,2019-12-17,75828.0,1.2576849199831486,2.6477570230618364,1.5035426715907407,1.1190799996256828,0.5994908479608929,2.441864698720164,0.0284,-0.0863,1.0886,0.1,0.41,0.67,0.007,1.2187999999999999,1.45,-0.7715999999999996
decrease,0.7,0.8,2357,P G & E CORP,' Does nothing about existing liabilities.' -Jim Chanos (2/2),1,,123,12,0.0,2019-06-20,13688.0,-2.588038332760334,1.6122231526296993,-7.551967768729773,7.262285053730011,8.739415393037442,11.093080263993803,14.8076,14.1078,0.8247,0.89,-0.36,-0.23,0.009,11.684,17.1913,6.015799999999999
decrease,0.8,0.9,3688,P G & E CORP,"' PG&E Knew for Years Its Lines Could Spark Wildfires, And Didn't Fix Them' -Dow Jones",1,,130,12,0.0,2019-07-10,13688.0,-4.439247027039528,-13.785041700758406,-11.728973483529415,0.7363085635006428,0.4589190928019127,-2.1457372841654054,-2.2385,-2.5838,0.8394,0.4,-0.15,-0.36,0.009,-7.1915000000000004,-16.5686,-15.087900000000001
decrease,0.5,0.7,4294,WYNN RESORTS LTD,"' Wynn Resorts terminates ""all discussions with Crown Resorts concerning any transaction""' -CNBC",1,,126,12,0.0,2019-04-09,89533.0,1.2494654394686222,3.920728743260859,3.690937507683212,2.774232812225818,3.708747865026174,5.245950092799512,-3.8592,-2.855,1.5672,-0.65,-0.56,-0.14,0.01,-2.3678,-0.8403,-2.0639000000000003
uncertain,0.3,0.6,1029,SPDR DOW JONES IND AVG ETF TRUST,' believe the biggest banks are still too big to fail. See @MinneapolisFed plan to End TBTF. Fed liquidity rules forcing banks to have ample short-term liquidity makes banks safer- but not safe enough. They need a lot more capital. ' -Fed's Kashkari Tweet,1,,173,12,1.0,2019-04-11,85765.0,1.0214283131062984,1.6517114949880174,1.5674988850006066,0.0344141095411032,-0.6154529160330213,-0.9691087051106662,-0.0765,-0.0865,0.9521,0.0,-0.31,0.41,0.01,0.30610000000000004,1.0513,-0.25690000000000013
increase,0.6,0.8,3262,QUALCOMM INC,"'""We expect Apple will likely adopt 5G baseband chips made by Qualcomm (focus on mmWave markets) and Samsung (focus on Sub-6GHz markets) for lowering supply risk, reducing costs and having better bargaining power.""' -Tweet From CNBC Technology Reporter",1,,155,11,2.0,2019-04-22,77178.0,5.79480305314064,6.441379480808673,7.661337988877914,1.0242761112749577,13.39957856255818,39.716683334839395,2.6036,2.4889,0.9426,0.11,-0.46,-0.56,0.01,7.3594,7.6437,9.0667
increase,0.6,0.8,575,ALIBABA GROUP HOLDING LTD,'#Alibaba on Wednesday launched online market place #Taobao Taiwan by licensing the Taobao brand to a UK company's #Taiwan subsidiary' -Tweet From National Business Daily,1,,143,11,2.0,2019-10-24,14888.0,1.0199910029768944,2.387710894998918,8.177340272663391,0.0176577668753452,-2.074692355731056,0.4670922436253555,1.5478,1.1879,1.411,0.25,-0.26,-0.89,0.007,1.4813,2.294,5.3346
decrease,0.8,0.9,3573,P G & E CORP,'#BREAKING: CAL FIRE formally blames PG&E equipment for cause of deadly #CampFire in Paradise last year.' -Tweet From Editor For Comstock Mag,1,,140,12,0.0,2019-05-15,13688.0,0.6090842187404633,5.2048756718468425,-1.5503810181594302,0.7131161168217659,-1.2903213057228302,-5.11627783000791,-1.634,-2.0328,0.6676,0.58,0.05,-0.96,0.009,-2.0402,3.4108000000000005,-1.2561999999999993
uncertain,0.2,0.3,3554,LIBERTY ALL STAR EQUITY FD,"'#BREAKING: US Navy warship has seized a ""significant cache"" of suspected Iranian guided missile parts headed to rebels in Yemen' -Kann's Amichai Stein",1,,147,12,1.0,2019-12-04,70797.0,0.3053432097658515,0.3053431902011017,1.832059211119508,-0.6116202101111412,-1.2158043416240605,-1.365707912487768,0.7692,0.2403,0.8689,0.6,0.13,0.24,0.007,0.4257,-0.28730000000000006,-0.28110000000000007
uncertain,0.3,0.5,1614,ISHARES INC,"'#China is not the only victim of the #US' repeated trade bullying policies, China's Foreign Ministry spokesperson said, after the US announced plans to impose more tariffs on all goods coming from #Mexico.' -Tweet From China Global Times",1,,150,12,1.0,2019-05-31,83223.0,-0.5824790336191654,1.5144491295674856,3.308485647673809,1.4347553253173828,2.8637452198342572,1.689501529756865,-3.6372,-2.848,0.5971,-1.37,-0.22,-0.1,0.009,-3.2005999999999997,-3.8900999999999994,-2.408999999999999
uncertain,0.2,0.5,4751,ISHARES INC,"'#Turkey President @RTErdogan has spoken by phone with @POTUS and reconfirmed he'll visit the @WhiteHouse on Nov. 13, according to Turkish officials.' - Tweet From Steve Herman",1,,147,12,1.0,2019-11-06,92600.0,2.1301735192537308,3.274161354553917,6.232741134033426,-0.1591683598235249,0.8440554836932623,1.414714573511433,1.0363,1.0643,0.6752,-0.05,-0.72,0.23,0.006,2.9318999999999997,3.8364,6.3198
uncertain,0.2,0.5,4750,ISHARES INC,"'#Turkish Defence Minister Hulusi Akar: ""Despite the agreements with the #US and #Russia, the PKK/YPG has not withdrawn from the area and violated the agreements.""' -Tweet",1,,144,12,1.0,2019-11-07,92600.0,-0.4248694516718387,0.1545033702379017,4.364623730350314,1.036270335316658,0.8754525609970809,1.8890725156010648,2.1302,1.8676,0.6828,0.38,-0.14,0.51,0.006,1.225,1.7636,5.6808000000000005
increase,0.7,0.8,75,AETERNA ZENTARIS INC,'$AEZS Aeterna Zentaris receives European Commission Approval for Macimorelin for diagnosis of adult growth hormone deficiency.' -Tweet From TradeHawk,1,,142,11,2.0,2019-01-11,88240.0,5.691057816147804,-4.065043208107566,4.336038929518415,2.3598797619342804,3.5820933922793285,-0.5730655036903953,6.3401,6.34,0.9971,-0.01,0.12,0.22,0.01,12.619299999999999,0.5547999999999984,10.166399999999998
decrease,0.7,0.8,231,ATHERSYS INC,"'$ATHX is using the story of a stroke survivor to promote the development of an experimental stem cell therapy. But by doing so, the company has obscured the treatment's clinical trial failure' -STAT's Adam Feuerstein",1,,149,12,0.0,2019-06-26,92456.0,-4.848480224609375,-0.6060597138278001,-3.0302998859147112,-1.1428560130298138,-1.7045437954698706,-3.888885305589085,-4.6243,-4.5521,1.3572,-0.06,-0.05,0.25,0.009,-10.2103,-8.816600000000001,-11.424000000000001
decrease,0.7,0.8,380,BIOGEN INC,"'$BIIB Scorecard for its ""high RISK high reward"" R&D strategy. Pretty much everything except Spinraza on this pipeline chart from 2015 failed' -Tweet From Notable Biotech Source",1,,145,12,0.0,2019-03-21,76841.0,-4.482544958591461,2.6181250601672756,3.5966096139046,-0.9791244752705096,-1.5523017366774527,-2.8132291822270616,-29.2305,-30.3868,0.9119,1.11,0.3,-1.23,0.009,-32.8995,-26.146,-27.316
uncertain,0.2,0.5,1200,DILLARDS INC,"'$BYND is def not ""worth"" $200+ but it got here due to low float and expensive borrow.  (Long $DDS)' -Tweet From Mox Reports",1,,140,12,1.0,2019-07-25,49429.0,-0.2963862614706158,-11.89432448415263,-12.860819436664404,3.0417779460549355,1.283202855884058,-0.5292983617336544,-1.685,-1.2365,0.7315,-0.63,-0.66,-0.12,0.009,-2.1417,-12.2806,-12.781
decrease,0.5,0.7,2816,MCDONALDS CORP,'$BYND quick roll as $MCD #McDonalds says they are not planning to add #plantbased burger to menu' -HammerstoneMarkets Tweets,1,,141,12,0.0,2019-05-23,43449.0,-0.6031044758856297,0.231192087359533,3.876050236771289,0.0600532337557524,0.4874622950679086,0.3714514206604402,-0.4951,0.0113,0.3745,-1.37,-0.69,-0.28,0.009,-0.6869000000000001,1.1391999999999998,3.1592999999999996
decrease,0.7,0.8,587,CHEGG INC,"'$CHGG is the poster child for institutionalized academic cheating. tgt- $25 Cannot be disputed, cheating now matters   $CHGG activities illegal in 17 states...' -Tweet From Citron Research",1,,143,12,0.0,2019-03-22,14273.0,1.4417916536331177,3.699675289978366,0.7072963966377577,-3.1028596684336662,-4.433735307459541,-3.7845738048146393,-7.3122,-4.1013,1.5171,-2.17,-1.52,-0.07,0.009,-2.5927000000000002,-2.3709000000000002,-8.565800000000001
decrease,0.6,0.7,1262,ENPHASE ENERGY INC,'$ENPH $SEDG duopoly has come to an abrupt end...' -Tweet From Citron,1,,126,12,0.0,2019-09-12,13323.0,-0.5405443254858255,22.162162237978663,4.436931382369735,6.185561046004295,3.865546851931611,-2.677166284132249,-10.1942,-10.4851,1.274,0.22,-0.3,-0.13,0.009,-11.021899999999999,10.408900000000003,-3.126799999999996
decrease,0.6,0.8,931,CISCO SYSTEMS INC,"'$FNJN $CSCO Markman opinion issued in the Finjan vs Cisco Systems patent infringement lawsuit.  The court adopted all of Finjans proposed claim constructions, nice win for $FNJN.' -TradeHawk Tweets",1,,151,12,0.0,2019-02-06,76076.0,-1.642794348299503,0.0421240719927107,4.064870264164822,-0.1900742412544787,-0.1689941459908195,-0.0634438444133467,0.4655,0.7353,1.2684,-0.22,-0.02,0.07,0.01,0.26209999999999994,-0.44140000000000007,2.3206999999999995
decrease,0.5,0.7,1727,GILEAD SCIENCES INC,'$GILD's comment on M&A: late stage opportunities are few and far between.' -Tweet From Notable Biotech Investor Brad Loncar,1,,137,12,0.0,2019-02-04,77274.0,-3.3833015710115433,-3.4689511711345045,-4.696646487068435,0.0571359996683895,0.3150525756100863,0.6610241923603821,0.0,-0.6901,0.9432,0.72,0.49,-0.47,0.01,-4.489,-3.7224999999999997,-7.4376999999999995
decrease,0.6,0.8,1756,GENWORTH FINANCIAL INC,'$GNW down hard. Not much news we see other than Oceanwide's $1b LA development owing contractors $50m and still stalled due to financial troubles. Oceanwide also attempting to sell off their NYC development.' -Hindenberg Research Tweets,1,,161,12,0.0,2019-02-25,90162.0,-4.228857532143593,-3.233827638394593,-10.44776298389225,-5.2863385528326035,-4.231616653088466,-5.286338590935824,-6.5116,-6.6313,0.7277,0.15,-0.26,-0.18,0.01,-10.7537,-9.6963,-16.9072
