headline type,magnitude,confidence,custom_id,company_name,headline,prompt_type,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
decrease,0.6,0.8,26152,NOMURA HOLDINGS INC,"""Brexit"" And The US-China Trade War Drag On European Freight Markets",4,,139,35,0.0,2019-09-04,89256.0,1.21064679697156,0.4784684628248214,6.9377983675189325,3.110050643921869,1.7241422086954117,4.556963670143399,4.822336425504448
increase,0.75,0.85,18871,INTERNATIONAL BUSINESS MACHS COR,"""Deep Data"" To Become The Greatest Natural Resource, Tech Execs Say",4,,139,35,2.0,2019-01-08,12490.0,1.421921513974667,0.717683881521225,1.585580869499359,10.898770963516991,0.7074682973325253,4.6408623121305,2.5518639606785465
uncertain,0.4,0.6,13907,CANADIAN NATIONAL RAILWAY CO,"""Every Option"" On Table To End CN Strike, Canadian Minister Says",4,,144,35,1.0,2019-11-25,84181.0,0.5419216118752956,1.583978347480297,-2.958973023637268,-1.0260752411344498,0.0996306189335882,-0.0883998118002549,-2.195780267789571
uncertain,0.3,0.5,20296,HUNT J B TRANSPORT SERVICES INC,"""FreightWaves Is Doing Some Pretty Cool Stuff""",4,,141,35,1.0,2019-09-20,42877.0,0.928384717553854,-0.6132321897894144,-2.724485720933112,-4.879544119293611,-1.343336421996355,-1.5837101252327068,-1.6521751988854194
decrease,0.6,0.8,31461,TEXTRON INC,"""Liquid nitrogen explosion at @TextronAviation @Beechcraft Plant III this morning sends 11 workers to the hospital. Authorities say no fatalities""",4,,152,25,0.0,2019-12-27,23579.0,-1.531628519296646,0.2930592047050595,0.9467947044409007,1.5329130927429937,0.0221987589611671,-1.1411025970825106,-0.331861761164709
decrease,0.6,0.8,11656,CALAMOS GLOBAL DYNAMIC INCOME FD,"""Nuclear Verdict"" Kills 540 Truck Carrier",4,,140,35,0.0,2019-10-14,92110.0,0.381675991229713,-0.3802247578278184,0.7604555605203345,2.281366704674781,0.2528481185436249,0.3797473076297963,1.797178093380647
uncertain,0.3,0.6,12185,ISHARES INC,"""Really tariffs, laws, have to originate with Congress, and I think you just can't declare emergencies on spending, on tariffs, also on arms sales,"" - Sen. Rand Paul on CNN",4,,160,35,1.0,2019-06-04,83223.0,1.851420104503632,0.6442765705287457,3.773583552888504,2.5077447330715374,-0.5824790336191654,-4.198479252691179,-2.8239618320341275
increase,0.6,0.8,25977,TREEHOUSE FOODS INC,"""Shipper Of Choice"" TreeHouse Foods Bakes-In Driver Satisfaction",4,,138,35,2.0,2019-06-25,90775.0,-1.907558552920818,-1.4584869146347046,2.5617032884931445,5.179507084269508,-0.9087604470551014,-1.2676580143790694,-2.8683423784521156
increase,0.7,0.8,28481,X P O INC,"""Shipper Of Choice"" – It Can Be A Sweet Deal To Partner With Nestle",4,,140,35,2.0,2019-06-13,90175.0,2.60575208812952,-1.3045746833086014,0.2957003230493082,-4.226822545103581,0.9549527429044248,0.8640855830995386,4.1837113188820885
decrease,0.7,0.85,24774,MCDONALDS CORP,"""These are extraordinary times for @McDonalds, and it appears the current CEO is in denial of the realities of the business.  Until changes are made at the top, $MCD 's operating performance will continue to disappoint..."" -Hedgeye Tweets",4,,180,25,0.0,2019-02-06,43449.0,-0.7827981375157833,-0.5108377430588007,-1.152230025110268,3.763199714402332,0.011266838555457,0.4809903400072812,-0.6768046629602509
uncertain,0.7,0.8,13104,P G & E CORP,$0 Or $40? PG&E Price Targets Reflect Uncertain Outlook On Wall Street,4,,143,35,1.0,2019-10-10,13688.0,-29.052820801734917,2.9525095596909523,0.5134784597915054,-7.573814472553786,0.7339442614465952,-4.521743112134846,1.0119564779659471
increase,0.7,0.8,12389,ELECTRONIC ARTS INC,"$3M 'Apex Legends Global Series' To Start Next Month, Feature 12 Live Events",4,,146,35,2.0,2019-12-17,75828.0,0.0283756904536858,1.2576849199831486,2.6477570230618364,1.5035426715907407,1.1190799996256828,0.5994908479608929,2.441864698720164
