headline type,magnitude,confidence,custom_id,company_name,headline,prompt_type,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
decrease,0.25,0.65,26154,NOMURA HOLDINGS INC,"""Brexit"" And The US-China Trade War Drag On European Freight Markets",6,"weaker european freight markets driven by brexit and the us–china trade war signal softer global trade and economic activity that would likely weigh on nomura's trading, underwriting and advisory revenues, though the impact is indirect and probably moderate.",135,347,0.0,2019-09-04,89256.0,1.21064679697156,0.47846846282482,6.93779836751893,3.11005064392186,1.72414220869541,4.55696367014339,4.82233642550444
increase,0.2,0.75,13909,CANADIAN NATIONAL RAILWAY CO,"""Every Option"" On Table To End CN Strike, Canadian Minister Says",6,"government signalling that all options are on the table increases the likelihood of a rapid resolution to the cn strike, reducing operational disruption and protecting near-term revenue, which is positive for the stock.",140,268,2.0,2019-11-25,84181.0,0.54192161187529,1.5839783474802902,-2.95897302363726,-1.0260752411344398,0.09963061893358,-0.08839981180025,-2.19578026778957
uncertain,0.1,0.75,20298,HUNT J B TRANSPORT SERVICES INC,"""FreightWaves Is Doing Some Pretty Cool Stuff""",6,"positive news about freightwaves could indirectly help carriers like j.b. hunt by improving market data and visibility, but it is about a media/data company rather than j.b. hunt itself so any impact on the stock is indirect and likely very small/uncertain.",137,534,1.0,2019-09-20,42877.0,0.92838471755385,-0.61323218978941,-2.7244857209331097,-4.87954411929361,-1.34333642199635,-1.5837101252327,-1.65217519888541
uncertain,0.1,0.75,11658,CALAMOS GLOBAL DYNAMIC INCOME FD,"""Nuclear Verdict"" Kills 540 Truck Carrier",6,"a large punitive verdict against a truck carrier is a company- and sector-specific shock that could modestly widen credit spreads for transportation and insurance exposures, but calamos global dynamic income fund is diversified across asset classes and geographies so the net effect on the fund's price is uncertain and likely small.",136,547,1.0,2019-10-14,92110.0,0.38167599122971,-0.3802247578278099,0.7604555605203299,2.28136670467478,0.25284811854362,0.37974730762979,1.79717809338064
uncertain,0.05,0.75,12187,ISHARES INC,"""Really tariffs, laws, have to originate with Congress, and I think you just can't declare emergencies on spending, on tariffs, also on arms sales,"" - Sen. Rand Paul on CNN",6,"this is a general policy comment about tariffs and emergency powers with no direct link to ishares' etf business; any effect would be indirect via market/tariff uncertainty and likely very small or mixed, so the impact on ishares inc is uncertain and minimal.",156,470,1.0,2019-06-04,83223.0,1.8514201045036296,0.64427657052874,3.7735835528885,2.5077447330715303,-0.5824790336191601,-4.19847925269117,-2.82396183203412
increase,0.25,0.65,28483,X P O INC,"""Shipper Of Choice"" – It Can Be A Sweet Deal To Partner With Nestle",6,"being named a ‘shipper of choice’ for a large, stable customer like nestlé would likely boost xpo’s revenue visibility and asset utilization and produce positive market sentiment, though the effect is muted by potential pricing pressure and the uncertain size/timing of contracts.",136,341,2.0,2019-06-13,90175.0,2.60575208812952,-1.3045746833086,0.2957003230493,-4.2268225451035795,0.95495274290442,0.86408558309953,4.1837113188820805
uncertain,0.5,0.62,13106,P G & E CORP,$0 Or $40? PG&E Price Targets Reflect Uncertain Outlook On Wall Street,6,"widely divergent analyst targets ($0 to $40) signal strong disagreement and heightened uncertainty, likely driving volatility but providing no clear net directional pressure on pg&e’s stock price.",139,260,1.0,2019-10-10,13688.0,-29.052820801734917,2.95250955969095,0.5134784597915001,-7.573814472553781,0.73394426144659,-4.52174311213484,1.01195647796594
decrease,0.6,0.85,34725,P G & E CORP,"' PG&E Knew for Years Its Lines Could Spark Wildfires, And Didn't Fix Them' -Dow Jones",6,"the report implies negligence that raises legal, regulatory and financial liability risks (fines, settlements, higher insurance/capital costs) and damages investor confidence, which should pressure pg&e's stock price.",144,340,0.0,2019-07-10,13688.0,-2.23846398293972,-4.43924702703952,-13.7850417007584,-11.72897348352941,0.73630856350064,0.45891909280191,-2.1457372841654
uncertain,0.2,0.6,19522,ISHARES TRUST,"'#BREAKING UK PM to suspend parliament from Oct 8-14, according to Downing St' -AFP news agency Tweets",6,"a suspension of uk parliament raises political risk and could pressure uk equities and boost market volatility, but ishares trust is an etf issuer with diversified/global exposures so the net effect on its overall stock/asset flows is ambiguous and likely small.",144,471,1.0,2019-10-02,14907.0,-2.86357589066028,0.56310058571398,0.33123672876986,5.29976924000969,-1.11358696594834,-0.98757399121525,-1.01910733184336
decrease,0.6,0.85,33649,P G & E CORP,'#BREAKING: CAL FIRE formally blames PG&E equipment for cause of deadly #CampFire in Paradise last year.' -Tweet From Editor For Comstock Mag,6,"a formal finding that pg&e equipment caused the deadly camp fire raises legal, regulatory and financial liability risks and damages investor confidence, making a stock price decline likely.",154,264,0.0,2019-05-15,13688.0,-1.63399316370487,0.6090842187404599,5.20487567184684,-1.55038101815943,0.71311611682176,-1.29032130572283,-5.1162778300079
