"","question","model","prompt","mag_v_conf","ret","up.coef","down.coef","up.se","down.se","group_id","id","return_type"
"1","q1","gpt-3.5-turbo","base_blanks","magnitude","1-day",-3.26737096290612,2.33218123925048,2.00098516449428,0.694762400008055,"q1_magnitude_1-day_base_blanks",28,"abnormal_CAPM"
"2","q1","gpt-3.5-turbo","base_json","magnitude","1-day",-7.21555599414806,3.78758941862165,3.1204524453747,0.93861221204041,"q1_magnitude_1-day_base_json",29,"abnormal_CAPM"
"3","q1","gpt-3.5-turbo","cot1","magnitude","1-day",-6.90894903121746,3.96706868337009,1.92477265221633,1.1256860481586,"q1_magnitude_1-day_cot1",30,"abnormal_CAPM"
"4","q1","gpt-3.5-turbo","cot2","magnitude","1-day",-6.45577970876334,3.81844074157161,1.79683920244858,1.02031819874253,"q1_magnitude_1-day_cot2",31,"abnormal_CAPM"
"5","q1","gpt-3.5-turbo","cot3","magnitude","1-day",-7.51567224793291,5.05213961465063,2.20660022233837,1.00006798626529,"q1_magnitude_1-day_cot3",32,"abnormal_CAPM"
"6","q1","gpt-3.5-turbo","persona1","magnitude","1-day",-7.88312176130191,2.83503213487421,2.62569840064848,0.966572847665286,"q1_magnitude_1-day_persona1",33,"abnormal_CAPM"
"7","q1","gpt-3.5-turbo","persona2","magnitude","1-day",-6.8586193955058,2.56946563682876,2.01759341977918,0.904755340470784,"q1_magnitude_1-day_persona2",34,"abnormal_CAPM"
"8","q1","gpt-3.5-turbo","persona3","magnitude","1-day",-7.49465340740746,3.08583097494692,2.04366128811841,0.968814140567408,"q1_magnitude_1-day_persona3",35,"abnormal_CAPM"
"9","q1","gpt-3.5-turbo","persona4","magnitude","1-day",-4.62458527553373,8.61868506037746,1.30333156510584,1.62476409104233,"q1_magnitude_1-day_persona4",36,"abnormal_CAPM"
"10","q1","gpt-3.5-turbo","base_blanks","magnitude","5-day",-3.63809482428318,2.11872518938301,2.07280885533789,0.901519890107248,"q1_magnitude_5-day_base_blanks",46,"abnormal_CAPM"
"11","q1","gpt-3.5-turbo","base_json","magnitude","5-day",-6.97804116199312,3.35225612058469,3.1741913230985,1.10171171523592,"q1_magnitude_5-day_base_json",47,"abnormal_CAPM"
"12","q1","gpt-3.5-turbo","cot1","magnitude","5-day",-7.20533397424456,3.67776493596603,2.14451269856004,1.19694314779511,"q1_magnitude_5-day_cot1",48,"abnormal_CAPM"
"13","q1","gpt-3.5-turbo","cot2","magnitude","5-day",-6.92099649291809,2.78122162135731,2.03317043646318,1.26850519644425,"q1_magnitude_5-day_cot2",49,"abnormal_CAPM"
"14","q1","gpt-3.5-turbo","cot3","magnitude","5-day",-7.63080709235179,4.91217382531662,2.4707415538029,1.09660987183837,"q1_magnitude_5-day_cot3",50,"abnormal_CAPM"
"15","q1","gpt-3.5-turbo","persona1","magnitude","5-day",-7.81748100129372,3.22179972009443,2.80820123660375,1.05392658148672,"q1_magnitude_5-day_persona1",51,"abnormal_CAPM"
"16","q1","gpt-3.5-turbo","persona2","magnitude","5-day",-7.25685887442727,2.36476942227101,2.20122751836544,1.02822009570198,"q1_magnitude_5-day_persona2",52,"abnormal_CAPM"
"17","q1","gpt-3.5-turbo","persona3","magnitude","5-day",-7.7235127342396,2.70484955834499,2.24562586906939,1.15819735784397,"q1_magnitude_5-day_persona3",53,"abnormal_CAPM"
"18","q1","gpt-3.5-turbo","persona4","magnitude","5-day",-4.43890656408372,8.69982661032614,2.15644801833407,1.84396746783757,"q1_magnitude_5-day_persona4",54,"abnormal_CAPM"
"19","q1","gpt-3.5-turbo","base_blanks","magnitude","10-day",-3.96034129191618,1.20915742746868,2.23719984777599,1.01922085978459,"q1_magnitude_10-day_base_blanks",37,"abnormal_CAPM"
"20","q1","gpt-3.5-turbo","base_json","magnitude","10-day",-6.51133939187029,2.92197570820367,3.16853965680492,1.17897750112296,"q1_magnitude_10-day_base_json",38,"abnormal_CAPM"
"21","q1","gpt-3.5-turbo","cot1","magnitude","10-day",-6.95493304321656,3.19022593087853,2.13073439958837,1.27564670297428,"q1_magnitude_10-day_cot1",39,"abnormal_CAPM"
"22","q1","gpt-3.5-turbo","cot2","magnitude","10-day",-7.04462393786866,2.36426445026267,2.09377187514109,1.35336455188529,"q1_magnitude_10-day_cot2",40,"abnormal_CAPM"
"23","q1","gpt-3.5-turbo","cot3","magnitude","10-day",-6.86433243524613,4.5739185112674,2.4496356768128,1.22196913291314,"q1_magnitude_10-day_cot3",41,"abnormal_CAPM"
"24","q1","gpt-3.5-turbo","persona1","magnitude","10-day",-7.31510299722505,2.85253745121519,2.77852516014879,1.17943232366453,"q1_magnitude_10-day_persona1",42,"abnormal_CAPM"
