"","question","return","model","prompt","mag_v_conf","ret","up.coef","down.coef","up.se","down.se","group_id","id","return_type"
"1","q1",0.0508469629610664,"gpt-3.5-turbo","base_blanks","magnitude","1",0.731124397432898,-0.208016602759738,0.497437102919341,0.309333246012937,"q1_magnitude_1_base_blanks",37,"realized_fe"
"2","q1",0.0508469629610664,"gpt-3.5-turbo","base_json","magnitude","1",-0.125819872993983,0.257757990771359,0.347122512445151,0.386603525001358,"q1_magnitude_1_base_json",38,"realized_fe"
"3","q1",0.0508469629610664,"gpt-3.5-turbo","cot1","magnitude","1",0.150013963798289,0.530152360656437,0.305257767251326,0.390507873775832,"q1_magnitude_1_cot1",39,"realized_fe"
"4","q1",0.0508469629610664,"gpt-3.5-turbo","cot2","magnitude","1",0.110003326556486,0.566812010145801,0.299745809325249,0.387446638220638,"q1_magnitude_1_cot2",40,"realized_fe"
"5","q1",0.0508469629610664,"gpt-3.5-turbo","cot3","magnitude","1",0.466108747442632,1.48972997882901,292216.390485572,292216.390486045,"q1_magnitude_1_cot3",41,"realized_fe"
"6","q1",0.0508469629610664,"gpt-3.5-turbo","persona1","magnitude","1",-0.280526892693007,0.236670171209523,0.310708300807971,0.403423886148937,"q1_magnitude_1_persona1",42,"realized_fe"
"7","q1",0.0508469629610664,"gpt-3.5-turbo","persona2","magnitude","1",-0.363798031734172,0.363653144976503,0.320211227868262,0.417925451874229,"q1_magnitude_1_persona2",43,"realized_fe"
"8","q1",0.0508469629610664,"gpt-3.5-turbo","persona3","magnitude","1",-0.713345154323601,0.256138980887125,285984.834584805,285984.834584956,"q1_magnitude_1_persona3",44,"realized_fe"
"9","q1",0.0508469629610664,"gpt-3.5-turbo","persona4","magnitude","1",-0.773441608221286,-0.58313467814525,0.465359049382771,0.930639687475377,"q1_magnitude_1_persona4",45,"realized_fe"
"10","q1",0.0508469629610664,"gpt-3.5-turbo","base_blanks","confidence","1",0.531267887946971,-1.07606669818515,1.61214426542411,1.06378826452912,"q1_confidence_1_base_blanks",10,"realized_fe"
