"return_type","question","mag_v_conf","model","prompt","W","V","coef","se","t","return"
"Realized Returns","q1","magnitude","GPT-3.5","base_blanks","1 day","Positive",1.15325417459923,0.519770496116434,2.21877575433002,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","base_blanks","1 day","Negative",0.198895196150858,0.361000369681209,0.55095565781968,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","base_json","1 day","Positive",0.119363827719565,0.334010240119682,0.357365773207416,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","base_json","1 day","Negative",0.923933495025341,0.439777913574892,2.10090926921458,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","cot1","1 day","Positive",-0.11117791249078,0.285808861490638,-0.388993930807222,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","cot1","1 day","Negative",0.699667485244139,0.489083275055071,1.430569232132,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","cot2","1 day","Positive",-0.0942904934203256,0.272662835006729,-0.345813515134905,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","cot2","1 day","Negative",1.0667955149269,0.462432735456232,2.30692040837985,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","cot3","1 day","Positive",-0.358645338960432,0.336299392785399,-1.06644658496096,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","cot3","1 day","Negative",1.12923106339889,0.493815950226691,2.28674481429874,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","persona1","1 day","Positive",-0.197778129526326,0.28721263840166,-0.688612209500816,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","persona1","1 day","Negative",0.78899209442614,0.463011027690848,1.70404601022365,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","persona2","1 day","Positive",-0.311183828589894,0.235020041924332,-1.32407358130795,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","persona2","1 day","Negative",1.01405532959459,0.462386571433387,2.19308992138557,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","persona3","1 day","Positive",0.0199231701858891,0.247494322906831,0.0804995037942311,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","persona3","1 day","Negative",1.5779742113085,0.482818829448674,3.26825325580275,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","persona4","1 day","Positive",-0.566904699819158,0.374559709367093,-1.51352290607305,0.0508469629610664
"Realized Returns","q1","magnitude","GPT-3.5","persona4","1 day","Negative",0.424990013202241,1.06468809092091,0.399168561033347,0.0508469629610664
"Realized Returns","q1","confidence","GPT-3.5","base_blanks","1 day","Positive",1.56361638347177,1.43959414796962,1.08615083332832,0.0508469629610664
"Realized Returns","q1","confidence","GPT-3.5","base_blanks","1 day","Negative",0.745107366800881,0.685814089408935,1.08645677933366,0.0508469629610664
"Realized Returns","q1","confidence","GPT-3.5","base_json","1 day","Positive",-0.261424359189904,0.787769574021388,-0.33185384128939,0.0508469629610664
"Realized Returns","q1","confidence","GPT-3.5","base_json","1 day","Negative",0.143698909558921,1.51137888623987,0.0950780184024052,0.0508469629610664
"Realized Returns","q1","confidence","GPT-3.5","cot1","1 day","Positive",-0.20312185970645,0.650717296695261,-0.312150700062879,0.0508469629610664
