Unnamed: 0,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,headline type num,date,ticker,datetime_utc,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,headline_word_count
3839,AGILENT TECHNOLOGIES INC,PreMarket Prep Recap: Yo-Yo Market And After-Hours Overshoot On Ackman's New Stake,6,uncertain,0.6,0.3,"the news of ackman's new stake could have mixed effects on investor sentiment, leading to uncertainty.",1,2019-12-10,A,2019-12-10 17:58:00+00:00,87432.0,00846U10,0.0160499569028616,0.0059085716493427,0.0226696889091346,0.0094055082325479,0.0122994896769796,0.0285783525911482,0.0665274985125941,-0.1450621087523895,-0.0071766981855034,0.0011039365345755,0.0085259165780233,0.0158059022099081,0.0315975718026986,0.0826369989708373,0.0499959001697527,12
3847,AGILENT TECHNOLOGIES INC,UPDATE: Bill Ackman's Pershing Square Files Amended 13F Showing New ~2.916M Share Stake In Agilent,6,increase,0.8,0.7,"the new stake by bill ackman's pershing square indicates confidence in agilent technologies inc, potentially leading to increased investor sentiment.",2,2019-12-09,A,2019-12-09 21:12:00+00:00,87432.0,00846U10,-0.0071766981855034,0.0160499569028615,0.0220533608725337,0.0390834933419892,0.0346728023294362,0.0445969036598168,0.0935902675330839,-0.0354502259062012,0.008340491913259,0.015816122299737,0.0263420801208025,0.0178284322855042,0.0499360899934018,0.0961333203172438,0.0620851049215784,15
3855,AGILENT TECHNOLOGIES INC,Hearing Pershing Square Reports 2.9M Share Stake In Agilent,6,increase,0.8,0.7,"the report of pershing square acquiring a significant stake in agilent suggests confidence in the company's future prospects, likely leading to an increase in investor sentiment.",2,2019-12-09,A,2019-12-09 21:09:00+00:00,87432.0,00846U10,-0.0071766981855034,0.0160499569028615,0.0220533608725337,0.0390834933419892,0.0346728023294362,0.0445969036598168,0.0935902675330839,-0.0354502259062012,0.008340491913259,0.015816122299737,0.0263420801208025,0.0178284322855042,0.0499360899934018,0.0961333203172438,0.0620851049215784,9
3863,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics to Participate in Raymond James Technology Investors Conference Tuesday Dec. 10 At 3:35 p.m. ET,6,uncertain,0.6,0.3,"participation in the conference could potentially lead to increased visibility and investor interest, but the impact on sentiment is uncertain.",1,2019-12-03,AAOI,2019-12-03 21:11:00+00:00,14145.0,03823U10,-0.0336134135723114,0.0038647304754704,0.0106279857790687,0.0019323191941813,-0.0067633472786502,0.0859902773924912,0.3859903135920359,-0.1275362879937682,0.0009346008300781,0.0028089637210055,0.015165861785704,0.0458984634432744,-0.0142659691669312,-0.0129032643069341,0.0398058000319694,17
3871,ADVANCE AUTO PARTS INC,"Advance Auto Parts Announces Purchase Of DieHard Brand From Transformco , Utilizing $200M Cash On Hand",6,increase,0.8,0.7,the purchase of the diehard brand is a strategic move that could potentially boost advance auto parts' market position and revenue.,2,2019-12-23,AAP,2019-12-23 16:42:00+00:00,89217.0,00751Y10,0.0117000136524438,0.003750741481781,-0.0043758013817495,-0.0101268681882095,0.0011877379338949,-0.04257046585293,-0.1600300434447849,-0.5296106555036423,0.0104805687442421,0.0009531423951822,0.0012699591783993,0.0191393406105251,0.0230282550431788,-0.0655681449077311,-0.0137135627122655,16
3879,ADVANCE AUTO PARTS INC,'Advance Auto Parts to buy DieHard brand from Sears for $200 million in cash deal' -CNBC,6,increase,0.8,0.7,the acquisition of the diehard brand from sears for $200 million is likely to increase investor sentiment as it expands advance auto parts' product offerings and market presence.,2,2019-12-23,AAP,2019-12-23 15:02:00+00:00,89217.0,00751Y10,0.0117000136524438,0.003750741481781,-0.0043758013817495,-0.0101268681882095,0.0011877379338949,-0.04257046585293,-0.1600300434447849,-0.5296106555036423,0.0104805687442421,0.0009531423951822,0.0012699591783993,0.0191393406105251,0.0230282550431788,-0.0655681449077311,-0.0137135627122655,16
3887,ADVANCE AUTO PARTS INC,"Advance Auto Parts shares are trading higher in sympathy with AutoZone, which reported strong Q1 results.",6,increase,0.8,0.7,"the positive q1 results from autozone are likely to boost investor confidence in the auto parts industry as a whole, leading to an increase in sentiment towards advance auto parts inc.",2,2019-12-10,AAP,2019-12-10 15:46:00+00:00,89217.0,00751Y10,0.0303489509969949,-0.0017289125826209,-0.0003201835341207,-0.0061470927216811,0.0115899186854684,0.028568722672849,-0.0924356847872654,-0.1649485406071841,-0.0197257008403539,-0.0047277294775307,-0.0049891316482953,-0.0318108939046255,-0.0399061750565309,-0.084501031481832,-0.0342068503534275,16
3895,ABBVIE INC,"Cowen & Co. Maintains Outperform on AbbVie, Raises Price Target to $98",6,increase,0.8,0.7,cowen & co. maintaining an outperform rating and raising the price target suggests positive sentiment and potential growth for abbvie inc.,2,2019-12-26,ABBV,2019-12-26 13:27:00+00:00,13721.0,00287Y10,-0.0002225558564532,-0.0070133013650774,-0.0145831585539959,-0.0143604682249661,-0.0125793706061612,-0.0085717942461456,0.0688815378682319,-0.2386404940763407,-0.0044321496970951,0.0062716718793165,0.0121662936207684,-0.0025533234580238,0.0380083292896147,0.048914249695986,0.2038524558528414,12
3903,ABBVIE INC,AbbVie shares are trading higher. Not seeing any news to justify the price action.,6,uncertain,0.6,0.3,the lack of news to justify the price action makes it unclear whether the increase in abbvie shares will continue or reverse.,1,2019-12-20,ABBV,2019-12-20 16:44:00+00:00,13721.0,00287Y10,0.0058578830212354,0.0107514737173914,0.0062716718793163,0.0060477202255566,-0.0086236331913789,-0.0044798020430083,-0.0168104848485729,-0.1935190193827944,-0.0062689487822353,-0.0145426864849811,-0.0073801152683945,0.0004507298378091,0.0236392451698368,0.0815057814347255,0.2492719860947858,14
3911,ABBVIE INC,Abbvie Reaches An Agreement With The Pan-Canadian Pharmaceutical Alliance For The Combination Venclexta With Rituximab As A Treatment For Patients With Chronic Lymphocytic Leukemia,6,increase,0.8,0.7,"the agreement with the pan-canadian pharmaceutical alliance for the combination treatment is likely to be seen as a positive development, potentially increasing investor sentiment in abbvie inc.",2,2019-12-18,ABBV,2019-12-18 19:58:00+00:00,13721.0,00287Y10,-0.00832593254745,-0.0062689487822353,-0.0004477885296324,0.0102988708011517,0.0055972235961767,-0.0070525565599665,-0.0663711289386482,-0.1716455017656659,0.0072682714089751,0.0255009743940934,0.0152146786239886,0.040665484884125,0.0480512508818438,0.0854320282624485,0.2531064702902326,24
