custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
5066,AGILENT TECHNOLOGIES INC,"Bank of America Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $82",7,neutral,0.62,0.0,"the news includes a positive buy rating (positive) and a negative price target reduction, resulting in a mixed sentiment rather than a clear positive or negative stance.",146,1163,1.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5074,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also announced weak Q3 sales guidance.,7,negative,0.8,0.9,"the report of worse-than-expected q2 results and weak q3 guidance led to shares trading lower, indicating negative sentiment toward agilent technologies inc.",154,525,0.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5082,AGILENT TECHNOLOGIES INC,"Deutsche Bank Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $85",7,positive,0.65,0.45,"the buy rating is maintained, signaling a favorable view of agilent despite the price target being lowered.",146,704,2.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5090,AGILENT TECHNOLOGIES INC,"Barclays Maintains Overweight on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $86",7,positive,0.68,0.35,"barclays maintains an overweight rating on agilent, which is a positive signal, even though it lowers the price target to $86.",147,968,2.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5098,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also issued Q3 sales guidance below analyst estimates.,7,negative,0.78,0.8,"shares fell due to worse-than-expected q2 results and weak q3 guidance, signaling negative sentiment toward agilent technologies inc.",156,393,0.0,2019-05-14,87432.0,2.93879453092813,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059
5106,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q3 Adj. EPS $0.71-$0.73 vs $0.73 Est., Sales $1.225B-$1.245B vs $1.27B Est. Sees FY19 Adj. EPS $3.03-$3.07 vs $3.07 Est., Sales $5.085B-$5.125B vs $5.19B Est.",7,negative,0.68,0.57,"q3 and fy19 guidance miss consensus estimates on revenue and eps, signaling underwhelming performance relative to expectations.",207,900,0.0,2019-05-14,87432.0,2.93879453092813,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059
5114,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q2 Adj. EPS $0.71 Misses $0.72 Estimate, Sales $1.24B Miss $1.27B Estimate",7,negative,0.75,0.6,"both adjusted eps and sales missed estimates, signaling a weaker-than-expected quarter for agilent technologies.",156,512,0.0,2019-05-14,87432.0,2.93879453092813,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059
5122,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Management Q1 EPS $(0.56) Up From $(2.75) YoY,7,positive,0.78,0.8,"although q1 eps is still negative, it improved from -$2.75 to -$0.56 year over year, indicating a strong positive momentum.",147,1164,2.0,2019-05-08,14127.0,-6.5000019967556,-1.7276844009757,-9.62566939755803,-15.67256098028511,-1.88494231551885,-1.92380325876716,-4.2709862433842405
5130,ATLANTIC AMERICAN CORP,"Atlantic American Q1 EPS $0.19 Up From $(0.25) YoY, Sales $55.018M Up From $40.54M YoY",7,positive,0.8,0.75,"q1 eps improved from a year-ago loss to a positive 0.19 and revenue rose to 55.018m from 40.54m, indicating a meaningful positive turn for the company.",157,1046,2.0,2019-05-13,15580.0,-1.6546912491321502,0.0530933379195599,-4.03071219505601,-0.54314269806204,2.46503241360187,5.95320056566084,5.95320056566084
5138,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Posts Q1 Earnings Miss: What Analysts Have To Say,7,negative,0.78,0.65,"the headline reports an earnings miss for q1, indicating negative sentiment about the company's financial results.",143,575,0.0,2019-05-09,14145.0,-9.36981812119484,-2.01281122863292,-11.16194173138447,-18.938705928957532,-0.16555880429223,-4.96453256695802,-4.28571385863024
