question,month,model,file,return_type,response rows,prompt rows,empty headlines,duplicate headlines,rows in model sample,rows in all sample,model sample rows in batch,all sample rows in batch
3,jun,gpt-4o,base_blanks,realized,3198,3198,0,0,2869,2847,2869,2847
3,jun,gpt-3.5-turbo,base_blanks,realized,3222,3222,0,40,3206,2879,3166,2847
3,jun,gpt-4o-mini,base_blanks,realized,3222,3222,0,40,3221,2879,3181,2847
5,jun,gpt-4o,base_blanks,realized,3198,3198,0,0,2914,2907,2914,2907
4,jun,gpt-4o,base_blanks,realized,3198,3198,0,0,2951,2940,2951,2940
5,jun,gpt-3.5-turbo,base_blanks,realized,3222,3222,0,40,3220,2940,3180,2907
5,jun,gpt-4o-mini,base_blanks,realized,3222,3222,0,40,3222,2940,3182,2907
2,jun,gpt-4o,base_blanks,realized,3198,3198,0,0,2954,2943,2954,2943
4,jun,gpt-3.5-turbo,base_blanks,realized,3222,3222,1,40,3217,2969,3177,2940
4,jun,gpt-4o-mini,base_blanks,realized,3222,3222,0,40,3222,2969,3182,2940
2,jun,gpt-3.5-turbo,base_blanks,realized,3222,3222,0,40,3217,2977,3177,2943
2,jun,gpt-4o-mini,base_blanks,realized,3222,3222,0,40,3220,2977,3181,2943
3,mar,gpt-4o,base_blanks,realized,3519,3519,0,0,2993,2983,2993,2983
3,mar,gpt-3.5-turbo,base_blanks,realized,3515,3515,0,24,3514,3002,3490,2983
3,mar,gpt-4o-mini,base_blanks,realized,3515,3515,0,24,3514,3002,3490,2983
5,mar,gpt-4o,base_blanks,realized,3519,3519,0,0,3043,3034,3043,3034
5,mar,gpt-3.5-turbo,base_blanks,realized,3515,3515,0,24,3515,3055,3491,3034
5,mar,gpt-4o-mini,base_blanks,realized,3515,3515,0,24,3515,3055,3491,3034
2,mar,gpt-3.5-turbo,base_blanks,realized,3519,3519,0,0,3499,3085,3499,3085
2,mar,gpt-4o,base_blanks,realized,3519,3519,1,0,3093,3085,3093,3085
4,mar,gpt-4o,base_blanks,realized,3519,3519,0,0,3098,3090,3098,3090
2,mar,gpt-4o-mini,base_blanks,realized,3515,3515,0,24,3515,3106,3491,3085
4,mar,gpt-3.5-turbo,base_blanks,realized,3515,3515,0,24,3515,3112,3491,3090
4,mar,gpt-4o-mini,base_blanks,realized,3515,3515,0,24,3515,3112,3491,3090
1,jun,gpt-3.5-turbo,base_blanks,realized,3222,3222,0,40,3220,3220,3180,3180
1,jun,gpt-4o-mini,base_blanks,realized,3222,3222,0,40,3222,3220,3182,3180
1,jun,gpt-4o,base_blanks,realized,3222,3222,0,40,3222,3220,3182,3180
3,dec,gpt-3.5-turbo,base_blanks,realized,3834,3834,0,0,3815,3319,3815,3319
3,dec,gpt-4o,base_blanks,realized,3834,3834,0,0,3333,3319,3333,3319
3,dec,gpt-4o-mini,base_blanks,realized,3856,3856,0,30,3849,3343,3819,3319
3,feb,gpt-4o,base_blanks,realized,4563,4563,0,0,3450,3444,3450,3444
5,dec,gpt-3.5-turbo,base_blanks,realized,3834,3834,0,0,3824,3446,3824,3446
5,dec,gpt-4o,base_blanks,realized,3834,3834,0,0,3455,3446,3455,3446
3,feb,gpt-3.5-turbo,base_blanks,realized,4590,4590,0,35,4584,3472,4549,3444
3,feb,gpt-4o-mini,base_blanks,realized,4590,4590,0,35,4586,3472,4551,3444
5,dec,gpt-4o-mini,base_blanks,realized,3856,3856,0,30,3849,3472,3819,3446
1,mar,gpt-3.5-turbo,base_blanks,realized,3519,3519,0,0,3499,3489,3499,3489
4,dec,gpt-3.5-turbo,base_blanks,realized,3834,3834,0,0,3825,3497,3825,3497
4,dec,gpt-4o,base_blanks,realized,3834,3834,0,0,3505,3497,3505,3497
2,dec,gpt-3.5-turbo,base_blanks,realized,3834,3834,0,0,3821,3501,3821,3501
2,dec,gpt-4o,base_blanks,realized,3834,3834,0,0,3513,3501,3513,3501
1,mar,gpt-4o-mini,base_blanks,realized,3515,3515,0,24,3515,3513,3491,3489
1,mar,gpt-4o,base_blanks,realized,3515,3515,0,24,3514,3513,3490,3489
4,dec,gpt-4o-mini,base_blanks,realized,3856,3856,0,30,3849,3524,3819,3497
2,dec,gpt-4o-mini,base_blanks,realized,3856,3856,0,30,3849,3529,3819,3501
3,jan,gpt-4o,base_blanks,realized,4252,4252,0,0,3557,3545,3557,3545
3,apr,gpt-4o,base_blanks,realized,4377,4377,0,0,3586,3553,3586,3553
4,feb,gpt-4o,base_blanks,realized,4563,4563,0,0,3574,3569,3574,3569
3,apr,gpt-3.5-turbo,base_blanks,realized,4362,4362,0,25,4345,3575,4320,3553
3,apr,gpt-4o-mini,base_blanks,realized,4362,4362,0,25,4359,3575,4334,3553
3,sep,gpt-4o,base_blanks,realized,4125,4125,0,0,3600,3580,3600,3580
3,jan,gpt-3.5-turbo,base_blanks,realized,4294,4294,0,44,4273,3585,4229,3545
3,jan,gpt-4o-mini,base_blanks,realized,4294,4294,0,44,4292,3585,4248,3545
3,sep,gpt-3.5-turbo,base_blanks,realized,4130,4130,0,20,4120,3597,4100,3580
3,sep,gpt-4o-mini,base_blanks,realized,4130,4130,0,20,4128,3597,4108,3580
4,feb,gpt-3.5-turbo,base_blanks,realized,4590,4590,0,35,4586,3598,4551,3569
4,feb,gpt-4o-mini,base_blanks,realized,4590,4590,0,35,4588,3598,4553,3569
5,feb,gpt-4o,base_blanks,realized,4563,4563,0,0,3607,3604,3607,3604
2,feb,gpt-3.5-turbo,base_blanks,realized,4563,4563,0,0,4557,3607,4557,3607
2,feb,gpt-4o,base_blanks,realized,4563,4563,0,0,3612,3607,3612,3607
5,feb,gpt-3.5-turbo,base_blanks,realized,4590,4590,0,35,4587,3638,4552,3604
5,feb,gpt-4o-mini,base_blanks,realized,4590,4590,0,35,4588,3638,4553,3604
2,feb,gpt-4o-mini,base_blanks,realized,4590,4590,0,35,4588,3640,4553,3607
5,jan,gpt-4o,base_blanks,realized,4252,4252,0,0,3663,3659,3663,3659
5,apr,gpt-4o,base_blanks,realized,4377,4377,0,0,3706,3678,3706,3678
5,jan,gpt-3.5-turbo,base_blanks,realized,4294,4294,0,44,4288,3699,4244,3659
5,jan,gpt-4o-mini,base_blanks,realized,4294,4294,0,44,4292,3699,4248,3659
5,apr,gpt-3.5-turbo,base_blanks,realized,4362,4362,1,25,4355,3700,4330,3678
5,apr,gpt-4o-mini,base_blanks,realized,4362,4362,0,25,4361,3700,4336,3678
4,jan,gpt-4o,base_blanks,realized,4252,4252,0,0,3706,3705,3706,3705
1,dec,gpt-3.5-turbo,base_blanks,realized,3834,3834,0,0,3720,3713,3720,3713
2,jan,gpt-4o,base_blanks,realized,4252,4252,0,0,3726,3718,3726,3718
5,sep,gpt-4o,base_blanks,realized,4125,4125,0,0,3737,3722,3737,3722
2,apr,gpt-4o,base_blanks,realized,4377,4377,0,0,3758,3730,3758,3730
4,apr,gpt-4o,base_blanks,realized,4377,4377,0,0,3766,3739,3766,3739
1,dec,gpt-4o-mini,base_blanks,realized,3856,3856,0,30,3849,3740,3819,3713
1,dec,gpt-4o,base_blanks,realized,3856,3856,0,30,3849,3740,3819,3713
5,sep,gpt-3.5-turbo,base_blanks,realized,4130,4130,0,20,4127,3740,4107,3722
5,sep,gpt-4o-mini,base_blanks,realized,4130,4130,0,20,4129,3740,4109,3722
4,jan,gpt-3.5-turbo,base_blanks,realized,4294,4294,0,44,4291,3745,4247,3705
4,jan,gpt-4o-mini,base_blanks,realized,4294,4294,0,44,4292,3745,4248,3705
2,apr,gpt-3.5-turbo,base_blanks,realized,4362,4362,0,25,4356,3753,4331,3730
2,apr,gpt-4o-mini,base_blanks,realized,4362,4362,0,25,4361,3753,4336,3730
2,jan,gpt-3.5-turbo,base_blanks,realized,4294,4294,0,44,4283,3755,4239,3718
2,jan,gpt-4o-mini,base_blanks,realized,4294,4294,0,44,4292,3755,4248,3718
4,apr,gpt-3.5-turbo,base_blanks,realized,4362,4362,1,25,4356,3762,4331,3739
4,apr,gpt-4o-mini,base_blanks,realized,4362,4362,0,25,4361,3762,4336,3739
4,sep,gpt-4o,base_blanks,realized,4125,4125,0,0,3802,3787,3802,3787
2,sep,gpt-4o,base_blanks,realized,4125,4125,0,0,3809,3795,3809,3795
4,sep,gpt-3.5-turbo,base_blanks,realized,4130,4130,0,20,4127,3806,4107,3787
4,sep,gpt-4o-mini,base_blanks,realized,4130,4130,0,20,4129,3806,4109,3787
2,sep,gpt-3.5-turbo,base_blanks,realized,4130,4130,0,20,4127,3814,4107,3795
2,sep,gpt-4o-mini,base_blanks,realized,4130,4130,0,20,4129,3814,4109,3795
5,aug,gpt-4o,base_blanks,realized,4685,4685,0,0,3868,3857,3868,3857
5,aug,gpt-3.5-turbo,base_blanks,realized,4698,4698,0,27,4696,3880,4669,3857
5,aug,gpt-4o-mini,base_blanks,realized,4698,4698,0,27,4695,3880,4668,3857
2,aug,gpt-4o,base_blanks,realized,4685,4685,0,0,3907,3888,3907,3888
4,aug,gpt-4o,base_blanks,realized,4685,4685,0,0,3903,3892,3903,3892
3,may,gpt-4o,base_blanks,realized,5060,5060,0,0,3940,3908,3940,3908
2,aug,gpt-3.5-turbo,base_blanks,realized,4698,4698,0,27,4692,3911,4665,3888
2,aug,gpt-4o-mini,base_blanks,realized,4698,4698,0,27,4694,3911,4667,3888
4,aug,gpt-3.5-turbo,base_blanks,realized,4698,4698,0,27,4695,3914,4668,3892
4,aug,gpt-4o-mini,base_blanks,realized,4698,4698,0,27,4695,3914,4668,3892
3,may,gpt-3.5-turbo,base_blanks,realized,5066,5066,0,22,5043,3925,5021,3908
3,may,gpt-4o-mini,base_blanks,realized,5066,5066,0,22,5066,3925,5044,3908
5,may,gpt-4o,base_blanks,realized,5060,5060,0,0,4101,4087,4101,4087
5,may,gpt-3.5-turbo,base_blanks,realized,5066,5066,0,22,5063,4106,5041,4087
5,may,gpt-4o-mini,base_blanks,realized,5066,5066,0,22,5066,4106,5044,4087
1,sep,gpt-3.5-turbo,base_blanks,realized,4130,4130,0,20,4127,4126,4107,4106
1,sep,gpt-4o-mini,base_blanks,realized,4130,4130,0,20,4129,4126,4109,4106
1,sep,gpt-4o,base_blanks,realized,4130,4130,0,20,4128,4126,4108,4106
2,may,gpt-4o,base_blanks,realized,5060,5060,0,0,4171,4153,4171,4153
2,may,gpt-3.5-turbo,base_blanks,realized,5066,5066,0,22,5063,4172,5041,4153
2,may,gpt-4o-mini,base_blanks,realized,5066,5066,0,22,5063,4172,5041,4153
4,may,gpt-4o,base_blanks,realized,5060,5060,0,0,4195,4179,4195,4179
3,jul,gpt-4o,base_blanks,realized,5216,5216,0,0,4241,4194,4241,4194
4,may,gpt-3.5-turbo,base_blanks,realized,5066,5066,0,22,5061,4199,5039,4179
4,may,gpt-4o-mini,base_blanks,realized,5066,5066,0,22,5066,4199,5044,4179
3,nov,gpt-3.5-turbo,base_blanks,realized,5264,5264,0,0,5235,4219,5235,4219
3,nov,gpt-4o,base_blanks,realized,5264,5264,0,0,4248,4219,4248,4219
3,jul,gpt-3.5-turbo,base_blanks,realized,5216,5216,0,28,5181,4220,5153,4194
3,jul,gpt-4o-mini,base_blanks,realized,5216,5216,0,28,5203,4220,5175,4194
3,nov,gpt-4o-mini,base_blanks,realized,5254,5254,0,11,5249,4229,5238,4219
1,apr,gpt-3.5-turbo,base_blanks,realized,4362,4362,0,25,4359,4269,4334,4244
1,apr,gpt-4o-mini,base_blanks,realized,4362,4362,0,25,4360,4269,4335,4244
1,apr,gpt-4o,base_blanks,realized,4362,4362,0,25,4271,4269,4246,4244
1,jan,gpt-3.5-turbo,base_blanks,realized,4294,4294,0,44,4290,4290,4246,4246
1,jan,gpt-4o-mini,base_blanks,realized,4294,4294,0,44,4292,4290,4248,4246
1,jan,gpt-4o,base_blanks,realized,4294,4294,0,44,4292,4290,4248,4246
5,jul,gpt-4o,base_blanks,realized,5216,5216,0,0,4355,4327,4355,4327
5,jul,gpt-3.5-turbo,base_blanks,realized,5216,5216,0,28,5212,4354,5184,4327
5,jul,gpt-4o-mini,base_blanks,realized,5216,5216,0,28,5210,4354,5182,4327
5,nov,gpt-3.5-turbo,base_blanks,realized,5264,5264,0,0,5255,4402,5255,4402
5,nov,gpt-4o,base_blanks,realized,5264,5264,0,0,4421,4402,4421,4402
2,jul,gpt-4o,base_blanks,realized,5216,5216,0,0,4447,4413,4447,4413
5,nov,gpt-4o-mini,base_blanks,realized,5254,5254,0,11,5250,4413,5239,4402
4,jul,gpt-4o,base_blanks,realized,5216,5216,0,0,4464,4434,4464,4434
2,jul,gpt-3.5-turbo,base_blanks,realized,5216,5216,0,28,5206,4438,5178,4413
2,jul,gpt-4o-mini,base_blanks,realized,5216,5216,0,28,5207,4438,5179,4413
4,jul,gpt-3.5-turbo,base_blanks,realized,5216,5216,1,28,5209,4461,5181,4434
4,jul,gpt-4o-mini,base_blanks,realized,5216,5216,0,28,5212,4461,5184,4434
2,nov,gpt-3.5-turbo,base_blanks,realized,5264,5264,0,0,5254,4517,5254,4517
2,nov,gpt-4o,base_blanks,realized,5264,5264,0,0,4536,4517,4536,4517
2,nov,gpt-4o-mini,base_blanks,realized,5254,5254,0,11,5250,4528,5239,4517
4,nov,gpt-3.5-turbo,base_blanks,realized,5264,5264,0,0,5254,4542,5254,4542
4,nov,gpt-4o,base_blanks,realized,5264,5264,0,0,4560,4542,4560,4542
1,feb,gpt-3.5-turbo,base_blanks,realized,4563,4563,0,0,4558,4551,4558,4551
4,nov,gpt-4o-mini,base_blanks,realized,5254,5254,0,11,5250,4552,5239,4542
1,feb,gpt-4o-mini,base_blanks,realized,4590,4590,0,35,4587,4586,4552,4551
1,feb,gpt-4o,base_blanks,realized,4590,4590,0,35,4588,4586,4553,4551
3,aug,gpt-3.5-turbo,base_blanks,realized,4698,4698,0,27,4681,4674,4654,4647
3,aug,gpt-4o-mini,base_blanks,realized,4698,4698,0,27,4693,4674,4666,4647
3,aug,gpt-4o,base_blanks,realized,4698,4698,0,27,4692,4674,4665,4647
1,aug,gpt-3.5-turbo,base_blanks,realized,4698,4698,0,27,4692,4687,4665,4660
1,aug,gpt-4o-mini,base_blanks,realized,4698,4698,0,27,4694,4687,4667,4660
1,aug,gpt-4o,base_blanks,realized,4698,4698,0,27,4693,4687,4666,4660
1,may,gpt-3.5-turbo,base_blanks,realized,5066,5066,0,22,5063,5061,5041,5039
1,may,gpt-4o-mini,base_blanks,realized,5066,5066,0,22,5066,5061,5044,5039
1,may,gpt-4o,base_blanks,realized,5066,5066,0,22,5064,5061,5042,5039
1,jul,gpt-3.5-turbo,base_blanks,realized,5216,5216,0,28,5210,5194,5182,5166
1,jul,gpt-4o-mini,base_blanks,realized,5216,5216,0,28,5202,5194,5174,5166
1,jul,gpt-4o,base_blanks,realized,5216,5216,2,28,5209,5194,5181,5166
1,nov,gpt-3.5-turbo,base_blanks,realized,5264,5264,0,0,5253,5232,5253,5232
1,nov,gpt-4o-mini,base_blanks,realized,5254,5254,0,11,5250,5243,5239,5232
1,nov,gpt-4o,base_blanks,realized,5254,5254,0,11,5247,5243,5236,5232
3,oct,gpt-4o,base_blanks,realized,6442,6442,0,0,5327,5301,5327,5301
3,oct,gpt-3.5-turbo,base_blanks,realized,6478,6478,0,41,6433,5337,6392,5301
3,oct,gpt-4o-mini,base_blanks,realized,6478,6478,0,41,6469,5337,6428,5301
5,oct,gpt-4o,base_blanks,realized,6442,6442,0,0,5501,5497,5501,5497
5,oct,gpt-3.5-turbo,base_blanks,realized,6478,6478,0,41,6465,5532,6424,5497
5,oct,gpt-4o-mini,base_blanks,realized,6478,6478,0,41,6469,5532,6428,5497
4,oct,gpt-4o,base_blanks,realized,6442,6442,0,0,5623,5619,5623,5619
2,oct,gpt-4o,base_blanks,realized,6442,6442,0,0,5660,5655,5660,5655
