BillID,Year,Major,MajorText,Party,PassH,PassS,Description,Description_CBP,DW1,DW1_NA,Chamber,BillNum,BillType,Cong,Minor,MultNo,PLaw,ReportH,ReportS,Veto,ComC,CumHServ,MRef,NameFull,Postal,State
85-S-3759,1958,2,"Civil Rights, Minority Issues, and Civil Liberties",Democrat,0,0,A bill to provide further means of securing and protecting the right of persons within the jurisdiction of the several States to the equal protection of the laws and other civil rights guaranteed by the Constitution or laws of the United States.,A bill to provide further means of securing and protecting the right of persons within the jurisdiction of the several States to the equal protection of the laws and other civil rights guaranteed by the Constitution or laws of the United States.,-0.451,-0.451,Senate,3759,S,85,200.0,1.0,0,0,0,0,0.0,0.0,0,"Humphrey, Hube",MN,33
88-HR-12361,1964,11,"Law, Crime, and Family Issues",Democrat,0,0,To authorize the U.S. Secret Service to protect the persons of the nominees of the two major political parties for President and Vice President of the United States,To authorize the U.S. Secret Service to protect the persons of the nominees of the two major political parties for President and Vice President of the United States,-0.386,-0.386,House,12361,HR,88,1201.0,1.0,0,0,0,0,0.0,2.0,1,"Carey, Hugh L.",NY,13
101-HR-4544,1990,17,Foreign Trade,Republican,0,0,To suspend for a 3-year peroid the duty on DNCB.,To suspend for a 3-year peroid the duty on DNCB.,0.285,0.285,House,4544,HR,101,1807.0,1.0,0,0,0,0,0.0,2124.0,0,John McMillan,NC,47
100-S-1686,1987,4,Agriculture,Republican,0,0,A bill to amend the Internal Revenue Code of 1986 to defer the tax consequences of the repayment of a Commodity Credit Corporation loan with a generic commodity certificate.,A bill to amend the Internal Revenue Code of 1986 to defer the tax consequences of the repayment of a Commodity Credit Corporation loan with a generic commodity certificate.,0.27,0.27,Senate,1686,S,100,402.0,1.0,0,0,0,0,0.0,2163.0,0,Charles Grassley,IA,31
93-S-3181,1974,3,Health,Democrat,0,0,A bill to amend the Public Health Service Act to revise the National Health Service Corps programs and the Public Health and National Health Service Corps scholarship training program.,A bill to amend the Public Health Service Act to revise the National Health Service Corps programs and the Public Health and National Health Service Corps scholarship training program.,-0.48,-0.48,Senate,3181,S,93,325.0,1.0,0,0,0,0,0.0,0.0,0,Edward Kennedy,MA,3
95-HR-1172,1977,12,Social Welfare,Democrat,0,0,A bill to amend title II of the Social Security Act to reduce from 20 to 5 years the length of time a divorced women's marriage to an insured individual must have lasted in order for her to qualify for wife's or widow's benefits on his wage record.,A bill to amend title II of the Social Security Act to reduce from 20 to 5 years the length of time a divorced women's marriage to an insured individual must have lasted in order for her to qualify for wife's or widow's benefits on his wage record.,-0.584,-0.584,House,1172,HR,95,1303.0,1.0,0,0,0,0,0.0,1370.0,0,Frederick Richmond,NY,13
92-HR-14717,1972,6,Education,Republican,0,0,To improve the quality of child development programs by attracting and training personnel for those programs,To improve the quality of child development programs by attracting and training personnel for those programs,0.13,0.13,House,14717,HR,92,600.0,1.0,0,0,0,0,0.0,2.0,1,"Hansen, Orval H.",ID,63
84-S-591,1955,12,Social Welfare,Republican,0,0,A bill to amend title II of the Social Security Act so as to reduce to 60 years the age at which women may qualify for old-age and survivors insurance benefits.,A bill to amend title II of the Social Security Act so as to reduce to 60 years the age at which women may qualify for old-age and survivors insurance benefits.,0.128,0.128,Senate,591,S,84,1303.0,1.0,0,0,0,0,1.0,0.0,0,"Wiley, Alexand",WI,25
90-HR-1137,1967,15,Defense,Republican,0,0,To amend title 10 of the United States Code to prohibit contracting for construction of vessels for the U.S. Navy at places outside of the United States,To amend title 10 of the United States Code to prohibit contracting for construction of vessels for the U.S. Navy at places outside of the United States,0.184,0.184,House,1137,HR,90,1617.0,1.0,0,0,0,0,0.0,14.0,1,"Pelly, Thomas M.",WA,73
100-HR-4649,1988,8,Energy,Republican,0,0,A bill to require the Secretary of Energy to convey to the State of California by quitclaim deed certain lands in a naval petroleum reserve and to provide that money received from a naval petroleum reserve shall be treated the same as money received from other public lands.,A bill to require the Secretary of Energy to convey to the State of California by quitclaim deed certain lands in a naval petroleum reserve and to provide that money received from a naval petroleum reserve shall be treated the same as money received from other public lands.,0.367,0.367,House,4649,HR,100,803.0,2.0,0,0,0,0,0.0,5771.0,1,Robert Lagomarsino,CA,71
