Notes,,,,,,
"Any bill with mismatching Major, Pary, PassH, PassS, Chamber, Description are dropped",,,,,,
Bills are considered duplicates if they have the same description,,,,,,
"Variables in CBP with any missing values were dropped. For full list of variables in CBP, see http://congressionalbills.org/billfiles/billscodebook.xlsx",,,,,,
"Some variables were corrected, e.g., BillID and Chamber in CAP. For full details, see cleaning notebook",,,,,,
TODO: Update to match the github repo README.md file,,,,,,
,,,,,,
Link to data sources,,,,,,
CAP,https://comparativeagendas.s3.amazonaws.com/datasetfiles/US-Legislative-congressional_bills_19.3_3_3.csv,,,,,
CBP,"80th through 92: http://congressionalbills.org/billfiles/bills80-92.zip; 
93rd through 114th: http://congressionalbills.org/billfiles/bills93-114.zip",,,,,
ICPSR,Variable codes in CBP follows the coding scheme of ICPSR. The original link (http://www.icpsr.umich.edu/cgi-bin/file?comp=none&study=3371&ds=2&file_id=965434&path=ICPSR) doesn't work. Maybe they mean (https://www.icpsr.umich.edu/web/ICPSR/studies/3371)? TODO: correct this,,,,,
,,,,,,
,,,,,,
Variable Name,Variable Description (Values: Labels),Data Source,,,,
BillID,Corrected bill ID in the form Cong-BillType-BillNum,CAP,,,,
Year,Year of introduction,CAP,,,,
Major,"Recoded version of PAP2014/CAP major topic codes. Bills with missing major topic or major topic of 99 were excluded. For our recoding of major topic see majors.csv. For original PAP2014/CAP codes, see https://comparativeagendas.s3.amazonaws.com/codebookfiles/Codebook_PAP_2019.pdf",CAP,,,,
MajorText,Coressponding topic label of the Major code,CAP,,,,
Party,"Party code of the bill sponser at the time of introduction using ICPSR coding scheme (100: Democrat; 112: Conservative; 200: Republican, 328: Independent)",CAP,,,,
PassH,1: Passed House; 0: Otherwise,CAP,,,,
PassS,1: Passed Senate; 0: Otherwise,CAP,,,,
Description,Title bill with minor corrections,CAP,,,,
Description_CBP,Title bill with minor corrections from CBP,CBP,,,,
DW1,"Sponser's first dimension DW-NOMINATE score (i.e., sponser's score on liberal-conservative spectrum on economic matters). Missing values are included as Blank/NaNs",CBP,,,,
DW1_impute,Same as DW1 but replaces missing values for the sponser with the average of DW1 scores from all bills. ,CBP,,,,
Chamber,Recorded version of chamber in CAP + corrected coding for 114th congress. 0: House; 1: Senate,CAP,,,,
BillNum,Bill number,CBP,,,,
BillType,HR: house bill; S: senate bill; SRES: Senate resolution,CBP,,,,
Cong,Congress of introduction,CBP,,,,
Minor,Minor topic code following PAP coding scheme,CBP,,,,
MultNo,Number of referrals,CBP,,,,
PLaw,Public law (passed both and signed)?,CBP,,,,
ReportH,1: Reported by a House committee; 0: Otherwise,CBP,,,,
ReportS,1: Reported by a Senate committee; 0: Otherwise,CBP,,,,
Veto,1: Vetoed by the President; 0: Otherwise,CBP,,,,
ComC,Chair of any committee? (may be empty),CBP,,,,
CumHServ,Cumulative years of House service at intro.,CBP,,,,
MRef,Member of any committee to which the bill was referred?,CBP,,,,
NameFull,Sponser's Full name,CBP,,,,
Postal,"Postal code of home state, e.g. AK, AL, AR, …",CBP,,,,
State,"Numeric code of home state using ICPSR coding, e.g., 0: Not categorized (AS, GU, MP, PR, VI); 1: CT, 2: ME, …",CBP,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
