,index,Major,MajorText
0,0,1,Macroeconomics
1,250,2,"Civil Rights, Minority Issues, and Civil Liberties"
2,329,3,Health
3,400,4,Agriculture
4,550,5,Labor and Employment
5,720,6,Education
6,860,7,Environment
7,909,8,Energy
8,950,9,Immigration
9,1110,10,Transportation
10,1339,11,"Law, Crime, and Family Issues"
11,1540,12,Social Welfare
12,1645,13,Community Development and Housing Issues
13,1779,14,"Banking, Finance, and Domestic Commerce"
14,1966,15,Defense
15,3096,16,"Space, Science, Technology, and Communications"
16,3119,17,Foreign Trade
17,3168,18,International Affairs and Foreign Aid
18,3246,19,Government Operations
19,4067,20,Public Lands and Water Management
