BillID,Year,Major,MajorText,Party,PassH,PassS,Description,Description_CBP,DW1,DW1_impute,Chamber,BillNum,BillType,Cong,Minor,MultNo,PLaw,ReportH,ReportS,Veto,ComC,CumHServ,MRef,NameFull,Postal,State
88-S-1173,1963,20,Public Lands and Water Management,100.0,0,0,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,-0.243,-0.243,1,1173,S,88,2104.0,1.0,0,0,0,0,0.0,12000.0,0,"MONRONEY, ALMER STILLWELL",OK,53.0
92-S-3392,1972,16,"Space, Science, Technology, and Communications",100.0,0,0,A bill to amend the National Science Foundation Act of 1950 so as to provide for a program relating to earthquakes,A bill to amend the National Science Foundation Act of 1950 so as to provide for a program relating to earthquakes,-0.441,-0.441,1,3392,S,92,1798.0,1.0,0,0,0,0,0.0,0.0,0,"CRANSTON, ALAN",CA,71.0
83-HR-3888,1953,2,"Civil Rights, Minority Issues, and Civil Liberties",100.0,0,0,To protect the right to political participation,To protect the right to political participation,-0.658,-0.658,0,3888,HR,83,206.0,1.0,0,0,0,0,0.0,3.667,1,"Roosevelt, Franklin D.Jr.",NY,13.0
91-HR-6953,1969,19,Government Operations,200.0,0,0,"To abolish the Commission on Executive, Legislative, sand Judicial Salaries established by section 225 of the Federal Salary Act of 1967, and far other purposes","To abolish the Commission on Executive, Legislative, sand Judicial Salaries established by section 225 of the Federal Salary Act of 1967, and far other purposes",0.25,0.25,0,6953,HR,91,2004.0,1.0,0,0,0,0,0.0,4.0,1,"Conable, Barber B. Jr.",NY,13.0
92-S-2956,1971,15,Defense,200.0,1,1,A bill to make rules governing the use of the Armed Forces of the United States in the absence of a declaration of war by the Congress,A bill to make rules governing the use of the Armed Forces of the United States in the absence of a declaration of war by the Congress,-0.319,-0.319,1,2956,S,92,1600.0,1.0,0,1,1,0,0.0,8000.0,1,"JAVITS, JACOB KOPPEL",NY,13.0
113-HR-1855,2013,15,Defense,100.0,0,0,"To require the Secretary of Defense to establish a process to determine whether individuals claiming certain service in the Philippines during World War II are eligible for certain benefits despite not being on the Missouri List, and for other purposes.","To require the Secretary of Defense to establish a process to determine whether individuals claiming certain service in the Philippines during World War II are eligible for certain benefits despite not being on the Missouri List, and for other purposes.",-0.341,-0.341,0,1855,HR,113,1609.0,2.0,0,0,0,0,0.0,729.0,1,Colleen Hanabusa,HI,82.0
90-S-2512,1967,19,Government Operations,100.0,0,0,"A bill to provide financial assistance to candidates for President and Vice President and candidates for the Senate and House of Representatives to assist in defraying their election campaign expenses, and to repeal the Presidential Election Campaign Fund","A bill to provide financial assistance to candidates for President and Vice President and candidates for the Senate and House of Representatives to assist in defraying their election campaign expenses, and to repeal the Presidential Election Campaign Fund",-0.44,-0.44,1,2512,S,90,2012.0,1.0,0,0,0,0,0.0,8000.0,1,"Metcalf, Lee  ",MT,64.0
90-HR-17650,1968,20,Public Lands and Water Management,100.0,0,0,To declare that certain federally owned lands are held by the United States in trust for the Indians of the Pueblo of Laguna,To declare that certain federally owned lands are held by the United States in trust for the Indians of the Pueblo of Laguna,-0.117,-0.117,0,17650,HR,90,2102.0,1.0,0,0,0,0,0.0,8.0,1,"Morris, Thomas G.",NM,66.0
80-S-29,1947,15,Defense,100.0,0,0,A bill to authorize payment of claims based on loss of or damage to property deposited by alien enemies,A bill to authorize payment of claims based on loss of or damage to property deposited by alien enemies,,-0.0002153380151543,1,29,S,80,1620.0,1.0,0,0,0,0,1.0,0.0,1,"McCarran, Patr",NV,65.0
96-S-2794,1980,8,Energy,100.0,0,0,A bill to amend the Internal Revenue Code of 1954 to provide a tax credit to home builders for the construction of residences incorporating certain solar energy utilization characteristics.,A bill to amend the Internal Revenue Code of 1954 to provide a tax credit to home builders for the construction of residences incorporating certain solar energy utilization characteristics.,-0.411,-0.411,1,2794,S,96,806.0,1.0,0,0,0,0,0.0,0.0,0,Gary Hart,CO,62.0
