,headline_,confidence_mean,confidence_std,magnitude_mean,magnitude_std,headline type num_mean,headline type num_std,headline type num_nunique
0,"""Liquid nitrogen explosion at @TextronAviation @Beechcraft Plant III this morning sends 11 workers to the hospital. Authorities say no fatalities""",0.8111111111111112,0.060092521257733185,0.7222222222222222,0.17873008824606013,0.1111111111111111,0.33333333333333337,2
1,"$3M 'Apex Legends Global Series' To Start Next Month, Feature 12 Live Events",0.8666666666666667,0.04999999999999998,0.7555555555555555,0.07264831572567794,2.0,0.0,1
2,"'#BREAKING: US Navy warship has seized a ""significant cache"" of suspected Iranian guided missile parts headed to rebels in Yemen' -Kann's Amichai Stein",0.7666666666666667,0.11180339887498952,0.43333333333333335,0.4153311931459038,0.4444444444444444,0.5270462766947299,2
3,'@TMobile - @sprint discuss last-minute settlement negotiations w NY Ags...' -Tweet From FOX Business' Charlie Gasparino,0.6833333333333332,0.07071067811865477,0.05,0.1,1.0,0.0,1
4,"'@ViacomCBS chief Bob Bakish indicates to employees at last week's Town Hall he's open to selling the newly combined company. Responding to a question, Bakish quipped a big tech company should ""put a big check on the table"" and buy $VIAC' -Gasparino",0.711111111111111,0.060092521257733185,0.2444444444444444,0.2743679605525721,0.7777777777777778,0.44095855184409843,2
5,'Activists Say A Patent Office Lawyer's Tweets Showed 'Bias' In Favor Of Gilead In HIV Drug Case' - STAT,0.8555555555555556,0.05270462766947299,0.7555555555555555,0.05270462766947307,0.0,0.0,1
6,'Advance Auto Parts to buy DieHard brand from Sears for $200 million in cash deal' -CNBC,0.8999999999999999,0.0,0.8,0.0,2.0,0.0,1
7,'Andrew Scheer resigns as Conservative leader' -Canada's Globe And Mail,0.7333333333333333,0.050000000000000044,0.022222222222222223,0.06666666666666668,1.0,0.0,1
8,'Armed congregants quickly stopped a crazed church shooter in Texas. If it were not for the fact that there were people inside of the church...the end result would have been catastrophic...' -Trump Tweet,0.6555555555555554,0.10137937550497032,0.13333333333333336,0.2645751311064591,0.8888888888888888,0.3333333333333333,2
9,'Authorities respond to reports of shots fired at Naval Air Station Pensacola in Florida' -Dayton Daily News,0.7222222222222222,0.08333333333333338,0.1111111111111111,0.2666666666666667,0.8888888888888888,0.3333333333333333,2
