return type,question,month,file,gpt-3.5-turbo response rows,gpt-3.5-turbo prompt rows,gpt-3.5-turbo empty headlines,gpt-3.5-turbo duplicate headlines,gpt-4o-mini response rows,gpt-4o-mini prompt rows,gpt-4o-mini empty headlines,gpt-4o-mini duplicate headlines,gpt-4o response rows,gpt-4o prompt rows,gpt-4o empty headlines,gpt-4o duplicate headlines,gpt-3.5-turbo deduplicated,gpt-3.5-turbo clean,gpt-4o-mini deduplicated,gpt-4o-mini clean,gpt-4o deduplicated,gpt-4o clean,deduplicated equal for all models?
cumulative,1,jan,base_blanks,4294,4294.0,0,44,4294,4294.0,0,44,4294,4294.0,0,44,4250,4250,4250,4250,4250,4250,True
cumulative,1,jan,base_json,4294,4294.0,0,44,4294,4294.0,0,44,4294,4294.0,0,44,4250,4250,4250,4250,4250,4250,True
cumulative,1,jan,persona1,4294,4294.0,0,44,4294,4294.0,0,44,4294,4294.0,0,44,4250,4250,4250,4250,4250,4250,True
cumulative,1,jan,persona2,4294,4294.0,0,44,4294,4294.0,0,44,4294,4294.0,0,44,4250,4250,4250,4250,4250,4250,True
cumulative,1,jan,persona3,4294,4294.0,0,44,4294,4294.0,0,44,4294,4294.0,0,44,4250,4250,4250,4250,4250,4250,True
cumulative,1,jan,persona4,4294,4294.0,0,44,4294,4294.0,0,44,4294,4294.0,0,44,4250,4250,4250,4250,4250,4250,True
cumulative,1,jan,cot1,4294,4294.0,0,44,4294,4294.0,0,44,4294,4294.0,0,44,4250,4250,4250,4250,4250,4250,True
cumulative,1,jan,cot2,4294,4294.0,0,44,4294,4294.0,0,44,4294,4294.0,0,44,4250,4250,4250,4250,4250,4250,True
cumulative,1,jan,cot3,4294,4294.0,2,44,4294,4294.0,0,44,4294,4294.0,0,44,4250,4248,4250,4250,4250,4250,True
cumulative,1,feb,base_blanks,4563,4563.0,0,0,4590,4590.0,0,35,4590,4590.0,0,35,4563,4563,4555,4555,4555,4555,False
cumulative,1,feb,base_json,4563,4563.0,0,0,4590,4590.0,0,35,4590,4590.0,0,35,4563,4563,4555,4555,4555,4555,False
cumulative,1,feb,persona1,4563,4563.0,1,0,4590,4590.0,0,35,4590,4590.0,0,35,4563,4562,4555,4555,4555,4555,False
cumulative,1,feb,persona2,4563,4563.0,0,0,4590,4590.0,0,35,4590,4590.0,0,35,4563,4563,4555,4555,4555,4555,False
cumulative,1,feb,persona3,4563,4563.0,0,0,4590,4590.0,0,35,4590,4590.0,0,35,4563,4563,4555,4555,4555,4555,False
cumulative,1,feb,persona4,4563,4563.0,0,0,4590,4590.0,1,35,4590,4590.0,0,35,4563,4563,4555,4554,4555,4555,False
cumulative,1,feb,cot1,4563,4563.0,0,0,4590,4590.0,0,35,4590,4590.0,0,35,4563,4563,4555,4555,4555,4555,False
cumulative,1,feb,cot2,4563,4563.0,0,0,4590,4590.0,0,35,4590,4590.0,0,35,4563,4563,4555,4555,4555,4555,False
cumulative,1,feb,cot3,4563,4563.0,0,0,4590,4590.0,0,35,4590,4590.0,0,35,4563,4563,4555,4555,4555,4555,False
cumulative,1,mar,base_blanks,3519,3519.0,0,0,3515,3515.0,0,24,3515,3515.0,0,24,3519,3519,3491,3491,3491,3491,False
cumulative,1,mar,base_json,3519,3519.0,1,0,3515,3515.0,0,24,3515,3515.0,0,24,3519,3518,3491,3491,3491,3491,False
cumulative,1,mar,persona1,3519,3519.0,1,0,3515,3515.0,0,24,3515,3515.0,0,24,3519,3518,3491,3491,3491,3491,False
cumulative,1,mar,persona2,3519,3519.0,1,0,3515,3515.0,0,24,3515,3515.0,0,24,3519,3518,3491,3491,3491,3491,False
cumulative,1,mar,persona3,3519,3519.0,0,0,3515,3515.0,0,24,3515,3515.0,0,24,3519,3519,3491,3491,3491,3491,False
cumulative,1,mar,persona4,3519,3519.0,0,0,3515,3515.0,0,24,3515,3515.0,1,24,3519,3519,3491,3491,3491,3490,False
cumulative,1,mar,cot1,3519,3519.0,0,0,3515,3515.0,0,24,3515,3515.0,0,24,3519,3519,3491,3491,3491,3491,False
cumulative,1,mar,cot2,3519,3519.0,0,0,3515,3515.0,0,24,3515,3515.0,0,24,3519,3519,3491,3491,3491,3491,False
cumulative,1,mar,cot3,3519,3519.0,0,0,3515,3515.0,0,24,3515,3515.0,0,24,3519,3519,3491,3491,3491,3491,False
cumulative,1,apr,base_blanks,4362,4362.0,0,25,4362,4362.0,0,25,4362,4362.0,0,25,4337,4337,4337,4337,4337,4337,True
cumulative,1,apr,base_json,4362,4362.0,0,25,4362,4362.0,0,25,4362,4362.0,88,25,4337,4337,4337,4337,4337,4249,True
cumulative,1,apr,persona1,4362,4362.0,0,25,4362,4362.0,0,25,4362,4362.0,88,25,4337,4337,4337,4337,4337,4249,True
cumulative,1,apr,persona2,4362,4362.0,0,25,4362,4362.0,0,25,4362,4362.0,88,25,4337,4337,4337,4337,4337,4249,True
cumulative,1,apr,persona3,4362,4362.0,0,25,4362,4362.0,0,25,4362,4362.0,88,25,4337,4337,4337,4337,4337,4249,True
cumulative,1,apr,persona4,4362,4362.0,0,25,4362,4362.0,1,25,4362,4362.0,89,25,4337,4337,4337,4336,4337,4248,True
cumulative,1,apr,cot1,4362,4362.0,0,25,4362,4362.0,0,25,4362,4362.0,88,25,4337,4337,4337,4337,4337,4249,True
cumulative,1,apr,cot2,4362,4362.0,0,25,4362,4362.0,0,25,4362,4362.0,88,25,4337,4337,4337,4337,4337,4249,True
cumulative,1,apr,cot3,4362,4362.0,2,25,4362,4362.0,0,25,4362,4362.0,89,25,4337,4335,4337,4337,4337,4248,True
cumulative,1,may,base_blanks,5066,5066.0,0,22,5066,5066.0,0,22,5066,5066.0,0,22,5044,5044,5044,5044,5044,5044,True
cumulative,1,may,base_json,5066,5066.0,0,22,5066,5066.0,0,22,5066,5066.0,0,22,5044,5044,5044,5044,5044,5044,True
cumulative,1,may,persona1,5066,5066.0,0,22,5066,5066.0,0,22,5066,5066.0,0,22,5044,5044,5044,5044,5044,5044,True
cumulative,1,may,persona2,5066,5066.0,1,22,5066,5066.0,0,22,5066,5066.0,0,22,5044,5043,5044,5044,5044,5044,True
cumulative,1,may,persona3,5066,5066.0,0,22,5066,5066.0,0,22,5066,5066.0,0,22,5044,5044,5044,5044,5044,5044,True
