headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74,2019-01-29,A,2019-01-29 15:23:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,0.003957976587116718,0.025557436048984528,0.033849994727609634,0.03371402222838715,0.037384449724449764,0.04771618097647656,0.0893148425501391,0.04505534914081899,-0.005159604363143444,0.015101085369605416,0.022609840782465307,0.018629172252357273,0.04106279629750009,0.023723649982081874,0.18318571867264088,-0.19,-0.01,0.17,0.01,87432,252,0.3958%,0.0002,1.0114,-0.133,-0.4587,1.1924%,1.7390%,52.9874%,0.6546%,22
"Jacobs, AECOM Awarded Contract by Transport Scotland to  Lead its Second Strategic Transport Projects Review",2019-01-29,ACM,2019-01-29 09:29:00+00:00,A E C O M,91975.0,00766T10,-0.002649004105478525,0.0069720810279250145,0.01626825266521381,0.009296108146946258,0.0016600008881970663,-0.007968182693756098,0.00896409545515886,0.09428944680245643,-0.011456578969955444,0.006331239695043678,0.021305412607679708,0.0013262886205884783,0.03460089757687945,0.0541012655331381,0.01444408173454148,-0.19,-0.01,0.17,0.01,91975,252,-0.2649%,-0.0005,1.1852,0.6629,0.6271,1.1349%,1.6971%,55.2790%,-0.1499%,15
Needham Downgrades Adtran to Hold,2019-01-29,ADTN,2019-01-29 13:25:00+00:00,ADTRAN HOLDINGS INC,80791.0,00486H10,-0.00953025184571743,0.009621950797736645,0.002061837012091061,-0.01237115500607544,-0.017182130330425704,0.008364112824954528,0.031187162726253437,0.19302339312278916,0.046296268701553345,0.08333326954399567,0.19722893303792532,0.23549193743224017,0.2470288537251124,0.2313494763630759,0.11175656472284179,-0.19,-0.01,0.17,0.01,80791,252,-0.9530%,0.0,0.8215,1.0585,-0.0462,2.1887%,2.4468%,19.9869%,-0.7870%,5
Agenus To Launch First Asset-Backed Digital Security Offering,2019-01-29,AGEN,2019-01-29 13:16:00+00:00,AGENUS INC,87583.0,00847G70,-0.005899769719690084,0.03264098986983299,-2.683854249951878e-10,0.02373892041387249,0.011869495558116006,0.05934719604168137,-0.12166167378240378,-0.2284866427286404,-0.031428541988134384,-0.028653268208855054,-0.042372842176709336,-0.07629426962141439,0.030395174478216047,0.2744360712220142,1.0925926054360664,-0.19,-0.01,0.17,0.01,87583,252,-0.5900%,0.0008,1.1871,2.5839,0.3939,4.2859%,4.6535%,15.1741%,-0.4156%,8
"Gilead Sciences Reports 9.3% Passive Stake In Agenus Inc As Of Jan 23, 2019",2019-01-29,AGEN,2019-01-29 11:21:00+00:00,AGENUS INC,87583.0,00847G70,-0.005899769719690084,0.03264098986983299,-2.683854249951878e-10,0.02373892041387249,0.011869495558116006,0.05934719604168137,-0.12166167378240378,-0.2284866427286404,-0.031428541988134384,-0.028653268208855054,-0.042372842176709336,-0.07629426962141439,0.030395174478216047,0.2744360712220142,1.0925926054360664,-0.19,-0.01,0.17,0.01,87583,252,-0.5900%,0.0008,1.1871,2.5839,0.3939,4.2859%,4.6535%,15.1741%,-0.4156%,14
"Arthur J. Gallagher Reports Purchase Of The Chapman Group, No Terms Disclosed",2019-01-29,AJG,2019-01-29 14:00:00+00:00,GALLAGHER ARTHUR J & CO,38093.0,36357610,-0.01452459767460823,0.013487225398421288,0.03879311667184604,0.06896550583178507,0.09093438649170316,0.10803676953377583,0.10516497508086164,0.15730599721004435,-0.007074784487485886,-0.007209886833786094,-0.009769248732813152,-0.019217850022873573,0.0038515330499291345,-0.032736827787906986,-0.006382623006235266,-0.19,-0.01,0.17,0.01,38093,252,-1.4525%,0.0005,0.7629,-0.2094,0.3693,0.7119%,1.0881%,57.1902%,-1.3738%,12
"Align Technology Sees Q1 EPS $0.78-$0.84 May Not Compare To $1.19 Est., Sales $525M-$535M vs $529.33M Est.",2019-01-29,ALGN,2019-01-29 21:02:00+00:00,ALIGN TECHNOLOGY INC,88860.0,01625510,0.002438002964481711,0.04864208772778511,0.12124486643937682,0.09895059576393828,0.0967436618966071,0.1454308325223037,0.13556729306567594,0.3364860184978522,-0.025217831134796143,0.003715990172293626,0.019657510769983677,0.0063610773671380905,0.11722575657745882,0.01003243553535449,0.016288909842754773,-0.19,-0.01,0.17,0.01,88860,252,0.2438%,-0.0008,1.3198,0.1331,-1.5662,2.2110%,3.0109%,46.0785%,0.7549%,17
"Align Technology Q4 EPS $1.20 Beats $1.16 Estimate, Sales $534M Beat $513.39M Estimate",2019-01-29,ALGN,2019-01-29 21:00:00+00:00,ALIGN TECHNOLOGY INC,88860.0,01625510,0.002438002964481711,0.04864208772778511,0.12124486643937682,0.09895059576393828,0.0967436618966071,0.1454308325223037,0.13556729306567594,0.3364860184978522,-0.025217831134796143,0.003715990172293626,0.019657510769983677,0.0063610773671380905,0.11722575657745882,0.01003243553535449,0.016288909842754773,-0.19,-0.01,0.17,0.01,88860,252,0.2438%,-0.0008,1.3198,0.1331,-1.5662,2.2110%,3.0109%,46.0785%,0.7549%,13
"Allakos Announces Phase 2 Results Of AK002 In Patients With Cholinergic Urticaria And Symptomatic Dermographism; Results Show 82% Response Rate In Cholinergic Urticaria Patients, 70% In Symptomatic Dermographism Patients",2019-01-29,ALKS,2019-01-29 13:05:00+00:00,ALKERMES PLC,76736.0,G0176710,0.003379435045644641,0.0042865704745054245,0.00642985569197041,0.01285982823655174,0.03214939536954731,-0.011328806555169657,0.026638059544818793,-0.07195346452553208,-0.0446140430867672,-0.016021842362089367,0.0033908955165176113,-0.04657293830717102,0.0012304209238029884,-0.08309860993017149,,-0.19,-0.01,0.17,0.01,76736,251,0.3379%,-0.0016,1.4154,0.7175,0.0343,2.6657%,3.1256%,27.2622%,0.5957%,29
Autoliv Q4 EPS $1.42 Misses $1.80 Estimate,2019-01-29,ALV,2019-01-29 11:26:00+00:00,AUTOLIV INC,84656.0,05280010,-0.05790236592292786,0.02113129012286663,0.02886223294389212,0.011725242788909851,-0.002448169072938322,-0.023321703930826776,0.009374752956056387,0.03508629012993225,0.017413808032870293,0.05197292771931816,0.07644059451036345,0.03609602829437808,0.08380469701156557,0.05628926420656111,-0.022068770377457136,-0.19,-0.01,0.17,0.01,84656,252,-5.7902%,-0.0004,0.9125,0.6198,0.0813,1.7194%,2.0183%,27.4213%,-5.6368%,7
