headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60
Citron Tweeting on Ebay Testing Local UK Service Provider Marketplace as Competition to Angie's List,2013-07-24,EBAY,2013-07-24 16:28:00+00:00,EBAY INC,86356.0,27864210,0.008907806128263474,-0.011516286060214043,0.0028791079661805163,-0.008829157427134304,-0.007869479097429855,0.017466409073500166,-0.0028790342011220105,-0.013819531523143858,-0.012808295898139477,-0.0104436517427825,-0.03512707519908209,-0.09100514014367556,-0.05230321948377137,-0.030234758109212723,-0.017129840291030707
"Altaba Announces, In Connection With Previously Announced Tender Offer To Purchase Up to 195M Shares Of Its Common Stock, the Alibaba Volume Weighted Average Price Is $178.5246, Implying A Cash Portion of the Offer Consideration of $8.93",2018-08-06,BABA,2018-08-06 21:32:00+00:00,ALIBABA GROUP HOLDING LTD,14888.0,01609W10,-0.01227605249732733,0.00727803772315383,-0.0061582736781709,-0.008005781434974879,-0.005262583452666281,-0.013044462228637865,-0.1229985523316568,-0.2367595663744405,-0.009638607501983532,-0.02391109159960436,-0.03412914444764381,-0.04529617823037857,-0.03423233087971289,-0.10568225942456189,-0.07465586730132368
Applied Optelectronics Option Alert: Dec 15 $35 Puts Sweep (4) at the Ask: 550 @ $1.0 vs 399 OI; Ref=$63.7235,2017-08-10,AAOI,2017-08-10 14:09:00+00:00,APPLIED OPTOELECTRONICS INC,14145.0,03823U10,-0.05809992551803589,0.03603457286953926,0.08450037581721581,0.07285603464481571,0.015106259170502678,-0.018253346111845592,0.0039339035163441505,-0.4048780520315072,-0.05238758400082588,-0.0318553764013918,0.04442728628663084,-0.2783957070847337,-0.31682867648655244,0.154517494582191,0.0540540387393853
Chipotle Is Plagued By Labor Law Violations,2016-03-23,CMG,2016-03-23 13:10:00+00:00,CHIPOTLE MEXICAN GRILL INC,91068.0,16965610,0.005723210051655769,-0.006512659601867199,0.0017915227325500105,-0.030476734404453976,-0.007355709883255512,-0.05028871941840707,-0.08316822057012452,-0.1626902299526739,0.020065728574991226,0.03599274050984902,0.0003605093052747588,-0.06210733921711187,-0.10087860234820689,0.06013485527465057,-0.051700576945632015
Morgan Stanley Downgrades Western Digital to Equal-Weight,2017-11-27,WDC,2017-11-27 13:23:00+00:00,WESTERN DIGITAL CORP,66384.0,95810210,-0.06714804470539093,0.003928322810679674,-0.06412481585376828,-0.08885040028029778,-0.10906992510156721,-0.06181404964890114,-0.05936828750218748,0.036310792339793174,-0.0013992560561746359,0.004656202662643105,0.02090670761215363,0.017213021831245623,0.058769847968924704,0.08185630638038477,0.033388681604418435
Option Alert: HCA Mar 86.0 Puts Sweep: 1064 @  ASK  $1.10: 1065 traded vs 726 OI:  Earnings 5/3 Before Open (est)  $86.16 Ref,2017-03-10,HCA,2017-03-10 15:51:00+00:00,H C A HEALTHCARE INC,12622.0,40412C10,-0.01312003005295992,-0.008862998336553574,-0.0241399377996393,-0.0023323262270676937,-0.013527739506180136,0.0033819350151409466,-0.017376066289240377,-0.038134068939180255,0.004740934353321791,0.003001294406456134,-0.010138977317249664,-0.005152244227013436,0.005089676436845769,0.07844110376775815,0.18621159365763784
"Wells Fargo Upgrades Molina Healthcare to Outperform, Announces $177 Price Target",2019-05-31,MOH,2019-05-31 10:17:00+00:00,MOLINA HEALTHCARE INC,89781.0,60855R10,0.05557609349489212,0.020174402743577957,0.07240266769753134,0.07788557794673778,0.08062703275492522,0.018768439784141666,-0.0016869827188153996,-0.10283985495657333,0.02783716656267643,0.020984880808374573,0.019903169993459535,0.006647739923149931,0.039891960114149194,0.10385788197423818,0.005146196806427472
An (Almost) Bear-Free Zone: Wall Street Reacts To Cisco's Earnings,2017-11-16,CSCO,2017-11-16 19:59:00+00:00,CISCO SYSTEMS INC,76076.0,17275R10,0.05189095437526703,0.0005574263632297516,0.017279791920260745,0.021460436312678688,0.01700113200891984,0.04793749612692211,0.08305461157885063,0.18180201378332295,0.0020563951693475246,0.004712808339805585,0.0035304185656876985,-0.011304330204925828,-0.014731321741777825,0.02003594420198751,0.10028175424347219
Hearing Laidlaw Upgrades Shares Of Intercept Pharma From Hold To Buy,2017-11-01,ICPT,2017-11-01 17:51:00+00:00,INTERCEPT PHARMACEUTICALS INC,13643.0,45845P10,0.05240953341126442,-0.036848586052656285,0.0035460343921471793,0.005550426658073482,-0.0060129401536859195,-0.0894233587298493,-0.05010792953391663,0.03422756661539439,-0.026228468865156285,0.0032557510813948642,0.038941359429095046,-0.004683414972908029,-0.08097221304894364,-0.3593554686249598,-0.42733692331152695
LivePerson Up Strong Again Today (LPSN),2010-10-21,LPSN,2010-10-21 13:44:00+00:00,LIVEPERSON INC,88174.0,53814610,0.01525047793984413,-0.00643771095201362,0.046137373562354034,0.021459310176718427,-0.005364725533090975,0.07188842468333512,0.05579403681160122,0.2907725403026402,0.05882355570793152,0.04199771497465932,0.06496524686040561,0.05154648236279469,0.04436864087127246,0.230563045942616,0.2506812264517424
