Main Directory,Model Directory,Question,File,Row Count
cumulative,gpt-3.5-turbo,q1,base_json.csv,49384
cumulative,gpt-3.5-turbo,q1,cot3.csv,49384
cumulative,gpt-3.5-turbo,q1,cot2.csv,49384
cumulative,gpt-3.5-turbo,q1,cot1.csv,49384
cumulative,gpt-3.5-turbo,q1,persona4.csv,49384
cumulative,gpt-3.5-turbo,q1,base_blanks.csv,49384
cumulative,gpt-3.5-turbo,q1,persona3.csv,49384
cumulative,gpt-3.5-turbo,q1,persona2.csv,49384
cumulative,gpt-3.5-turbo,q1,persona1.csv,49384
cumulative,gpt-3.5-turbo,q2,base_json.csv,51032
cumulative,gpt-3.5-turbo,q2,cot3.csv,51032
cumulative,gpt-3.5-turbo,q2,cot2.csv,51032
cumulative,gpt-3.5-turbo,q2,cot1.csv,51032
cumulative,gpt-3.5-turbo,q2,persona4.csv,51032
cumulative,gpt-3.5-turbo,q2,base_blanks.csv,51032
cumulative,gpt-3.5-turbo,q2,persona3.csv,51032
cumulative,gpt-3.5-turbo,q2,persona2.csv,51032
cumulative,gpt-3.5-turbo,q2,persona1.csv,51032
cumulative,gpt-3.5-turbo,q3,base_json.csv,50899
cumulative,gpt-3.5-turbo,q3,cot3.csv,50899
cumulative,gpt-3.5-turbo,q3,cot2.csv,50899
cumulative,gpt-3.5-turbo,q3,cot1.csv,50899
cumulative,gpt-3.5-turbo,q3,persona4.csv,50899
cumulative,gpt-3.5-turbo,q3,base_blanks.csv,50899
cumulative,gpt-3.5-turbo,q3,persona3.csv,50899
cumulative,gpt-3.5-turbo,q3,persona2.csv,50899
cumulative,gpt-3.5-turbo,q3,persona1.csv,50899
cumulative,gpt-3.5-turbo,q4,base_json.csv,51056
cumulative,gpt-3.5-turbo,q4,cot3.csv,51056
cumulative,gpt-3.5-turbo,q4,cot2.csv,51056
cumulative,gpt-3.5-turbo,q4,cot1.csv,51056
cumulative,gpt-3.5-turbo,q4,persona4.csv,51056
cumulative,gpt-3.5-turbo,q4,base_blanks.csv,51056
cumulative,gpt-3.5-turbo,q4,persona3.csv,51056
cumulative,gpt-3.5-turbo,q4,persona2.csv,51056
cumulative,gpt-3.5-turbo,q4,persona1.csv,51056
cumulative,gpt-3.5-turbo,q5,base_json.csv,51061
cumulative,gpt-3.5-turbo,q5,cot3.csv,51061
cumulative,gpt-3.5-turbo,q5,cot2.csv,51061
cumulative,gpt-3.5-turbo,q5,cot1.csv,51061
cumulative,gpt-3.5-turbo,q5,persona4.csv,51061
cumulative,gpt-3.5-turbo,q5,base_blanks.csv,51061
cumulative,gpt-3.5-turbo,q5,persona3.csv,51061
cumulative,gpt-3.5-turbo,q5,persona2.csv,51061
cumulative,gpt-3.5-turbo,q5,persona1.csv,51061
cumulative,gpt-4o,q1,base_json.csv,42535
cumulative,gpt-4o,q1,cot3.csv,42535
cumulative,gpt-4o,q1,cot2.csv,42535
