headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
Agilent Companion Diagnostic Receives Expanded FDA Approval For PD-L1 IHC 22C3 PharmDx,2019-06-11,A,2019-06-11 11:58:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,-0.00284542003646493,0.002853539539501071,0.0029962437369370765,-0.0017120148128499935,0.025966720174211977,0.03452712176514816,-0.005127868342046704,0.0512071524830946,0.011076011694967747,0.01633888390896643,0.02838335761292088,0.04926113118382247,0.028232889463022826,-0.09209503265173447,-0.12627045236002954,-0.12,-0.25,0.55,0.009,87432,252,-0.2845%,0.0001,0.9632,0.0862,-0.2972,1.2995%,1.6874%,40.6956%,0.0076%,12
"Piper Jaffray Initiates Coverage On Agilent Technologies with Overweight Rating, Announces $83 Price Target",2019-06-11,A,2019-06-11 11:10:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,-0.00284542003646493,0.002853539539501071,0.0029962437369370765,-0.0017120148128499935,0.025966720174211977,0.03452712176514816,-0.005127868342046704,0.0512071524830946,0.011076011694967747,0.01633888390896643,0.02838335761292088,0.04926113118382247,0.028232889463022826,-0.09209503265173447,-0.12627045236002954,-0.12,-0.25,0.55,0.009,87432,252,-0.2845%,0.0001,0.9632,0.0862,-0.2972,1.2995%,1.6874%,40.6956%,0.0076%,14
AbbVie shares are trading higher after the company's SKYRIZI maintained its complete skin clearance.,2019-06-11,ABBV,2019-06-11 15:44:00+00:00,ABBVIE INC,13721.0,00287Y10,0.01585446670651436,0.005117072258144617,0.00997823735569825,0.006652223420108294,0.001023434106663057,-0.15952413666860665,-0.12387019651443132,-0.12945478023202506,-0.006199190858751535,-0.001557061721402575,-0.001427467083734646,0.016512550635857437,-0.038845874445140205,-0.03450439238300962,-0.024774629611030274,-0.12,-0.25,0.55,0.009,13721,252,1.5854%,-0.0011,0.8176,-0.3198,-0.2041,1.4159%,1.6560%,26.9036%,1.7156%,14
Axcelis Cuts Q2 Prelim. Sales Guidance From $80M To $75M vs $82.93M,2019-06-11,ACLS,2019-06-11 12:15:00+00:00,AXCELIS TECHNOLOGIES INC,88417.0,05454020,-0.04129603877663612,-0.023194193840026855,0.0026507589946889176,-0.033134524807787336,-0.027170299942472553,-0.06825710389608342,0.08217360959081832,0.06825716821616767,0.04723886027932167,0.05708525398773845,0.052842809005028135,0.07808214844853167,0.0025477694253916994,-0.26068580612780157,-0.2257747179030123,-0.12,-0.25,0.55,0.009,88417,252,-4.1296%,-0.0005,1.5734,0.9809,0.1883,2.1302%,2.7379%,39.4651%,-3.8247%,12
Albemarle Corp Executive Says Company Sees Demand For Lithium Remaining Strong; Says Company Continues To Expect Annual Global Lithium Demand Will Hit 1 Million Tonnes By 2025,2019-06-11,ALB,2019-06-11 13:50:00+00:00,ALBEMARLE CORP,80191.0,01265310,0.03524601832032204,-0.01702301576733589,-0.004119545485564924,-0.02985154128469958,-0.031357141343301254,-0.07214492815585771,0.03379394432623628,-0.13811721048080283,0.026780521497130394,0.03607948103989855,0.052842472486573255,0.09039196085333612,0.06182630205037776,-0.06127577522219074,-0.16287032459284356,-0.12,-0.25,0.55,0.009,80191,252,3.5246%,-0.0006,1.2115,0.4473,0.4276,1.5804%,1.9801%,36.2914%,3.5513%,27
Citigroup Downgrades American Homes 4 Rent to Neutral,2019-06-11,AMH,2019-06-11 11:45:00+00:00,AMERICAN HOMES 4 RENT,14061.0,02665T30,-0.003225803375244141,-0.0008090028422884643,0.005258896948648006,0.002016129405876921,0.012555143277809044,-0.01298164266090529,0.015392554653193224,0.02795834870056857,0.0004033207369502634,-0.003215431160871862,-0.0036159162571139936,0.01639342659543841,0.01639342699382973,0.03290291389862765,0.09154929163423176,-0.12,-0.25,0.55,0.009,14061,252,-0.3226%,0.0006,0.3574,-0.0427,0.0084,1.0114%,1.0710%,10.8338%,-0.3041%,8
"Deutsche Bank Reinstates Buy on Arrow Electronics, Announces $83 Price Target",2019-06-11,ARW,2019-06-11 12:03:00+00:00,ARROW ELECTRONICS INC,29209.0,04273510,0.01752587966620922,-0.017654595896601677,-0.007320144748087065,-0.03688818275408934,-0.01521454741984496,0.002870742653236835,0.030716224113924495,0.03602701294906763,0.02838689275085926,0.04105222289127308,0.04057747764788644,0.07724983793039497,0.049187847732286016,-0.19428102510342338,-0.11901698108530234,-0.12,-0.25,0.55,0.009,29209,252,1.7526%,0.0,1.2398,0.7212,0.3496,1.1139%,1.7084%,57.4903%,1.8874%,11
AeroVironment Acquires VTOL UAS Developer Pulse Aerospace For $25.7M To Strengthen Family Of Small Unmanned Aircraft Systems,2019-06-11,AVAV,2019-06-11 13:12:00+00:00,AEROVIRONMENT INC,91733.0,00807310,-0.007094447035342455,-0.00873291864991188,0.010161947312798292,-0.006827567832148107,-0.02429340520862311,-0.026516323778619788,-0.1259129904773475,-0.12146709522176258,-0.009215813130140305,-0.01383705492604237,-0.031603047683696595,-0.03572512083919288,-0.041842850658335706,-0.08773189870282427,-0.1559547763180208,-0.12,-0.25,0.55,0.009,91733,252,-0.7094%,0.0006,0.8741,0.9108,-0.413,2.6537%,2.9280%,17.8573%,-0.1579%,17
Analysts Discuss Broadcom's New Supply Agreement With Apple,2019-06-11,AVGO,2019-06-11 15:15:00+00:00,BROADCOM INC,93002.0,11135F10,0.01166988909244537,-0.013228446245193481,-0.006596675639200522,-0.06190919070110512,-0.019154870933766333,-0.015153194352141908,0.08193878608767546,0.03652705962590841,0.019427353516221046,0.027200348084727377,0.05453104984608759,0.10676198580118546,0.09482686871463542,-0.09729072015459383,0.05429327089020308,-0.12,-0.25,0.55,0.009,93002,252,1.1670%,0.0005,1.2482,-0.1079,0.1522,1.8834%,2.2359%,29.0452%,1.1959%,8
Broadcom  shares are trading higher after the company disclosed an agreement to supply radio frequency components and modules for Apple devices.,2019-06-11,AVGO,2019-06-11 11:55:00+00:00,BROADCOM INC,93002.0,11135F10,0.01166988909244537,-0.013228446245193481,-0.006596675639200522,-0.06190919070110512,-0.019154870933766333,-0.015153194352141908,0.08193878608767546,0.03652705962590841,0.019427353516221046,0.027200348084727377,0.05453104984608759,0.10676198580118546,0.09482686871463542,-0.09729072015459383,0.05429327089020308,-0.12,-0.25,0.55,0.009,93002,252,1.1670%,0.0005,1.2482,-0.1079,0.1522,1.8834%,2.2359%,29.0452%,1.1959%,21
Broadcom Late Monday Disclosed Agreement With Apple For A Supply Arrangement; Co. To Supply Apple With Radio Frequency Components And Modules For Apple Devices,2019-06-11,AVGO,2019-06-11 11:54:00+00:00,BROADCOM INC,93002.0,11135F10,0.01166988909244537,-0.013228446245193481,-0.006596675639200522,-0.06190919070110512,-0.019154870933766333,-0.015153194352141908,0.08193878608767546,0.03652705962590841,0.019427353516221046,0.027200348084727377,0.05453104984608759,0.10676198580118546,0.09482686871463542,-0.09729072015459383,0.05429327089020308,-0.12,-0.25,0.55,0.009,93002,252,1.1670%,0.0005,1.2482,-0.1079,0.1522,1.8834%,2.2359%,29.0452%,1.1959%,24
"Deutsche Bank Reinstates Hold on Avnet, Announces $44 Price Target",2019-06-11,AVT,2019-06-11 12:06:00+00:00,AVNET INC,27684.0,05380710,0.00586771173402667,-0.005160411354154459,-0.0033655265156614655,-0.027597028150627034,-0.025577729580483877,-0.032533112266805886,0.02849451300850392,-0.012788858203517828,0.016051381826400757,0.033831096352035184,0.042097858570014024,0.08105710530862398,0.04945624361657863,-0.0737009871820885,0.023400730371389677,-0.12,-0.25,0.55,0.009,27684,252,0.5868%,0.0011,1.1815,0.8121,0.4024,1.0861%,1.6579%,57.0847%,0.7036%,10
"Floods Raising Freight Rates, Washing Away Revenues",2019-06-11,BG,2019-06-11 21:58:00+00:00,BUNGE LTD,89138.0,G1696210,-0.003546112682670355,0.01601419411599636,0.02313165885787094,0.029537363673516115,0.03167257562512438,-0.0056939451760105175,0.011921675088279793,-0.008506953835030528,0.02266545780003071,0.02359352305490514,0.034293101073595844,0.03296708996661413,0.11572705099599134,0.16275106643402681,0.09394663027928796,-0.12,-0.25,0.55,0.009,89138,252,-0.3546%,-0.0004,0.6138,0.2133,0.4254,1.4779%,1.5880%,13.3938%,-0.4720%,7
Baidu Reports Its DuerOS For Apollo Internet Of Vehicles Solution Platform Signed New Partnerships With 60 Automotive Manufacturers Across 300+ Car Models To Date,2019-06-11,BIDU,2019-06-11 13:12:00+00:00,BAIDU INC,90857.0,05675210,0.03230136632919312,-0.019762558862566837,-0.011788165453593957,-0.01984918880134845,0.013695016939488935,-0.01828898807668744,0.008754395367585488,-0.09751234935914987,0.01775798760354519,0.026356899087164987,0.024005889194227192,0.03692710569833069,-0.023674315994034245,-0.32723329390192857,-0.3337307832948738,-0.12,-0.25,0.55,0.009,90857,252,3.2301%,-0.0031,1.2074,0.3831,-0.2237,1.8819%,2.3136%,33.8373%,3.5984%,24
"Citi To Report Q2 Earnings Before Market Open On Mon., Jul. 15, 2019",2019-06-11,C,2019-06-11 20:16:00+00:00,CITIGROUP INC,70519.0,17296742,0.01132292114198208,-0.01576310768723488,-0.01178543719187175,-0.005892662671404203,0.0014732768507770277,-0.0197406666459784,0.07557461777438301,-0.015314985204754383,0.02176891826093197,0.009778870433108322,0.020370993985421082,0.07203325646933734,0.04239794162956301,-0.028234848816247493,0.0536171746372891,-0.12,-0.25,0.55,0.009,70519,252,1.1323%,0.0005,1.4548,-0.0351,1.1313,0.8739%,1.5834%,69.5370%,0.6692%,13
Citigroup CFO Says Bank Expects Investment Banking Revenue To Be Down In Mid Teen Range,2019-06-11,C,2019-06-11 17:14:00+00:00,CITIGROUP INC,70519.0,17296742,0.01132292114198208,-0.01576310768723488,-0.01178543719187175,-0.005892662671404203,0.0014732768507770277,-0.0197406666459784,0.07557461777438301,-0.015314985204754383,0.02176891826093197,0.009778870433108322,0.020370993985421082,0.07203325646933734,0.04239794162956301,-0.028234848816247493,0.0536171746372891,-0.12,-0.25,0.55,0.009,70519,252,1.1323%,0.0005,1.4548,-0.0351,1.1313,0.8739%,1.5834%,69.5370%,0.6692%,15
