"","headline","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3","headline.type"
"1","Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74",0.5,0.7,4258,"AGILENT TECHNOLOGIES INC",7,"the purchase of a significant number of call options at the ask price suggests bullish sentiment among investors, indicating a potential increase in the stock price.",172,58,2,"2019-01-29",87432,0.395797658711672,2.55574360489845,3.73844497244495,4.77161809764763,-0.515960436314344,1.51010853696054,2.26098407824653,"increase"
"2","Needham Initiates Coverage On Agilent Technologies with Buy Rating, Announces $77 Price Target",0.6,0.8,4266,"AGILENT TECHNOLOGIES INC",7,"initiating coverage with a buy rating and a specific price target generally signals positive sentiment and can lead to an increase in stock price.",148,56,2,"2019-01-03",87432,-3.68397310376167,3.46135385334492,10.4789014039671,11.9329841782863,-2.62377206236124,-0.409333895837627,-0.942647666402174,"increase"
"3","Bank of America Earlier Upgraded Advance Auto Parts to Buy",0.6,0.8,4274,"ADVANCE AUTO PARTS INC",7,"an upgrade to 'buy' from a major financial institution like bank of america typically signals positive sentiment and can lead to an increase in stock price.",139,64,2,"2019-01-09",89217,2.75589823722839,0.38923230022192,-1.21023553800086,-4.93826883795827,-0.695044780150056,0.761920987422471,-1.73779659177284,"increase"
"4","Barclays Upgrades Advance Auto Parts to Overweight, Raises Price Target to $205",0.6,0.8,4282,"ADVANCE AUTO PARTS INC",7,"an upgrade from barclays to 'overweight' and a raised price target to $205 is likely to positively influence investor sentiment and increase the stock price.",146,65,2,"2019-01-07",89217,1.46716320887208,-0.695044780150056,-1.50179842710764,1.85553280222497,-2.4808157235384,0.563576110962116,0.857354734520466,"increase"
"5","Abbvie shares are continuing lower following a large sell off Friday due to worse than expected Q4 EPS and revenue results.",0.7,0.9,4290,"ABBVIE INC",7,"the news indicates that abbvie shares are continuing to fall following a large sell-off due to worse than expected q4 eps and revenue results, suggesting a negative impact on the stock price.",147,73,0,"2019-01-28",13721,-4.22150678932667,0.427795993164182,1.80191779742647,3.40938198585103,-6.21797442436218,-8.9429012528845,-9.15858591226987,"decrease"
"6","AbbVie Announces FDA Approval of IMBRUVICA Plus Obinutuzumab for Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma in Previously Untreated Patien",0.6,0.8,4298,"ABBVIE INC",7,"fda approval of a new treatment option for a significant condition like chronic lymphocytic leukemia/small lymphocytic lymphoma is likely to positively impact abbvie's stock price due to potential increased revenue and market confidence.",162,82,2,"2019-01-28",13721,-4.22150678932667,0.427795993164182,1.80191779742647,3.40938198585103,-6.21797442436218,-8.9429012528845,-9.15858591226987,"increase"
"7","AbbVie shares are trading lower after the company missed Q4 EPS and sales estimates.",0.6,0.8,4322,"ABBVIE INC",7,"abbvie shares are likely to decrease because the company missed q4 eps and sales estimates, which typically leads to negative investor sentiment.",140,66,0,"2019-01-25",13721,-6.21797442436218,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,"decrease"
"8","From AbbVie Conference Call; Co. Says Humira Will Continue To Generate 'Strong Revenue', Driving Roughly $1B Of Growth In 2019",0.6,0.8,4330,"ABBVIE INC",7,"the news indicates that humira, a key product for abbvie, will continue to generate strong revenue and drive significant growth, which is likely to positively impact investor sentiment and increase the stock price.",155,74,2,"2019-01-25",13721,-6.21797442436218,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,"increase"
"9","UBS Assumes AbbVie at Neutral, Lowers Price Target To $91",0.6,0.8,4346,"ABBVIE INC",7,"ubs assuming a neutral rating and lowering the price target to $91 suggests a less optimistic outlook for abbvie, which is likely to negatively impact investor sentiment and decrease the stock price.",140,73,0,"2019-01-23",13721,-0.236867484636605,-2.90559604763985,-10.6161668864304,-10.5935504744451,-0.938543397933245,1.67431963173021,3.6353015760306,"decrease"
"10","AbbVie Announces Phase 3 Study of Ibrutinib In Metastatic Pancreatic Cancer Did Not Meet Primary Endpoint Of Improving Progression-Free Survival",0.6,0.8,4354,"ABBVIE INC",7,"the failure of a phase 3 study to meet its primary endpoint is typically viewed negatively by investors, likely leading to a decrease in abbvie's stock price.",155,63,0,"2019-01-18",13721,2.63761822134256,-0.938543397933245,-13.8100564901488,-12.2569845584529,1.92868951708078,1.98830057405626,2.87871019261898,"decrease"
"11","AbbVie Exec Speaking At JP Morgan Healthcare Conference Says Sees Non-Humira Sales Growing To $35B+ In 2025, Sees Mavyret Remaining A Strong Source Of Cash Flow Over Long-Term",0.6,0.8,4362,"ABBVIE INC",7,"the news indicates strong future growth prospects and sustained cash flow from key products, which is likely to positively influence investor sentiment and increase the stock price.",167,64,2,"2019-01-09",13721,-3.28230336308479,0.44414009898901,-1.34383514179669,-0.963286126227669,0.46475394628942,1.93106679120063,5.21497272264133,"increase"
"12","AbbVie Reports Strategic Collaboration With Tizona Therapeutics To Develop First-In-Class Immunotherapy For Cancer Targeting CD39",0.6,0.8,4370,"ABBVIE INC",7,"the strategic collaboration with tizona therapeutics to develop a first-in-class immunotherapy for cancer is likely to be viewed positively by investors, as it represents potential for innovation and future revenue growth.",147,73,2,"2019-01-03",13721,-3.2948587089777,3.22169288992882,2.21346175304458,2.33027974892017,-3.21075916290283,-2.07418701694897,-0.756312047709817,"increase"
"13","Bank of America Downgrades AbbVie to Neutral",0.6,0.8,4378,"ABBVIE INC",7,"a downgrade from a major financial institution like bank of america typically signals a lack of confidence in the stock, which can lead to a decrease in its price.",134,67,0,"2019-01-03",13721,-3.2948587089777,3.22169288992882,2.21346175304458,2.33027974892017,-3.21075916290283,-2.07418701694897,-0.756312047709817,"decrease"
"14","AmerisourceBergen shares are trading higher after the company beat Q1 EPS and sales estimates.",0.7,0.9,4386,"AMERISOURCEBERGEN CORP",7,"the news that amerisourcebergen beat q1 eps and sales estimates is likely to increase the stock price as it indicates strong financial performance.",151,64,2,"2019-01-31",81540,6.16325475275517,0.467793410643935,2.91471775736043,3.69436739299374,-1.2698040343821,-1.98452810023854,-1.41853480587347,"increase"
"15","AmerisourceBergen Narrows FY19 Adj. EPS Guidance From $6.65-$6.95 To $6.65-$6.85 vs $6.78 Estimate",0.3,0.7,4394,"AMERISOURCEBERGEN CORP",7,"the narrowing of the fy19 adjusted eps guidance to a lower range suggests a slight reduction in expected earnings, which could negatively impact investor sentiment and lead to a decrease in stock price.",169,72,0,"2019-01-31",81540,6.16325475275517,0.467793410643935,2.91471775736043,3.69436739299374,-1.2698040343821,-1.98452810023854,-1.41853480587347,"decrease"
"16","UBS Initiates Coverage On AmerisourceBergen with Buy Rating, Announces $89 Price Target",0.6,0.8,4410,"AMERISOURCEBERGEN CORP",7,"a 'buy' rating from ubs and a specific price target of $89 is likely to positively influence investor sentiment and increase amerisourcebergen's stock price.",152,63,2,"2019-01-17",81540,-1.5782680362463,4.96845245361328,4.70557525416087,10.0946371358811,0.0517744163516908,0.572472601054996,0.966569362630509,"increase"
"17","Ambev shares are trading higher after after Goldman Sachs published a positive report on the stock.",0.7,0.9,4418,"AMBEV SA",7,"positive reports from reputable financial institutions like goldman sachs typically boost investor confidence, leading to an increase in stock price.",141,57,2,"2019-01-28",85254,4.41500656306744,0.422832556068897,5.0739908654621,4.22832597287919,1.11607564613223,-0.220258876365986,-0.87527267893226,"increase"
"18","ABM Industries Wins a Contract to Install Water Meters for the Rainbow Municipal Water District in San Diego",0.4,0.7,4426,"A B M INDUSTRIES INC",7,"winning a contract to install water meters for the rainbow municipal water district in san diego is likely to positively impact abm industries' stock price as it signifies new business and potential revenue growth.",148,72,2,"2019-01-24",47730,-1.7645375803113,0.14722979394719,0.677266155878264,2.12014506050175,-1.87340285629034,-3.9188433367386,-1.11555888035786,"increase"
"19","CL King Downgrades ABM Industries to Neutral",0.6,0.8,4434,"A B M INDUSTRIES INC",7,"a downgrade from a financial analyst typically signals a negative outlook, which can lead to a decrease in the stock price.",138,59,0,"2019-01-11",47730,-2.58596166968346,-0.49591064453125,4.95916227480702,-1.22519888252108,0.77319722622633,0.600340442556302,5.10752410309705,"decrease"
"20","ACADIA Pharmaceuticals Option Alert: Mar 15 $23 Calls Sweep (9) near the Ask: 500 @ $1.6 vs 303 OI; Earnings 2/26 After Close [est] Ref=$20.53",0.5,0.7,4442,"ACADIA PHARMACEUTICALS",7,"the option alert indicates a significant purchase of call options near the ask price, suggesting bullish sentiment among investors ahead of the earnings report.",183,61,2,"2019-01-10",90177,4.91387695074081,1.78658068180084,4.20087345444378,9.17431987110335,6.47248551249504,8.28305154492868,12.350598324215,"increase"
"21","Barclays Upgrades Arch Capital Group to Overweight, Raises Price Target to $32",0.6,0.8,4458,"ARCH CAPITAL GROUP LTD NEW",7,"an upgrade from barclays to 'overweight' and a raised price target typically signals positive sentiment and can lead to an increase in the stock price.",144,64,2,"2019-01-09",82276,1.28641752526164,1.30743505433202,4.10907878636153,7.58311082482301,0.379796349443495,0.151576038041967,2.52133287234879,"increase"
"22","Deutsche Bank Initiates Coverage On Acadia Healthcare Co with Hold Rating, Announces $27 Price Target",0.3,0.6,4466,"ACADIA HEALTHCARE CO INC",7,"the 'hold' rating suggests a neutral stance, which may not significantly impact the stock price, but the $27 price target could influence investor sentiment.",150,61,1,"2019-01-03",13105,-1.77881270647049,2.91338488459587,12.8740176414455,14.9606345758279,0.583436526358128,1.17371343114918,0.232563460068169,"uncertain"
"23","ACI Worldwide Powers Successful Launch of DuitNow Real-Time Payments in Malaysia",0.6,0.8,4482,"A C I WORLDWIDE INC",7,"the successful launch of duitnow real-time payments in malaysia by aci worldwide is likely to positively impact the company's stock price as it demonstrates their capability in executing significant projects and expanding their market presence.",143,74,2,"2019-01-14",81282,-1.24377571046352,0.539761129766703,1.5832983851032,2.91471547550357,0.142345228232443,1.44195971883754,2.73822570189766,"increase"
"24","Stephens & Co. Downgrades ACI Worldwide to Equal-Weight, Lowers Price Target to $30",0.6,0.8,4490,"A C I WORLDWIDE INC",7,"a downgrade from a reputable firm like stephens & co. typically signals a negative outlook, which can lead to a decrease in stock price.",153,63,0,"2019-01-03",81282,-7.2955034673214,4.01430949568748,11.6852170160421,13.7519914867595,-1.91543437540531,-0.403672013553002,-1.23726405435881,"decrease"
"25","Axcelis Reports $35M Buyback",0.6,0.8,4506,"AXCELIS TECHNOLOGIES INC",7,"a $35m buyback typically signals confidence from the company in its own stock, which can lead to an increase in stock price.",139,57,2,"2019-01-14",88417,2.26394161581993,0,-0.26998467162811,10.2051795450795,0.16593299806118,0.221366436874226,1.85601751172431,"increase"
"26","Jacobs, AECOM Awarded Contract by Transport Scotland to  Lead its Second Strategic Transport Projects Review",0.6,0.8,4514,"A E C O M",7,"being awarded a contract by transport scotland to lead a significant project like the second strategic transport projects review is likely to positively impact aecom's stock price as it indicates business growth and revenue potential.",147,74,2,"2019-01-29",91975,-0.264900410547853,0.697208102792501,0.166000088819729,-0.79681826937561,-1.14565789699554,0.633123969504368,2.13054126076797,"increase"
"27","Citigroup Upgrades Accenture to Buy, Raises Price Target to $169",0.6,0.8,4522,"ACCENTURE PLC IRELAND",7,"an upgrade to 'buy' and a raised price target from a reputable financial institution like citigroup typically signals positive sentiment and can lead to an increase in stock price.",145,68,2,"2019-01-16",89071,0.673977471888065,0.838511064648628,1.53502088407622,3.83418848504977,1.35238170623779,0.451346272553099,-0.0884266799340616,"increase"
"28","Accenture To Acquire Business and Technology Consultancy, Orbium; Terms Not Disclosed",0.5,0.7,4530,"ACCENTURE PLC IRELAND",7,"acquisitions of business and technology consultancies like orbium typically signal growth and expansion, which can positively impact investor sentiment and potentially increase the stock price.",146,66,2,"2019-01-09",89071,0.502959731966257,0.788379553705454,1.37794603392576,2.93411867739404,2.52896435558796,2.8850867557866,6.88563702020777,"increase"
"29","Accenture shares are trading higher after Bank of America upgraded the company's stock from Neutral to Buy.",0.6,0.8,4538,"ACCENTURE PLC IRELAND",7,"an upgrade from a major financial institution like bank of america typically boosts investor confidence, leading to an increase in the stock price.",148,60,2,"2019-01-08",89071,2.52896435558796,0.502959731966257,1.2057324426481,2.25988620185675,0.34733833745122,4.24921161742173,0.68995031192145,"increase"
"30","Bank of America Upgrades Accenture to Buy",0.6,0.8,4546,"ACCENTURE PLC IRELAND",7,"an upgrade to 'buy' from a major financial institution like bank of america typically signals positive sentiment and can lead to an increase in stock price.",139,64,2,"2019-01-08",89071,2.52896435558796,0.502959731966257,1.2057324426481,2.25988620185675,0.34733833745122,4.24921161742173,0.68995031192145,"increase"
