custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
5259,AGILENT TECHNOLOGIES INC,Aligent shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.,6,increase,0.9,0.7,"the better-than-expected q4 eps and sales results typically lead to positive investor sentiment, as reflected by the increase in share trading.",151,63,2,2019-11-25,87432.0,0.8596994914114475,-0.1993566284882564,3.326685830858911,1.0472537018358707,0.7641443146044535,-0.2144005163744466,1.4408,0.3886,1.142,0.92,1.32,-0.38,0.006,0.38416,0.6367,-0.3489,0.0921,0.4656,0.4339,0.3467,0.5875,-0.2229,-0.3446,1.6905
5267,AGILENT TECHNOLOGIES INC,"Agilent Sees FY20 Adj. EPS $3.38-$3.43 vs $3.44 Estimate, Sales $5.5B-$5.55B vs $5.55B Est.",6,decrease,0.75,0.6,"agilent technologies inc. is projecting adjusted eps and sales figures that are below analyst estimates, which typically leads to a negative sentiment among investors.",173,64,0,2019-11-25,87432.0,0.8596994914114475,-0.1993566284882564,3.326685830858911,1.0472537018358707,0.7641443146044535,-0.2144005163744466,1.4408,0.3886,1.142,0.92,1.32,-0.38,0.006,0.38416,0.6367,-0.3489,0.0921,0.4656,0.4339,0.3467,0.5875,-0.2229,-0.3446,1.6905
5275,AGILENT TECHNOLOGIES INC,"Agilent Sees Q1 Adj. EPS $0.80-$0.81 vs $0.84 Estimate, Sales $1.34B-$1.355B vs $1.38B Est.",6,decrease,0.8,0.6,"the company's adjusted eps and sales guidance are both below analyst estimates, which is likely to lead to negative investor sentiment.",173,59,0,2019-11-25,87432.0,0.8596994914114475,-0.1993566284882564,3.326685830858911,1.0472537018358707,0.7641443146044535,-0.2144005163744466,1.4408,0.3886,1.142,0.92,1.32,-0.38,0.006,0.38416,0.6367,-0.3489,0.0921,0.4656,0.4339,0.3467,0.5875,-0.2229,-0.3446,1.6905
5283,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q4 Adj. EPS $0.89 Beats $0.85 Estimate, Sales $1.37B Beat $1.33B Estimate",6,increase,0.85,0.7,"the company's adjusted eps and sales both exceeded analyst estimates, which typically boosts investor confidence and sentiment.",163,54,2,2019-11-25,87432.0,0.8596994914114475,-0.1993566284882564,3.326685830858911,1.0472537018358707,0.7641443146044535,-0.2144005163744466,1.4408,0.3886,1.142,0.92,1.32,-0.38,0.006,0.38416,0.6367,-0.3489,0.0921,0.4656,0.4339,0.3467,0.5875,-0.2229,-0.3446,1.6905
5291,ACADIA PHARMACEUTICALS,"ACADIA Pharmaceuticals shares are trading lower after the company announced results from the ADVANCE trial of Pimavanserin. In the study, pimavanserin did not separate from placebo on the key secondary endpoint.",6,decrease,0.85,0.7,the failure of pimavanserin to show efficacy compared to placebo in a key trial is likely to negatively impact investor sentiment and confidence in acadia pharmaceuticals.,177,69,0,2019-11-25,90177.0,-0.7537621539086103,-5.904522064547024,-3.151166319586074,-0.946764089167118,1.9268309564560049,0.5768007262486385,1.4443,-0.0507,1.6147,0.92,1.32,-0.38,0.006,-0.0472240000000001,-1.0666,-1.554,-2.9724,2.3301,-0.8962,-2.3501,13.8088,0.5481,-6.2981,-3.39
5299,ACADIA PHARMACEUTICALS,ACADIA Pharma Reports Top-Line Results From ADVANCE Trial Of Pimavanserin As Treatment For Negative Symptoms Of Schizophrenia; Will Initiate Second Pivotal Study In H1'20,6,uncertain,0.6,0.3,"while the report of top-line results and the initiation of a second pivotal study could be seen as positive developments, the lack of specific details about the trial outcomes leaves investor sentiment uncertain.",176,72,1,2019-11-25,90177.0,-0.7537621539086103,-5.904522064547024,-3.151166319586074,-0.946764089167118,1.9268309564560049,0.5768007262486385,1.4443,-0.0507,1.6147,0.92,1.32,-0.38,0.006,-0.0472240000000001,-1.0666,-1.554,-2.9724,2.3301,-0.8962,-2.3501,13.8088,0.5481,-6.2981,-3.39
5307,ACADIA PHARMACEUTICALS,"ACADIA Pharmaceuticals Announces Pimavanserin Demonstrated Statistically Significant Improvement In Primary Endpoint, Did Not Separate From Placebo On Key Secondary Endpoint",6,uncertain,0.7,0.2,"while the statistically significant improvement in the primary endpoint may be viewed positively, the failure to separate from placebo on a key secondary endpoint introduces uncertainty about the overall efficacy of pimavanserin, leading to mixed investor sentiment.",164,79,1,2019-11-25,90177.0,-0.7537621539086103,-5.904522064547024,-3.151166319586074,-0.946764089167118,1.9268309564560049,0.5768007262486385,1.4443,-0.0507,1.6147,0.92,1.32,-0.38,0.006,-0.0472240000000001,-1.0666,-1.554,-2.9724,2.3301,-0.8962,-2.3501,13.8088,0.5481,-6.2981,-3.39
5315,ADAMIS PHARMACEUTICALS CORP,Maxim Group Downgrades Adamis Pharmaceuticals to Hold,6,decrease,0.8,0.7,"a downgrade from a financial analyst typically signals reduced confidence in the company's future performance, which can lead to negative investor sentiment.",150,60,0,2019-11-25,82163.0,-6.133683398365974,-6.7972156818804645,-14.711118574607829,17.757003009319305,16.666661477436516,32.0754712685283,-50.9603,-51.7255,0.6493,0.92,1.32,-0.38,0.006,-51.563655999999995,-6.2631,6.6065,-5.7467,2.1979,-2.3587,-1.3608,-3.6315,0.0314,-4.0248,-0.5185
5323,ADAMIS PHARMACEUTICALS CORP,Adamis Pharmaceuticals shares are trading lower after the company reported it received a complete response letter from the FDA for its ZIMHI. The FDA stated it cannot approve the ZIMHI in its present form and provided suggested needed for resubmission.,6,decrease,0.9,0.8,"the receipt of a complete response letter from the fda indicates significant regulatory hurdles for zimhi, likely leading to negative investor sentiment and a decline in share price.",187,68,0,2019-11-25,82163.0,-6.133683398365974,-6.7972156818804645,-14.711118574607829,17.757003009319305,16.666661477436516,32.0754712685283,-50.9603,-51.7255,0.6493,0.92,1.32,-0.38,0.006,-51.563655999999995,-6.2631,6.6065,-5.7467,2.1979,-2.3587,-1.3608,-3.6315,0.0314,-4.0248,-0.5185
5331,ADAMIS PHARMACEUTICALS CORP,Adamas Pharma Receives Complete Response Letter From FDA Related To ZIMHI,6,decrease,0.85,0.7,"a complete response letter from the fda typically indicates that the agency has concerns about a drug application, which can negatively impact investor sentiment and stock performance.",154,65,0,2019-11-25,82163.0,-6.133683398365974,-6.7972156818804645,-14.711118574607829,17.757003009319305,16.666661477436516,32.0754712685283,-50.9603,-51.7255,0.6493,0.92,1.32,-0.38,0.006,-51.563655999999995,-6.2631,6.6065,-5.7467,2.1979,-2.3587,-1.3608,-3.6315,0.0314,-4.0248,-0.5185
