date,permno,headline,company_name,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
2019-02-21,87432.0,"Barclays Maintains Overweight on Agilent Technologies, Raises Price Target to $83",AGILENT TECHNOLOGIES INC,0.68044522777199,1.9899898452078801,1.07844905811833,1.3415904715657199,0.33204914749972997,1.9994819208559702,-0.8528,-0.6073,0.9862,-0.37,-0.07,-0.22,0.01,-0.497906,-0.5708,0.9036,-1.0779,0.978,0.2192,1.3989,-0.7316,-0.4685,-0.5184,0.646
2019-02-20,87432.0,"UPDATE: Agilent Raises FY19 Adj. EPS Guidance From $3-$3.05 To $3.03-$3.07 vs $3.05 Estimate, Sales From $5.13B-$5.17B To $5.15B-$5.19B vs $5.17B Est.",AGILENT TECHNOLOGIES INC,-0.8528490550816,1.09470549289771,0.24185643636533,-0.99617671221494,0.6491820843041299,0.34951023193336,1.3416,1.4225,0.9876,0.19,0.21,0.55,0.01,1.143956,-0.6073,-0.5708,0.9036,-1.0779,0.978,0.2192,1.3989,-0.7316,-0.4685,-0.5184
2019-02-20,87432.0,"Agilent Sees Q2 Adj. EPS $0.70-$0.72 vs $0.72 Estimate, Sales $1.255B-$1.27B vs $1.27B Est.; Raises FY19 Guidance",AGILENT TECHNOLOGIES INC,-0.8528490550816,1.09470549289771,0.24185643636533,-0.99617671221494,0.6491820843041299,0.34951023193336,1.3416,1.4225,0.9876,0.19,0.21,0.55,0.01,1.143956,-0.6073,-0.5708,0.9036,-1.0779,0.978,0.2192,1.3989,-0.7316,-0.4685,-0.5184
2019-02-20,87432.0,"Agilent Technologies Q1 EPS $0.76 Beats $0.73 Estimate, Sales $1.284B Beat $1.27B Estimate",AGILENT TECHNOLOGIES INC,-0.8528490550816,1.09470549289771,0.24185643636533,-0.99617671221494,0.6491820843041299,0.34951023193336,1.3416,1.4225,0.9876,0.19,0.21,0.55,0.01,1.143956,-0.6073,-0.5708,0.9036,-1.0779,0.978,0.2192,1.3989,-0.7316,-0.4685,-0.5184
2019-02-12,87432.0,"Deutsche Bank Maintains Buy on Agilent Technologies, Raises Price Target to $85",AGILENT TECHNOLOGIES INC,0.23355430457741,1.93330459388494,3.0491740783663497,0.36939152050763,0.99561926715507,-0.28833711800452,1.3013,-0.1495,0.994,1.36,0.02,-0.16,0.01,-0.06054000000000026,-0.0152,-0.3098,0.781,-1.0227,1.4225,-0.6073,-0.5708,0.9036,-1.0779,0.978
2019-02-27,14127.0,Peabody Declares Supplemental Cash Dividend Of $1.85/Share To Augment $1.5B Buyback,ALTISOURCE ASSET MANAGEMENT CORP,3.06598078459501,-1.45085927724882,-2.40897176283442,0.82051204517483,1.34020740903337,12.34285663527847,-7.0956,-7.2773,0.4244,0.09,0.2,-0.12,0.01,-7.143796,2.9487,2.863,1.6408,0.7256,-9.0563,-1.8528,0.5044,-3.2995,-1.5103,3.7065
2019-02-27,14127.0,"Altisource Asset Management Q4 EPS $(2.69) Down From $(1.15) YoY, Sales $4.02M Down From $4.08M YoY",ALTISOURCE ASSET MANAGEMENT CORP,3.06598078459501,-1.45085927724882,-2.40897176283442,0.82051204517483,1.34020740903337,12.34285663527847,-7.0956,-7.2773,0.4244,0.09,0.2,-0.12,0.01,-7.143796,2.9487,2.863,1.6408,0.7256,-9.0563,-1.8528,0.5044,-3.2995,-1.5103,3.7065
2019-02-22,14145.0,"UPDATE: DA Davidson Downgrades Applied Optoelectronics As Firm Notes 'With inventory levels growing at data center customers, visibility to overall revenue growth is muted",APPLIED OPTOELECTRONICS INC,8.98184329271316,-14.13748605035971,-16.47211395062338,-0.06844131276010999,-2.21031419561094,-2.8609404544445103,5.6164,3.5335,1.0636,0.65,0.55,-1.47,0.01,4.9150599999999995,9.1365,-0.7209,-1.54,-17.2872,-3.3319,6.8513,-1.8286,0.3606,-1.3255,-0.9105
2019-02-22,14145.0,Needham Downgrades Applied Optoelectronics to Hold,APPLIED OPTOELECTRONICS INC,8.98184329271316,-14.13748605035971,-16.47211395062338,-0.06844131276010999,-2.21031419561094,-2.8609404544445103,5.6164,3.5335,1.0636,0.65,0.55,-1.47,0.01,4.9150599999999995,9.1365,-0.7209,-1.54,-17.2872,-3.3319,6.8513,-1.8286,0.3606,-1.3255,-0.9105
2019-02-22,14145.0,"DA Davidson: Near-Term Applied Optoelectronics Outlook Blurred By Inventory Congestion, China Weakness",APPLIED OPTOELECTRONICS INC,8.98184329271316,-14.13748605035971,-16.47211395062338,-0.06844131276010999,-2.21031419561094,-2.8609404544445103,5.6164,3.5335,1.0636,0.65,0.55,-1.47,0.01,4.9150599999999995,9.1365,-0.7209,-1.54,-17.2872,-3.3319,6.8513,-1.8286,0.3606,-1.3255,-0.9105
2019-02-22,14145.0,"DA Davidson Downgrades Applied Optoelectronics to Neutral, Lowers Price Target to $16",APPLIED OPTOELECTRONICS INC,8.98184329271316,-14.13748605035971,-16.47211395062338,-0.06844131276010999,-2.21031419561094,-2.8609404544445103,5.6164,3.5335,1.0636,0.65,0.55,-1.47,0.01,4.9150599999999995,9.1365,-0.7209,-1.54,-17.2872,-3.3319,6.8513,-1.8286,0.3606,-1.3255,-0.9105
2019-02-21,14145.0,Applied Optoelectronics Sees Q1 Sales $50M-$55M vs $64.6M Estimate,APPLIED OPTOELECTRONICS INC,5.61643615365028,-7.53424937477675,-10.890411866420619,-2.14333981275558,-2.79441167371782,-0.74728668130124,-0.0684,0.3293,1.0674,-0.37,-0.07,-0.22,0.01,0.316538,3.5335,9.1365,-0.7209,-1.54,-17.2872,-3.3319,6.8513,-1.8286,0.3606,-1.3255
2019-02-21,14145.0,"Applied Optoelectronics Q4 EPS $(0.02) Beats $(0.04) Estimate, Sales $58.9M Miss $60.28M Estimate",APPLIED OPTOELECTRONICS INC,5.61643615365028,-7.53424937477675,-10.890411866420619,-2.14333981275558,-2.79441167371782,-0.74728668130124,-0.0684,0.3293,1.0674,-0.37,-0.07,-0.22,0.01,0.316538,3.5335,9.1365,-0.7209,-1.54,-17.2872,-3.3319,6.8513,-1.8286,0.3606,-1.3255
2019-02-21,14145.0,Applied Optoelectronics Q4 Earnings Preview,APPLIED OPTOELECTRONICS INC,5.61643615365028,-7.53424937477675,-10.890411866420619,-2.14333981275558,-2.79441167371782,-0.74728668130124,-0.0684,0.3293,1.0674,-0.37,-0.07,-0.22,0.01,0.316538,3.5335,9.1365,-0.7209,-1.54,-17.2872,-3.3319,6.8513,-1.8286,0.3606,-1.3255
2019-02-28,76868.0,"AAON Q4 EPS $0.24 Misses $0.28 Estimate, Sales $112.3M Beat $108.61M Estimate",AAON INC,3.5122871398925697,5.21825868070326,3.33667316706061,-0.45508653856813,-1.7029267361621,-1.46988839396707,-4.0905,-3.6638,1.0961,-0.31,0.02,-0.24,0.01,-3.7607089999999994,2.6411,2.0161,2.0845,2.3653,-0.0135,-0.5695,-2.2142,0.5503,0.4745,-1.4248
2019-02-26,89217.0,Advanced Auto Parts shares are trading higher in sympathy with AutoZone after AutoZone reported strong Q2 earnings.,ADVANCE AUTO PARTS INC,-2.8357446193694997,-3.44340811207893,-4.94107721294239,-2.32860259711742,-2.23172216886177,-4.99397189437874,3.3035,3.6367,0.7142,-0.16,-0.64,-0.33,0.01,3.4077720000000005,-2.9341,2.4496,-1.2273,-0.9963,-0.4705,1.3103,-1.7539,-1.3522,1.3261,-0.5084
2019-02-20,89217.0,Morgan Stanley Maintains Overweight On Advance Auto As Firm Notes Co. 'has one of the largest margin opportunities in retail'; While '2019 margin guidance of 20-60 bps is a disappointment relative to the bull case but is a step in the right direction',ADVANCE AUTO PARTS INC,-2.82530263066291,-4.63855229865335,-4.83734850768555,-1.6765726730227402,-0.94820787214721,0.40850214798234996,-0.6821,-1.051,0.7446,0.19,0.21,0.55,0.01,-0.833574,-2.4779,-0.221,-2.3518,3.6367,-2.9341,2.4496,-1.2273,-0.9963,-0.4705,1.3103
2019-02-19,89217.0,"Advance Auto Parts shares are trading higher after the company reported Q4 EPS of $1.17, beating the $1.14 consensus estimate.",ADVANCE AUTO PARTS INC,-0.68206256255507,-2.52483014824226,-5.8812980541804105,0.7407845929265,2.1206287023245602,1.25082252309169,-1.6766,-2.0184,0.7466,0.19,0.29,0.3,0.01,-1.828454,-1.051,-2.4779,-0.221,-2.3518,3.6367,-2.9341,2.4496,-1.2273,-0.9963,-0.4705
2019-02-19,89217.0,Advanced Auto Parts Sees FY19 Sales $9.65B-$9.80B vs $9.78B Est.,ADVANCE AUTO PARTS INC,-0.68206256255507,-2.52483014824226,-5.8812980541804105,0.7407845929265,2.1206287023245602,1.25082252309169,-1.6766,-2.0184,0.7466,0.19,0.29,0.3,0.01,-1.828454,-1.051,-2.4779,-0.221,-2.3518,3.6367,-2.9341,2.4496,-1.2273,-0.9963,-0.4705
2019-02-19,89217.0,"Advance Auto Parts Q4 Adj. EPS $1.17 Beats $1.14 Estimate, Sales $2.105B Miss $2.11B Estimate",ADVANCE AUTO PARTS INC,-0.68206256255507,-2.52483014824226,-5.8812980541804105,0.7407845929265,2.1206287023245602,1.25082252309169,-1.6766,-2.0184,0.7466,0.19,0.29,0.3,0.01,-1.828454,-1.051,-2.4779,-0.221,-2.3518,3.6367,-2.9341,2.4496,-1.2273,-0.9963,-0.4705
2019-02-13,75278.0,"AllianceBernstein Q4 Adj. EPS $0.64, Inline, Sales $804.66M Beat $706.19M Estimate",ALLIANCEBERNSTEIN HOLDING L P,-2.8013048693537703,-0.7491903863348001,-3.0672630265953,0.06420692661777,2.19672164902451,3.55481634821377,-1.5079,-1.8454,0.972,0.28,0.07,0.07,0.01,-1.79006,-2.2854,-0.9273,0.1012,-0.3353,1.2757,-0.2154,-1.3509,-0.8098,0.5513,0.6809
2019-02-12,75278.0,AllianceBernstein Q4 Earnings Outlook,ALLIANCEBERNSTEIN HOLDING L P,-1.50785790756344,-2.98363909625022,-4.72551418847329,2.13114637881517,3.4883696466568104,3.9372718310181902,0.0642,-1.1726,0.9804,1.36,0.02,-0.16,0.01,-1.279144,-1.8454,-2.2854,-0.9273,0.1012,-0.3353,1.2757,-0.2154,-1.3509,-0.8098,0.5513
2019-02-22,13721.0,Abbvie And Voyager Earlier Announced Parkinson's Collaboration With AbbVie; Voyager Will Receive $65M Upfront And Up To $245M In Preclinical And Phase 1 Option Payments,ABBVIE INC,0.33742100931704,0.09997735219987999,-3.0492313180657202,-1.55019117519259,-2.19820755874111,-2.59740076259262,1.6127,1.0375,1.0016,0.65,0.55,-1.47,0.01,0.95166,0.0707,0.171,-1.4105,0.0688,0.4254,-0.3967,-0.6718,-0.6842,0.935,-0.6356
2019-02-22,13721.0,Voyager Therapeutics And AbbVie Announce Collaboration To Develop Vectorized Antibodies For Parkinson's Disease And Other Synucleinopathies; Voyager To Receiver $65M Upfront And Up To $245M In Preclinical Phase 1 Option Payments,ABBVIE INC,0.33742100931704,0.09997735219987999,-3.0492313180657202,-1.55019117519259,-2.19820755874111,-2.59740076259262,1.6127,1.0375,1.0016,0.65,0.55,-1.47,0.01,0.95166,0.0707,0.171,-1.4105,0.0688,0.4254,-0.3967,-0.6718,-0.6842,0.935,-0.6356
2019-02-20,13721.0,"Morgan Stanley Expects A Verdict On Amgen Vs. Sandoz Enbrel IP Litigation In 1Q19; Firm Estimates 'ABBV could be down 6–8% if the ruling is against Amgen, up 1–2% if it's for Amgen, and ~0% if there is a settlement'",ABBVIE INC,-1.55019117519259,-0.7250833640595801,-2.37529884730418,-0.40816552937030004,2.265205800711101e-08,-0.33420503675828,-0.6582,-0.7615,1.0001,0.19,0.21,0.55,0.01,-0.8582190000000001,-1.2309,1.0375,0.0707,0.171,-1.4105,0.0688,0.4254,-0.3967,-0.6718,-0.6842
