"Major","X","Model","PromptModificationID","beta0_naive_bias","beta0_debiased_bias","beta0_naive_mse","beta0_debiased_mse","beta0_naive_coverage","beta0_debiased_coverage","beta1_naive_bias","beta1_debiased_bias","beta1_naive_mse","beta1_debiased_mse","beta1_naive_coverage","beta1_debiased_coverage"
1,"Democrat","gpt-3.5-turbo-0125",1,-0.0513327721012751,0.000190402400655759,0.00263622076874744,4.09493375561325e-05,0,1,0.0185356127470825,-0.000175529450074999,0.000344925155071459,5.77697851611114e-05,0,1
1,"Democrat","gpt-3.5-turbo-0125",2,-0.0506369809038248,0.000142714355606817,0.00256523048454597,4.16536008258166e-05,0,1,0.0183783079617153,-0.000501983989423207,0.000339408995208987,6.33322374756993e-05,0,1
1,"Democrat","gpt-3.5-turbo-0125",3,-0.050855265634989,-0.000680841678599509,0.00258733233732917,4.16370122437289e-05,0,0.995,0.0187193018928083,0.000215675710735237,0.000352056873830757,5.89781304690515e-05,0,1
1,"Democrat","gpt-3.5-turbo-0125",4,-0.0467323775549923,-0.000412143755269756,0.00218643870306811,4.28004300156305e-05,0,1,0.0161509143667515,0.000397061240652781,0.000264093216822177,6.07306232170789e-05,0,1
1,"Democrat","gpt-3.5-turbo-0125",5,-0.0466108779301138,0.000244970243851102,0.00217441378069301,4.83511202172033e-05,0,1,0.01547826389897,-0.000409272446794896,0.000242127427819963,7.14196179589938e-05,0,1
1,"Democrat","gpt-3.5-turbo-0125",6,-0.0499821348145662,-0.000313232378725995,0.00249959077691772,3.8164738899893e-05,0,1,0.0172236680376632,0.000696229140140218,0.000298190912256019,5.41973741168761e-05,0,1
1,"Democrat","gpt-3.5-turbo-0125",7,-0.0475064429919129,0.000825843745946423,0.0022588041247953,4.56036435449557e-05,0,1,0.0160480686308653,-0.00118276906385777,0.000259938788676795,6.20346680266935e-05,0,1
1,"Democrat","gpt-3.5-turbo-0125",8,-0.044377200904474,-5.2032949896611e-05,0.00197174773261737,5.01430336402979e-05,0,1,0.0137441001763407,-0.000133787964882062,0.00019202824075241,6.97561971075359e-05,0,1
1,"DW1","gpt-3.5-turbo-0125",1,-0.0418602402879505,0.000150563066581264,0.00175257894548731,1.39651770504905e-05,0,1,-0.0292463974822615,4.12628282303554e-05,0.000858120345875865,0.000114281904480712,0,1
1,"DW1","gpt-3.5-turbo-0125",2,-0.0414194874826711,-0.000484868072873237,0.00171587712089019,1.47553766827502e-05,0,1,-0.0289162739122523,-0.000612326552068486,0.000839048353014556,0.000104843465789252,0,1
1,"DW1","gpt-3.5-turbo-0125",3,-0.0413548547213901,-0.000143189603289392,0.00171060023585636,1.62330750296227e-05,0,1,-0.0298357925586754,2.60483555687508e-05,0.000893124727642952,9.26039867937292e-05,0,1
1,"DW1","gpt-3.5-turbo-0125",4,-0.0386289750651256,0.000728214271520243,0.00149294203163564,1.58356825758919e-05,0,1,-0.0264477601664586,0.0013230909569913,0.000705389489953728,0.000148064484585603,0,1
1,"DW1","gpt-3.5-turbo-0125",5,-0.0388783053878326,-8.65199583818908e-05,0.00151213854588372,1.40814438324684e-05,0,1,-0.0256917395298188,-0.000106413918204294,0.00066633790497702,0.000117512076238197,0,1
1,"DW1","gpt-3.5-turbo-0125",6,-0.0411780261021759,-2.08348346764182e-05,0.00169595028435864,1.61703597193521e-05,0,1,-0.0259396923450455,0.00074635158924838,0.000676410750359279,0.00011473298772416,0,1
1,"DW1","gpt-3.5-turbo-0125",7,-0.0392817431457188,0.000391210538935681,0.00154372669357139,1.46973238648991e-05,0,1,-0.0260761154253573,-0.000186865744848864,0.000684750399337622,0.000105642177703548,0,1
1,"DW1","gpt-3.5-turbo-0125",8,-0.0376441268598196,0.000373376448468381,0.00141797273142482,1.45547809803667e-05,0,1,-0.0253171249331567,-0.00128588277214005,0.00064808108475705,0.00010795152828761,0,1
1,"Senate","gpt-3.5-turbo-0125",1,-0.0438186514866178,-0.00124364983732465,0.00192049989796165,2.90894969315828e-05,0,1,0.0117141321052662,0.000884087436622677,0.000138335980783987,5.31973676090844e-05,0,1
1,"Senate","gpt-3.5-turbo-0125",2,-0.0439246962443676,-0.000117532731853334,0.0019297900250357,2.12287395804811e-05,0,1,0.0136451219460771,-4.45017657489368e-05,0.000187799905233736,5.3920218948239e-05,0,1
1,"Senate","gpt-3.5-turbo-0125",3,-0.0439316295079647,-0.000104966046433701,0.00193043344251393,2.04106425187669e-05,0,1,0.0138314853865742,0.000461225743010227,0.000193152685315178,6.16872888326833e-05,0,1
1,"Senate","gpt-3.5-turbo-0125",4,-0.0410856891208586,-0.000448161035053856,0.00168913122501849,1.8553747133029e-05,0,1,0.0125888325434024,-3.60152678231574e-05,0.000161426092429765,5.80867103768981e-05,0,1
1,"Senate","gpt-3.5-turbo-0125",5,-0.041783224828065,-0.000433569736381888,0.00174653230553947,2.19343151945988e-05,0,1,0.0139366811029656,0.000230242641205366,0.000197260399889863,6.52011142313718e-05,0,1
1,"Senate","gpt-3.5-turbo-0125",6,-0.0433768692996212,-0.000255808505415749,0.001882016954503,2.00254004232969e-05,0,1,0.0117894327816283,0.000193774139943152,0.000140743188004953,5.37467442603755e-05,0,1
