"headline","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3","headline.type"
"Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74",0.6,0.75,4254,"AGILENT TECHNOLOGIES INC",3,NA,163,35,2,"2019-01-29",87432,0.395797658711672,2.55574360489845,3.73844497244495,4.77161809764763,-0.515960436314344,1.51010853696054,2.26098407824653,"increase"
"Bank of America Earlier Upgraded Advance Auto Parts to Buy",0.7,0.85,4270,"ADVANCE AUTO PARTS INC",3,NA,130,35,2,"2019-01-09",89217,2.75589823722839,0.38923230022192,-1.21023553800086,-4.93826883795827,-0.695044780150056,0.761920987422471,-1.73779659177284,"increase"
"Barclays Upgrades Advance Auto Parts to Overweight, Raises Price Target to $205",0.75,0.85,4278,"ADVANCE AUTO PARTS INC",3,NA,137,35,2,"2019-01-07",89217,1.46716320887208,-0.695044780150056,-1.50179842710764,1.85553280222497,-2.4808157235384,0.563576110962116,0.857354734520466,"increase"
"Abbvie shares are continuing lower following a large sell off Friday due to worse than expected Q4 EPS and revenue results.",0.8,0.9,4286,"ABBVIE INC",3,NA,138,25,0,"2019-01-28",13721,-4.22150678932667,0.427795993164182,1.80191779742647,3.40938198585103,-6.21797442436218,-8.9429012528845,-9.15858591226987,"decrease"
"AbbVie Announces FDA Approval of IMBRUVICA Plus Obinutuzumab for Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma in Previously Untreated Patien",0.7,0.85,4294,"ABBVIE INC",3,NA,153,35,2,"2019-01-28",13721,-4.22150678932667,0.427795993164182,1.80191779742647,3.40938198585103,-6.21797442436218,-8.9429012528845,-9.15858591226987,"increase"
"From AbbVie Q4 Earnings Conference Call: CEO Richard Gonzalez Says Rumors Of His Retirement Are False",0.6,0.8,4302,"ABBVIE INC",3,NA,135,35,2,"2019-01-25",13721,-6.21797442436218,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,"increase"
"From AbbVie Q4 Earnings Conference Call: Sees Q1 EPS $2.05-$2.07 vs $2.03 Estimate, Sales $7.7B vs $8B Est.",0.6,0.8,4310,"ABBVIE INC",3,NA,155,35,0,"2019-01-25",13721,-6.21797442436218,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,"decrease"
"AbbVie shares are trading lower after the company missed Q4 EPS and sales estimates.",0.7,0.85,4318,"ABBVIE INC",3,NA,131,25,0,"2019-01-25",13721,-6.21797442436218,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,"decrease"
"From AbbVie Conference Call; Co. Says Humira Will Continue To Generate 'Strong Revenue', Driving Roughly $1B Of Growth In 2019",0.7,0.85,4326,"ABBVIE INC",3,NA,146,35,2,"2019-01-25",13721,-6.21797442436218,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,"increase"
"AbbVie Inc. Sees FY19 Adj. EPS $8.65-$8.75 vs $8.71 Est.",0.3,0.6,4334,"ABBVIE INC",3,NA,140,35,1,"2019-01-25",13721,-6.21797442436218,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,"uncertain"
"UBS Assumes AbbVie at Neutral, Lowers Price Target To $91",0.6,0.8,4342,"ABBVIE INC",3,NA,131,35,0,"2019-01-23",13721,-0.236867484636605,-2.90559604763985,-10.6161668864304,-10.5935504744451,-0.938543397933245,1.67431963173021,3.6353015760306,"decrease"
"AbbVie Announces Phase 3 Study of Ibrutinib In Metastatic Pancreatic Cancer Did Not Meet Primary Endpoint Of Improving Progression-Free Survival",0.7,0.85,4350,"ABBVIE INC",3,NA,146,35,0,"2019-01-18",13721,2.63761822134256,-0.938543397933245,-13.8100564901488,-12.2569845584529,1.92868951708078,1.98830057405626,2.87871019261898,"decrease"
"AbbVie Exec Speaking At JP Morgan Healthcare Conference Says Sees Non-Humira Sales Growing To $35B+ In 2025, Sees Mavyret Remaining A Strong Source Of Cash Flow Over Long-Term",0.75,0.85,4358,"ABBVIE INC",3,NA,158,35,2,"2019-01-09",13721,-3.28230336308479,0.44414009898901,-1.34383514179669,-0.963286126227669,0.46475394628942,1.93106679120063,5.21497272264133,"increase"
"AbbVie Reports Strategic Collaboration With Tizona Therapeutics To Develop First-In-Class Immunotherapy For Cancer Targeting CD39",0.7,0.85,4366,"ABBVIE INC",3,NA,138,35,2,"2019-01-03",13721,-3.2948587089777,3.22169288992882,2.21346175304458,2.33027974892017,-3.21075916290283,-2.07418701694897,-0.756312047709817,"increase"
"Bank of America Downgrades AbbVie to Neutral",0.6,0.8,4374,"ABBVIE INC",3,NA,125,35,0,"2019-01-03",13721,-3.2948587089777,3.22169288992882,2.21346175304458,2.33027974892017,-3.21075916290283,-2.07418701694897,-0.756312047709817,"decrease"
"AmerisourceBergen shares are trading higher after the company beat Q1 EPS and sales estimates.",0.8,0.9,4382,"AMERISOURCEBERGEN CORP",3,NA,142,35,2,"2019-01-31",81540,6.16325475275517,0.467793410643935,2.91471775736043,3.69436739299374,-1.2698040343821,-1.98452810023854,-1.41853480587347,"increase"
"AmerisourceBergen Narrows FY19 Adj. EPS Guidance From $6.65-$6.95 To $6.65-$6.85 vs $6.78 Estimate",0.4,0.7,4390,"AMERISOURCEBERGEN CORP",3,NA,160,35,0,"2019-01-31",81540,6.16325475275517,0.467793410643935,2.91471775736043,3.69436739299374,-1.2698040343821,-1.98452810023854,-1.41853480587347,"decrease"
"AmerisourceBergen Q1 EPS $1.60 Beats $1.50 Estimate, Sales $45.4B Beat $43.82B Estimate",0.8,0.9,4398,"AMERISOURCEBERGEN CORP",3,NA,155,35,2,"2019-01-31",81540,6.16325475275517,0.467793410643935,2.91471775736043,3.69436739299374,-1.2698040343821,-1.98452810023854,-1.41853480587347,"increase"
"UBS Initiates Coverage On AmerisourceBergen with Buy Rating, Announces $89 Price Target",0.7,0.85,4406,"AMERISOURCEBERGEN CORP",3,NA,143,24,2,"2019-01-17",81540,-1.5782680362463,4.96845245361328,4.70557525416087,10.0946371358811,0.0517744163516908,0.572472601054996,0.966569362630509,"increase"
"Ambev shares are trading higher after after Goldman Sachs published a positive report on the stock.",0.7,0.85,4414,"AMBEV SA",3,NA,132,24,2,"2019-01-28",85254,4.41500656306744,0.422832556068897,5.0739908654621,4.22832597287919,1.11607564613223,-0.220258876365986,-0.87527267893226,"increase"
"ABM Industries Wins a Contract to Install Water Meters for the Rainbow Municipal Water District in San Diego",0.6,0.8,4422,"A B M INDUSTRIES INC",3,NA,139,35,2,"2019-01-24",47730,-1.7645375803113,0.14722979394719,0.677266155878264,2.12014506050175,-1.87340285629034,-3.9188433367386,-1.11555888035786,"increase"
"CL King Downgrades ABM Industries to Neutral",0.6,0.8,4430,"A B M INDUSTRIES INC",3,NA,129,35,0,"2019-01-11",47730,-2.58596166968346,-0.49591064453125,4.95916227480702,-1.22519888252108,0.77319722622633,0.600340442556302,5.10752410309705,"decrease"
"ACADIA Pharmaceuticals Option Alert: Mar 15 $23 Calls Sweep (9) near the Ask: 500 @ $1.6 vs 303 OI; Earnings 2/26 After Close [est] Ref=$20.53",0.7,0.8,4438,"ACADIA PHARMACEUTICALS",3,NA,174,35,2,"2019-01-10",90177,4.91387695074081,1.78658068180084,4.20087345444378,9.17431987110335,6.47248551249504,8.28305154492868,12.350598324215,"increase"
"Arch Capital Group Sees Pre-Tax Catastrophe Losses Of $110M-$130M Due To Hurricane Michael And California Wildfires",0.7,0.85,4446,"ARCH CAPITAL GROUP LTD NEW",3,NA,145,35,0,"2019-01-10",82276,1.30743505433202,-1.62242073565722,4.12978957528862,6.30530629942263,1.28641752526164,1.67109964150469,1.4399434640211,"decrease"
