"headline","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3","ret","exret","b_mkt","mkt.rf","smb","hml","rf","sum_exret_1","sum_exret_5","sum_exret_10","headline.type"
"Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74",0.6,0.7,4253,"AGILENT TECHNOLOGIES INC",2,NA,158,35,2,"2019-01-29",87432,2.55574360489845,3.73844497244495,4.77161809764763,-0.515960436314344,1.51010853696054,2.26098407824653,0.3958,0.6546,1.0113,-0.19,-0.01,0.17,0.01,1.2222,-0.6365,-0.1174,"increase"
"Bank of America Earlier Upgraded Advance Auto Parts to Buy",0.7,0.85,4269,"ADVANCE AUTO PARTS INC",2,NA,125,24,2,"2019-01-09",89217,0.38923230022192,-1.21023553800086,-4.93826883795827,-0.695044780150056,0.761920987422471,-1.73779659177284,2.7559,2.0647,0.7999,0.56,0.46,0.1,0.01,2.2593,-0.1025,-4.2989,"increase"
"Barclays Upgrades Advance Auto Parts to Overweight, Raises Price Target to $205",0.8,0.9,4277,"ADVANCE AUTO PARTS INC",2,NA,132,24,2,"2019-01-07",89217,-0.695044780150056,-1.50179842710764,1.85553280222497,-2.4808157235384,0.563576110962116,0.857354734520466,1.4672,0.5367,0.799,0.94,1,-0.75,0.01,-0.9947,-2.3312,-0.2377,"increase"
"Abbvie shares are continuing lower following a large sell off Friday due to worse than expected Q4 EPS and revenue results.",0.8,0.9,4285,"ABBVIE INC",2,NA,133,30,0,"2019-01-28",13721,0.427795993164182,1.80191779742647,3.40938198585103,-6.21797442436218,-8.9429012528845,-9.15858591226987,-4.2215,-3.4108,1.0752,-0.8,-0.16,0.63,0.01,-2.7851,-4.6692,-2.4757,"decrease"
"AbbVie Announces FDA Approval of IMBRUVICA Plus Obinutuzumab for Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma in Previously Untreated Patien",0.8,0.9,4293,"ABBVIE INC",2,NA,148,24,2,"2019-01-28",13721,0.427795993164182,1.80191779742647,3.40938198585103,-6.21797442436218,-8.9429012528845,-9.15858591226987,-4.2215,-3.4108,1.0752,-0.8,-0.16,0.63,0.01,-2.7851,-4.6692,-2.4757,"increase"
"From AbbVie Q4 Earnings Conference Call: CEO Richard Gonzalez Says Rumors Of His Retirement Are False",0.6,0.8,4301,"ABBVIE INC",2,NA,130,35,2,"2019-01-25",13721,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,-6.218,-7.0757,1.0688,0.9,0.46,-0.35,0.01,-10.4865,-8.6742,-9.7487,"increase"
"From AbbVie Q4 Earnings Conference Call: Sees Q1 EPS $2.05-$2.07 vs $2.03 Estimate, Sales $7.7B vs $8B Est.",0.6,0.8,4309,"ABBVIE INC",2,NA,150,30,0,"2019-01-25",13721,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,-6.218,-7.0757,1.0688,0.9,0.46,-0.35,0.01,-10.4865,-8.6742,-9.7487,"decrease"
"AbbVie shares are trading lower after the company missed Q4 EPS and sales estimates.",0.7,0.85,4317,"ABBVIE INC",2,NA,126,25,0,"2019-01-25",13721,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,-6.218,-7.0757,1.0688,0.9,0.46,-0.35,0.01,-10.4865,-8.6742,-9.7487,"decrease"
"From AbbVie Conference Call; Co. Says Humira Will Continue To Generate 'Strong Revenue', Driving Roughly $1B Of Growth In 2019",0.7,0.8,4325,"ABBVIE INC",2,NA,141,29,2,"2019-01-25",13721,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,-6.218,-7.0757,1.0688,0.9,0.46,-0.35,0.01,-10.4865,-8.6742,-9.7487,"increase"
"AbbVie Inc. Sees FY19 Adj. EPS $8.65-$8.75 vs $8.71 Est.",0.3,0.6,4333,"ABBVIE INC",2,NA,135,35,1,"2019-01-25",13721,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,-6.218,-7.0757,1.0688,0.9,0.46,-0.35,0.01,-10.4865,-8.6742,-9.7487,"uncertain"
"UBS Assumes AbbVie at Neutral, Lowers Price Target To $91",0.6,0.8,4341,"ABBVIE INC",2,NA,126,30,0,"2019-01-23",13721,-2.90559604763985,-10.6161668864304,-10.5935504744451,-0.938543397933245,1.67431963173021,3.6353015760306,-0.2369,-0.5324,1.0944,0.15,-0.39,-0.13,0.01,-3.5699,-12.9647,-14.8737,"decrease"
