,custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,headline type num
0,0,AGILENT TECHNOLOGIES INC,"Bank of America Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $82",1,decrease,0.8,0.5,,0.0
1,1,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also announced weak Q3 sales guidance.,1,decrease,0.9,0.8,,0.0
2,2,AGILENT TECHNOLOGIES INC,"Deutsche Bank Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $85",1,decrease,0.8,0.5,,0.0
3,3,AGILENT TECHNOLOGIES INC,"Barclays Maintains Overweight on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $86",1,decrease,0.8,0.5,,0.0
4,4,AMERISOURCEBERGEN CORP,Aurora Cannabis shares are trading lower after the company reported a larger-than-expected decline in Q3 EPS and EBITDA.,1,decrease,0.8,0.7,,0.0
5,5,ARBOR REALTY TRUST INC,Arbor Realty Trust Reports 8M Share Common Stock Offering,1,decrease,0.8,0.7,,0.0
6,6,ACASTI PHARMA INC,"Acasti Pharma Reports Notices Of Allowance For Added Composition, Use Patents In Mexico, Chile, Israel",1,increase,0.8,0.5,,2.0
7,7,AGREE REALTY CORP,Agree Realty Reports Purchase Of Wawa's Flagship Store In Philadelphia's Center City For $15M,1,increase,0.8,0.5,,2.0
8,8,ARCHER DANIELS MIDLAND CO,"Archer Daniels Midland CEO Highlights Belief US, China Will Reach Deal To End Trade War But Will Always Have Conflict",1,increase,0.8,0.5,,2.0
9,9,ADMA BIOLOGICS INC,ADMA Biologics shares are trading lower after the company proposed a $45 million common stock offering.,1,decrease,0.8,0.7,,0.0
10,10,ADMA BIOLOGICS INC,ADMA Biologics Reports Commencement Of $45M Common Stock Offering,1,increase,0.8,0.7,,2.0
11,11,ADVANCED ENERGY INDUSTRIES INC,Advanced Energy Industries shares are trading higher following news it will purchase the Embedded Power business from Artesyn for $400 million. Susquehanna upgraded the stock this morning.,1,increase,0.8,0.7,,2.0
12,12,ADVANCED ENERGY INDUSTRIES INC,"Susquehanna Upgrades Advanced Energy Industries, Inc. - Common Stock to Positive, Raises Price Target to $82",1,increase,0.8,0.7,,2.0
13,13,AGIOS PHARMACEUTICALS INC,Agios Pharmaceuticals shares are trading higher after the company reported its Phase 3 ClarlDHy Trial of TIBSOVO achieved its primary endpoint in previously treated IDH1 mutant Cholangiocarcinoma patients.,1,increase,0.9,0.8,,2.0
14,14,AGIOS PHARMACEUTICALS INC,Agios Reports Randomized Phase 3 ClarIDHy Trial Of TIBSOVO Achieved Primary Endpoint In Previously-Treated IDH1 Mutant Cholangiocarcinoma Patients,1,increase,0.8,0.7,,2.0
15,15,APPLIED MATERIALS INC,Applied Materials shares trading higher after Susquehanna upgraded the stock from Neutral to Positive and raised the price target from $34 to $60.,1,increase,0.9,0.8,,2.0
