custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
5067,AGILENT TECHNOLOGIES INC,"Bank of America Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $82",8,uncertain,0.5,0.0,"the buy rating remains positive while the price target is cut, creating mixed signals; without current price context, the direction is unclear.",154,1095,1.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5075,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also announced weak Q3 sales guidance.,8,decrease,0.78,0.6,"worse-than-expected q2 eps and sales, along with weak q3 guidance, suggest negative stock-price pressure and the article states shares are trading lower.",162,1037,0.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5083,AGILENT TECHNOLOGIES INC,"Deutsche Bank Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $85",8,uncertain,0.6,0.0,"maintaining a buy rating is positive, but lowering the price target to 85 may temper upside expectations, making the near-term stock move unclear.",154,1226,1.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5091,AGILENT TECHNOLOGIES INC,"Barclays Maintains Overweight on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $86",8,uncertain,0.58,0.25,"an overweight rating is positive for agilent, but the lowered price target to $86 suggests reduced upside, which creates an ambiguous near-term price reaction.",155,1419,1.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5099,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also issued Q3 sales guidance below analyst estimates.,8,decrease,0.65,0.35,negative q2 results and weaker q3 guidance relative to expectations typically trigger a stock price decline as investors reassess prospects.,164,1093,0.0,2019-05-14,87432.0,2.93879453092813,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059
5107,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q3 Adj. EPS $0.71-$0.73 vs $0.73 Est., Sales $1.225B-$1.245B vs $1.27B Est. Sees FY19 Adj. EPS $3.03-$3.07 vs $3.07 Est., Sales $5.085B-$5.125B vs $5.19B Est.",8,decrease,0.55,0.25,"revenue guidance for q3 and fy19 is below consensus, while q3 eps is in-line, signaling a modest negative stock reaction rather than an increase.",215,1548,0.0,2019-05-14,87432.0,2.93879453092813,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059
5115,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q2 Adj. EPS $0.71 Misses $0.72 Estimate, Sales $1.24B Miss $1.27B Estimate",8,decrease,0.65,0.6,"both q2 adjusted eps and sales miss estimates, which typically weighs on the stock unless offset by favorable guidance or other positive news.",164,1479,0.0,2019-05-14,87432.0,2.93879453092813,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059
5123,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Management Q1 EPS $(0.56) Up From $(2.75) YoY,8,uncertain,0.42,0.3,"eps improved year over year but remains negative and lacks enough context (consensus expectations, revenue, guidance), making the stock's directional move unclear.",155,1099,1.0,2019-05-08,14127.0,-6.5000019967556,-1.7276844009757,-9.62566939755803,-15.67256098028511,-1.88494231551885,-1.92380325876716,-4.2709862433842405
5131,ATLANTIC AMERICAN CORP,"Atlantic American Q1 EPS $0.19 Up From $(0.25) YoY, Sales $55.018M Up From $40.54M YoY",8,increase,0.65,0.3,"positive q1 results with eps turning positive (0.19) and revenue up yoy suggest improved fundamentals that could push the stock higher, though the lack of forward guidance and small-cap risk may limit the move.",165,1687,2.0,2019-05-13,15580.0,-1.6546912491321502,0.0530933379195599,-4.03071219505601,-0.54314269806204,2.46503241360187,5.95320056566084,5.95320056566084
5139,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Posts Q1 Earnings Miss: What Analysts Have To Say,8,decrease,0.63,0.38,"a q1 earnings miss typically pressures the stock, and the article's focus on analysts' views may further signal cautious sentiment.",151,1478,0.0,2019-05-09,14145.0,-9.36981812119484,-2.01281122863292,-11.16194173138447,-18.938705928957532,-0.16555880429223,-4.96453256695802,-4.28571385863024
