headline type,magnitude,confidence,custom_id,company_name,headline,prompt_type,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
uncertain,0.3,0.6,26154,NOMURA HOLDINGS INC,"""Brexit"" And The US-China Trade War Drag On European Freight Markets",6,"the news about brexit and the us-china trade war affecting european freight markets does not directly mention nomura holdings inc, making its impact on investor sentiment uncertain.",136,68,1.0,2019-09-04,89256.0,1.21064679697156,0.4784684628248214,6.9377983675189325,3.110050643921869,1.7241422086954117,4.556963670143399,4.822336425504448
increase,0.7,0.8,18873,INTERNATIONAL BUSINESS MACHS COR,"""Deep Data"" To Become The Greatest Natural Resource, Tech Execs Say",6,"the news highlights the growing importance of 'deep data,' which aligns with ibm's focus on data analytics and ai, likely boosting investor sentiment.",136,63,2.0,2019-01-08,12490.0,1.421921513974667,0.717683881521225,1.585580869499359,10.898770963516991,0.7074682973325253,4.6408623121305,2.5518639606785465
uncertain,0.5,0.6,13909,CANADIAN NATIONAL RAILWAY CO,"""Every Option"" On Table To End CN Strike, Canadian Minister Says",6,"the statement suggests that the government is actively seeking a resolution, which could be positive, but the ongoing strike still poses risks and uncertainties for investors.",141,65,1.0,2019-11-25,84181.0,0.5419216118752956,1.583978347480297,-2.958973023637268,-1.0260752411344498,0.0996306189335882,-0.0883998118002549,-2.195780267789571
uncertain,0.1,0.3,20298,HUNT J B TRANSPORT SERVICES INC,"""FreightWaves Is Doing Some Pretty Cool Stuff""",6,"the news headline is about freightwaves and does not directly mention hunt j b transport services inc, making its impact on investor sentiment uncertain.",138,66,1.0,2019-09-20,42877.0,0.928384717553854,-0.6132321897894144,-2.724485720933112,-4.879544119293611,-1.343336421996355,-1.5837101252327068,-1.6521751988854194
decrease,0.6,0.8,31463,TEXTRON INC,"""Liquid nitrogen explosion at @TextronAviation @Beechcraft Plant III this morning sends 11 workers to the hospital. Authorities say no fatalities""",6,"the news of a liquid nitrogen explosion causing injuries to workers is likely to decrease investor sentiment due to concerns over safety, potential operational disruptions, and possible financial liabilities.",149,68,0.0,2019-12-27,23579.0,-1.531628519296646,0.2930592047050595,0.9467947044409007,1.5329130927429937,0.0221987589611671,-1.1411025970825106,-0.331861761164709
uncertain,0.3,0.5,11658,CALAMOS GLOBAL DYNAMIC INCOME FD,"""Nuclear Verdict"" Kills 540 Truck Carrier",6,"the news about a 'nuclear verdict' killing a truck carrier does not have a direct or clear connection to the performance or investor sentiment of calamos global dynamic income fd, making the impact uncertain.",137,78,1.0,2019-10-14,92110.0,0.381675991229713,-0.3802247578278184,0.7604555605203345,2.281366704674781,0.2528481185436249,0.3797473076297963,1.797178093380647
uncertain,0.3,0.7,12187,ISHARES INC,"""Really tariffs, laws, have to originate with Congress, and I think you just can't declare emergencies on spending, on tariffs, also on arms sales,"" - Sen. Rand Paul on CNN",6,"the news is about a general political statement on tariffs and laws, not directly related to ishares inc, making its impact on investor sentiment uncertain.",157,66,1.0,2019-06-04,83223.0,1.851420104503632,0.6442765705287457,3.773583552888504,2.5077447330715374,-0.5824790336191654,-4.198479252691179,-2.8239618320341275
increase,0.6,0.8,25979,TREEHOUSE FOODS INC,"""Shipper Of Choice"" TreeHouse Foods Bakes-In Driver Satisfaction",6,"being recognized as a 'shipper of choice' and focusing on driver satisfaction suggests operational efficiency and positive company culture, which are likely to be viewed favorably by investors.",135,69,2.0,2019-06-25,90775.0,-1.907558552920818,-1.4584869146347046,2.5617032884931445,5.179507084269508,-0.9087604470551014,-1.2676580143790694,-2.8683423784521156
increase,0.7,0.8,28483,X P O INC,"""Shipper Of Choice"" – It Can Be A Sweet Deal To Partner With Nestle",6,"partnering with a major company like nestle is likely to be viewed positively by investors, as it suggests strong business relationships and potential for increased revenue.",137,65,2.0,2019-06-13,90175.0,2.60575208812952,-1.3045746833086014,0.2957003230493082,-4.226822545103581,0.9549527429044248,0.8640855830995386,4.1837113188820885
uncertain,0.8,0.9,13106,P G & E CORP,$0 Or $40? PG&E Price Targets Reflect Uncertain Outlook On Wall Street,6,"the wide range of price targets ($0 to $40) indicates significant uncertainty about pg&e's future performance, leading to mixed investor sentiment.",140,64,1.0,2019-10-10,13688.0,-29.052820801734917,2.9525095596909523,0.5134784597915054,-7.573814472553786,0.7339442614465952,-4.521743112134846,1.0119564779659471
