"combination_id","train_proportion","prompt","model","variable","major_topic"
1,0.05,1,"gpt-3.5","Senate",3
2,0.1,1,"gpt-3.5","Senate",3
3,0.25,1,"gpt-3.5","Senate",3
4,0.5,1,"gpt-3.5","Senate",3
5,0.05,2,"gpt-3.5","Senate",3
6,0.1,2,"gpt-3.5","Senate",3
7,0.25,2,"gpt-3.5","Senate",3
8,0.5,2,"gpt-3.5","Senate",3
9,0.05,3,"gpt-3.5","Senate",3
10,0.1,3,"gpt-3.5","Senate",3
11,0.25,3,"gpt-3.5","Senate",3
12,0.5,3,"gpt-3.5","Senate",3
13,0.05,4,"gpt-3.5","Senate",3
14,0.1,4,"gpt-3.5","Senate",3
15,0.25,4,"gpt-3.5","Senate",3
16,0.5,4,"gpt-3.5","Senate",3
17,0.05,5,"gpt-3.5","Senate",3
18,0.1,5,"gpt-3.5","Senate",3
19,0.25,5,"gpt-3.5","Senate",3
20,0.5,5,"gpt-3.5","Senate",3
21,0.05,6,"gpt-3.5","Senate",3
22,0.1,6,"gpt-3.5","Senate",3
23,0.25,6,"gpt-3.5","Senate",3
24,0.5,6,"gpt-3.5","Senate",3
25,0.05,7,"gpt-3.5","Senate",3
26,0.1,7,"gpt-3.5","Senate",3
27,0.25,7,"gpt-3.5","Senate",3
28,0.5,7,"gpt-3.5","Senate",3
29,0.05,8,"gpt-3.5","Senate",3
30,0.1,8,"gpt-3.5","Senate",3
31,0.25,8,"gpt-3.5","Senate",3
32,0.5,8,"gpt-3.5","Senate",3
33,0.05,9,"gpt-3.5","Senate",3
34,0.1,9,"gpt-3.5","Senate",3
35,0.25,9,"gpt-3.5","Senate",3
36,0.5,9,"gpt-3.5","Senate",3
37,0.05,10,"gpt-3.5","Senate",3
38,0.1,10,"gpt-3.5","Senate",3
39,0.25,10,"gpt-3.5","Senate",3
40,0.5,10,"gpt-3.5","Senate",3
41,0.05,11,"gpt-3.5","Senate",3
42,0.1,11,"gpt-3.5","Senate",3
43,0.25,11,"gpt-3.5","Senate",3
44,0.5,11,"gpt-3.5","Senate",3
45,0.05,12,"gpt-3.5","Senate",3
46,0.1,12,"gpt-3.5","Senate",3
47,0.25,12,"gpt-3.5","Senate",3
48,0.5,12,"gpt-3.5","Senate",3
49,0.05,1,"gpt-4o","Senate",3
50,0.1,1,"gpt-4o","Senate",3
51,0.25,1,"gpt-4o","Senate",3
52,0.5,1,"gpt-4o","Senate",3
53,0.05,2,"gpt-4o","Senate",3
54,0.1,2,"gpt-4o","Senate",3
55,0.25,2,"gpt-4o","Senate",3
56,0.5,2,"gpt-4o","Senate",3
57,0.05,3,"gpt-4o","Senate",3
58,0.1,3,"gpt-4o","Senate",3
59,0.25,3,"gpt-4o","Senate",3
60,0.5,3,"gpt-4o","Senate",3
61,0.05,4,"gpt-4o","Senate",3
62,0.1,4,"gpt-4o","Senate",3
63,0.25,4,"gpt-4o","Senate",3
64,0.5,4,"gpt-4o","Senate",3
65,0.05,5,"gpt-4o","Senate",3
66,0.1,5,"gpt-4o","Senate",3
67,0.25,5,"gpt-4o","Senate",3
68,0.5,5,"gpt-4o","Senate",3
69,0.05,6,"gpt-4o","Senate",3
70,0.1,6,"gpt-4o","Senate",3
71,0.25,6,"gpt-4o","Senate",3
72,0.5,6,"gpt-4o","Senate",3
73,0.05,7,"gpt-4o","Senate",3
74,0.1,7,"gpt-4o","Senate",3
75,0.25,7,"gpt-4o","Senate",3
76,0.5,7,"gpt-4o","Senate",3
77,0.05,8,"gpt-4o","Senate",3
78,0.1,8,"gpt-4o","Senate",3
79,0.25,8,"gpt-4o","Senate",3
80,0.5,8,"gpt-4o","Senate",3
81,0.05,9,"gpt-4o","Senate",3
82,0.1,9,"gpt-4o","Senate",3
83,0.25,9,"gpt-4o","Senate",3
84,0.5,9,"gpt-4o","Senate",3
85,0.05,10,"gpt-4o","Senate",3
86,0.1,10,"gpt-4o","Senate",3
87,0.25,10,"gpt-4o","Senate",3
88,0.5,10,"gpt-4o","Senate",3
89,0.05,11,"gpt-4o","Senate",3
90,0.1,11,"gpt-4o","Senate",3
91,0.25,11,"gpt-4o","Senate",3
92,0.5,11,"gpt-4o","Senate",3
93,0.05,12,"gpt-4o","Senate",3
94,0.1,12,"gpt-4o","Senate",3
95,0.25,12,"gpt-4o","Senate",3
96,0.5,12,"gpt-4o","Senate",3
