"regression","V","Y","coef_name","coef","se","t","lci","uci"
"10k_Yhuman_V","Senate",3,"(Intercept)",0.0702678963548529,0.00309284874064263,22.7194739372391,0.0642060242135633,0.0763297684961425
"10k_Yhuman_V","Senate",3,"V",0.00325687486635268,0.00557363432479996,0.58433594250365,-0.00766724767325146,0.0141809974059568
"10k_Yhuman_V","Democrat",3,"(Intercept)",0.0618686868686869,0.00382880374566706,16.1587511343985,0.0543643694233074,0.0693730043140664
"10k_Yhuman_V","Democrat",3,"V",0.0156147568399225,0.00514747537831997,3.03347868465547,0.00552589048710868,0.0257036231927364
"10k_Yhuman_V","DW1",3,"(Intercept)",0.0697413948467142,0.00256190104137139,27.2225170763745,0.0647201610736706,0.0747626286197577
"10k_Yhuman_V","DW1",3,"V",-0.0249844253627677,0.00732901477444105,-3.40897462096781,-0.0393490303628341,-0.0106198203627013
"10k_Yhuman_V","Senate",14,"(Intercept)",0.0603132777045821,0.00288070841755066,20.936960275856,0.0546671929562214,0.0659593624529428
"10k_Yhuman_V","Senate",14,"V",0.000273658237355402,0.00512468182456123,0.053400044475704,-0.00977053357101162,0.0103178500457224
"10k_Yhuman_V","Democrat",14,"(Intercept)",0.0590909090909092,0.00374739962409088,15.7685101719688,0.0517461407920121,0.0664356773898063
"10k_Yhuman_V","Democrat",14,"V",0.00216736905478616,0.00485445362457864,0.446470235870116,-0.00734718521400789,0.0116819233235802
"10k_Yhuman_V","DW1",14,"(Intercept)",0.0599316021454793,0.00240101163653078,24.9609794611718,0.0552257058114174,0.0646374984795412
"10k_Yhuman_V","DW1",14,"V",-0.00750841302666114,0.00662199130648794,-1.13386029657042,-0.0204872774933148,0.00547045143999256
"10k_Yhuman_V","Senate",15,"(Intercept)",0.102034841165276,0.00366273316312332,27.8575688211663,0.0948560160805739,0.109213666249978
"10k_Yhuman_V","Senate",15,"V",-0.0158877916228336,0.00618571235102817,-2.56846596175665,-0.0280115650495734,-0.00376401819609379
"10k_Yhuman_V","Democrat",15,"(Intercept)",0.0994949494949496,0.004757068829631,20.9151797163858,0.0901712659168948,0.108818633073004
"10k_Yhuman_V","Democrat",15,"V",-0.00413071108435361,0.00607582563445774,-0.679860044193363,-0.016039110504236,0.00777768833552878
"10k_Yhuman_V","DW1",15,"(Intercept)",0.0989029885119396,0.00304608319377762,32.4689058768893,0.0929327751582227,0.104873201865656
"10k_Yhuman_V","DW1",15,"V",0.0305048872336413,0.0073559989374555,4.14694013593661,0.0160873942459136,0.044922380221369
"10k_Yhuman_V","Senate",19,"(Intercept)",0.141560532864881,0.00421820054678931,33.559460081297,0.133293011713607,0.149828054016155
"10k_Yhuman_V","Senate",19,"V",-0.0241733444773768,0.00710589919904956,-3.40186988306984,-0.038100650985286,-0.0102460379694677
"10k_Yhuman_V","Democrat",19,"(Intercept)",0.133585858585859,0.00540678188369001,24.7070922148406,0.122988760821563,0.144182956350155
"10k_Yhuman_V","Democrat",19,"V",0.000520101679042209,0.00696150548775816,0.074711092299907,-0.0131241983551417,0.0141644017132261
"10k_Yhuman_V","DW1",19,"(Intercept)",0.13415885783665,0.00345717948330347,38.8058700696834,0.127382910561284,0.140934805112015
"10k_Yhuman_V","DW1",19,"V",0.00414948858965575,0.0089901577946117,0.461559038723744,-0.0134708969031152,0.0217698740824267
"10k_Yhuman_V","Senate",20,"(Intercept)",0.0986678377982727,0.00360854005914529,27.342868911269,0.0915952292455779,0.105740446350967
"10k_Yhuman_V","Senate",20,"V",0.0468039198539835,0.00722884548745408,6.47460509914251,0.0326356430487686,0.0609721966591984
"10k_Yhuman_V","Democrat",20,"(Intercept)",0.118686868686869,0.00513999027561179,23.0908741695512,0.108612672865784,0.128761064507954
"10k_Yhuman_V","Democrat",20,"V",-0.00858753093852456,0.00653025121967343,-1.31503837289647,-0.0213865881390832,0.00421152626203412
"10k_Yhuman_V","DW1",20,"(Intercept)",0.114950396556277,0.00324894340132108,35.3808553604029,0.108582584501878,0.121318208610675
"10k_Yhuman_V","DW1",20,"V",0.0232498426110775,0.00835768372366991,2.7818524102834,0.00686908351850787,0.0396306017036471
