,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,headline type num
0,AGILENT TECHNOLOGIES INC,Aligent shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.,1,,0.9,0.8,,
1,AGILENT TECHNOLOGIES INC,"Agilent Sees FY20 Adj. EPS $3.38-$3.43 vs $3.44 Estimate, Sales $5.5B-$5.55B vs $5.55B Est.",1,,0.8,0.6,,
2,AGILENT TECHNOLOGIES INC,"Agilent Sees Q1 Adj. EPS $0.80-$0.81 vs $0.84 Estimate, Sales $1.34B-$1.355B vs $1.38B Est.",1,,0.8,0.5,,
3,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q4 Adj. EPS $0.89 Beats $0.85 Estimate, Sales $1.37B Beat $1.33B Estimate",1,,0.9,0.8,,
4,AGILENT TECHNOLOGIES INC,Agilent Raises Qtr. Dividend From $0.164 To $0.18/Share,1,,0.9,0.8,,
5,AGILENT TECHNOLOGIES INC,"Stifel Nicolaus Initiates Coverage On Agilent Technologies with Hold Rating, Announces $85 Price Target",1,,0.8,0.5,,
6,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Mgmt Q3 EPS $(2.25) Down From $(0.75) YoY,1,,0.9,0.8,,
7,ATLANTIC AMERICAN CORP,"Atlantic American Q3 EPS $(0.07) Down From $0.04 YoY, Sales $47.75M Up From $45.57M YoY",1,,0.9,0.9,,
8,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Amended S-3 Shows Registration For $250M Mixed Securities Offering,1,,0.8,0.2,,
9,APPLIED OPTOELECTRONICS INC,"Piper Jaffray Maintains Neutral on Applied Optoelectronics, Raises Price Target to $10",1,,0.8,0.5,,
10,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Sees Q4 Adj. EPS $(0.23)-$(0.21) vs $(0.18) Est., Sales $46M-$49M vs $51.84M Est.",1,,0.8,0.7,,
11,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q3 Adj. EPS $(0.15) Beats $(0.24) Estimate, Sales $46.1M Miss $47.75M Estimate",1,,0.8,0.7,,
12,APPLIED OPTOELECTRONICS INC,"Rosenblatt Upgrades Applied Optoelectronics to Buy, Announces $13 Price Target",1,,0.9,0.8,,
13,ADVANCE AUTO PARTS INC,"Nomura Maintains Neutral on Advance Auto Parts, Lowers Price Target to $160",1,,0.8,0.7,,
14,ADVANCE AUTO PARTS INC,Advance Auto Parts shares are trading lower despite the company reporting better-than-expected Q3 EPS and sales results. The company also announced a $700 million buyback.,1,,0.8,0.7,,
