"combination_id","train_proportion","prompt","model","variable"
1,0.05,1,"gpt-3.5","Senate"
2,0.1,1,"gpt-3.5","Senate"
3,0.25,1,"gpt-3.5","Senate"
4,0.5,1,"gpt-3.5","Senate"
5,0.05,2,"gpt-3.5","Senate"
6,0.1,2,"gpt-3.5","Senate"
7,0.25,2,"gpt-3.5","Senate"
8,0.5,2,"gpt-3.5","Senate"
9,0.05,3,"gpt-3.5","Senate"
10,0.1,3,"gpt-3.5","Senate"
11,0.25,3,"gpt-3.5","Senate"
12,0.5,3,"gpt-3.5","Senate"
13,0.05,4,"gpt-3.5","Senate"
14,0.1,4,"gpt-3.5","Senate"
15,0.25,4,"gpt-3.5","Senate"
16,0.5,4,"gpt-3.5","Senate"
17,0.05,5,"gpt-3.5","Senate"
18,0.1,5,"gpt-3.5","Senate"
19,0.25,5,"gpt-3.5","Senate"
20,0.5,5,"gpt-3.5","Senate"
21,0.05,6,"gpt-3.5","Senate"
22,0.1,6,"gpt-3.5","Senate"
23,0.25,6,"gpt-3.5","Senate"
24,0.5,6,"gpt-3.5","Senate"
25,0.05,7,"gpt-3.5","Senate"
26,0.1,7,"gpt-3.5","Senate"
27,0.25,7,"gpt-3.5","Senate"
28,0.5,7,"gpt-3.5","Senate"
29,0.05,8,"gpt-3.5","Senate"
30,0.1,8,"gpt-3.5","Senate"
31,0.25,8,"gpt-3.5","Senate"
32,0.5,8,"gpt-3.5","Senate"
33,0.05,9,"gpt-3.5","Senate"
34,0.1,9,"gpt-3.5","Senate"
35,0.25,9,"gpt-3.5","Senate"
36,0.5,9,"gpt-3.5","Senate"
37,0.05,10,"gpt-3.5","Senate"
38,0.1,10,"gpt-3.5","Senate"
39,0.25,10,"gpt-3.5","Senate"
40,0.5,10,"gpt-3.5","Senate"
41,0.05,11,"gpt-3.5","Senate"
42,0.1,11,"gpt-3.5","Senate"
43,0.25,11,"gpt-3.5","Senate"
44,0.5,11,"gpt-3.5","Senate"
45,0.05,12,"gpt-3.5","Senate"
46,0.1,12,"gpt-3.5","Senate"
47,0.25,12,"gpt-3.5","Senate"
48,0.5,12,"gpt-3.5","Senate"
49,0.05,1,"gpt-4o","Senate"
50,0.1,1,"gpt-4o","Senate"
51,0.25,1,"gpt-4o","Senate"
52,0.5,1,"gpt-4o","Senate"
53,0.05,2,"gpt-4o","Senate"
54,0.1,2,"gpt-4o","Senate"
55,0.25,2,"gpt-4o","Senate"
56,0.5,2,"gpt-4o","Senate"
57,0.05,3,"gpt-4o","Senate"
58,0.1,3,"gpt-4o","Senate"
59,0.25,3,"gpt-4o","Senate"
60,0.5,3,"gpt-4o","Senate"
61,0.05,4,"gpt-4o","Senate"
62,0.1,4,"gpt-4o","Senate"
63,0.25,4,"gpt-4o","Senate"
64,0.5,4,"gpt-4o","Senate"
65,0.05,5,"gpt-4o","Senate"
66,0.1,5,"gpt-4o","Senate"
67,0.25,5,"gpt-4o","Senate"
68,0.5,5,"gpt-4o","Senate"
69,0.05,6,"gpt-4o","Senate"
70,0.1,6,"gpt-4o","Senate"
71,0.25,6,"gpt-4o","Senate"
72,0.5,6,"gpt-4o","Senate"
73,0.05,7,"gpt-4o","Senate"
74,0.1,7,"gpt-4o","Senate"
75,0.25,7,"gpt-4o","Senate"
76,0.5,7,"gpt-4o","Senate"
77,0.05,8,"gpt-4o","Senate"
78,0.1,8,"gpt-4o","Senate"
79,0.25,8,"gpt-4o","Senate"
80,0.5,8,"gpt-4o","Senate"
81,0.05,9,"gpt-4o","Senate"
82,0.1,9,"gpt-4o","Senate"
83,0.25,9,"gpt-4o","Senate"
84,0.5,9,"gpt-4o","Senate"
85,0.05,10,"gpt-4o","Senate"
86,0.1,10,"gpt-4o","Senate"
87,0.25,10,"gpt-4o","Senate"
88,0.5,10,"gpt-4o","Senate"
89,0.05,11,"gpt-4o","Senate"
90,0.1,11,"gpt-4o","Senate"
91,0.25,11,"gpt-4o","Senate"
92,0.5,11,"gpt-4o","Senate"
93,0.05,12,"gpt-4o","Senate"
94,0.1,12,"gpt-4o","Senate"
95,0.25,12,"gpt-4o","Senate"
96,0.5,12,"gpt-4o","Senate"
97,0.05,1,"gpt-3.5","Democrat"
98,0.1,1,"gpt-3.5","Democrat"
99,0.25,1,"gpt-3.5","Democrat"
100,0.5,1,"gpt-3.5","Democrat"
101,0.05,2,"gpt-3.5","Democrat"
102,0.1,2,"gpt-3.5","Democrat"
103,0.25,2,"gpt-3.5","Democrat"
104,0.5,2,"gpt-3.5","Democrat"
105,0.05,3,"gpt-3.5","Democrat"
106,0.1,3,"gpt-3.5","Democrat"
107,0.25,3,"gpt-3.5","Democrat"
108,0.5,3,"gpt-3.5","Democrat"
109,0.05,4,"gpt-3.5","Democrat"
110,0.1,4,"gpt-3.5","Democrat"
111,0.25,4,"gpt-3.5","Democrat"
112,0.5,4,"gpt-3.5","Democrat"
113,0.05,5,"gpt-3.5","Democrat"
114,0.1,5,"gpt-3.5","Democrat"
115,0.25,5,"gpt-3.5","Democrat"
116,0.5,5,"gpt-3.5","Democrat"
117,0.05,6,"gpt-3.5","Democrat"
118,0.1,6,"gpt-3.5","Democrat"
119,0.25,6,"gpt-3.5","Democrat"
120,0.5,6,"gpt-3.5","Democrat"
121,0.05,7,"gpt-3.5","Democrat"
122,0.1,7,"gpt-3.5","Democrat"
123,0.25,7,"gpt-3.5","Democrat"
124,0.5,7,"gpt-3.5","Democrat"
125,0.05,8,"gpt-3.5","Democrat"
126,0.1,8,"gpt-3.5","Democrat"
127,0.25,8,"gpt-3.5","Democrat"
128,0.5,8,"gpt-3.5","Democrat"
129,0.05,9,"gpt-3.5","Democrat"
130,0.1,9,"gpt-3.5","Democrat"
131,0.25,9,"gpt-3.5","Democrat"
132,0.5,9,"gpt-3.5","Democrat"
133,0.05,10,"gpt-3.5","Democrat"
134,0.1,10,"gpt-3.5","Democrat"
135,0.25,10,"gpt-3.5","Democrat"
136,0.5,10,"gpt-3.5","Democrat"
137,0.05,11,"gpt-3.5","Democrat"
138,0.1,11,"gpt-3.5","Democrat"
139,0.25,11,"gpt-3.5","Democrat"
140,0.5,11,"gpt-3.5","Democrat"
141,0.05,12,"gpt-3.5","Democrat"
142,0.1,12,"gpt-3.5","Democrat"
143,0.25,12,"gpt-3.5","Democrat"
144,0.5,12,"gpt-3.5","Democrat"
145,0.05,1,"gpt-4o","Democrat"
146,0.1,1,"gpt-4o","Democrat"
147,0.25,1,"gpt-4o","Democrat"
148,0.5,1,"gpt-4o","Democrat"
149,0.05,2,"gpt-4o","Democrat"
150,0.1,2,"gpt-4o","Democrat"
151,0.25,2,"gpt-4o","Democrat"
152,0.5,2,"gpt-4o","Democrat"
153,0.05,3,"gpt-4o","Democrat"
154,0.1,3,"gpt-4o","Democrat"
155,0.25,3,"gpt-4o","Democrat"
156,0.5,3,"gpt-4o","Democrat"
157,0.05,4,"gpt-4o","Democrat"
158,0.1,4,"gpt-4o","Democrat"
159,0.25,4,"gpt-4o","Democrat"
160,0.5,4,"gpt-4o","Democrat"
161,0.05,5,"gpt-4o","Democrat"
162,0.1,5,"gpt-4o","Democrat"
163,0.25,5,"gpt-4o","Democrat"
164,0.5,5,"gpt-4o","Democrat"
165,0.05,6,"gpt-4o","Democrat"
166,0.1,6,"gpt-4o","Democrat"
167,0.25,6,"gpt-4o","Democrat"
168,0.5,6,"gpt-4o","Democrat"
169,0.05,7,"gpt-4o","Democrat"
170,0.1,7,"gpt-4o","Democrat"
171,0.25,7,"gpt-4o","Democrat"
172,0.5,7,"gpt-4o","Democrat"
173,0.05,8,"gpt-4o","Democrat"
174,0.1,8,"gpt-4o","Democrat"
175,0.25,8,"gpt-4o","Democrat"
176,0.5,8,"gpt-4o","Democrat"
177,0.05,9,"gpt-4o","Democrat"
178,0.1,9,"gpt-4o","Democrat"
179,0.25,9,"gpt-4o","Democrat"
180,0.5,9,"gpt-4o","Democrat"
181,0.05,10,"gpt-4o","Democrat"
182,0.1,10,"gpt-4o","Democrat"
183,0.25,10,"gpt-4o","Democrat"
184,0.5,10,"gpt-4o","Democrat"
185,0.05,11,"gpt-4o","Democrat"
186,0.1,11,"gpt-4o","Democrat"
187,0.25,11,"gpt-4o","Democrat"
188,0.5,11,"gpt-4o","Democrat"
189,0.05,12,"gpt-4o","Democrat"
190,0.1,12,"gpt-4o","Democrat"
191,0.25,12,"gpt-4o","Democrat"
192,0.5,12,"gpt-4o","Democrat"
193,0.05,1,"gpt-3.5","DW1"
194,0.1,1,"gpt-3.5","DW1"
195,0.25,1,"gpt-3.5","DW1"
196,0.5,1,"gpt-3.5","DW1"
197,0.05,2,"gpt-3.5","DW1"
198,0.1,2,"gpt-3.5","DW1"
199,0.25,2,"gpt-3.5","DW1"
200,0.5,2,"gpt-3.5","DW1"
201,0.05,3,"gpt-3.5","DW1"
202,0.1,3,"gpt-3.5","DW1"
203,0.25,3,"gpt-3.5","DW1"
204,0.5,3,"gpt-3.5","DW1"
205,0.05,4,"gpt-3.5","DW1"
206,0.1,4,"gpt-3.5","DW1"
207,0.25,4,"gpt-3.5","DW1"
208,0.5,4,"gpt-3.5","DW1"
209,0.05,5,"gpt-3.5","DW1"
210,0.1,5,"gpt-3.5","DW1"
211,0.25,5,"gpt-3.5","DW1"
212,0.5,5,"gpt-3.5","DW1"
213,0.05,6,"gpt-3.5","DW1"
214,0.1,6,"gpt-3.5","DW1"
215,0.25,6,"gpt-3.5","DW1"
216,0.5,6,"gpt-3.5","DW1"
217,0.05,7,"gpt-3.5","DW1"
218,0.1,7,"gpt-3.5","DW1"
219,0.25,7,"gpt-3.5","DW1"
220,0.5,7,"gpt-3.5","DW1"
221,0.05,8,"gpt-3.5","DW1"
222,0.1,8,"gpt-3.5","DW1"
223,0.25,8,"gpt-3.5","DW1"
224,0.5,8,"gpt-3.5","DW1"
225,0.05,9,"gpt-3.5","DW1"
226,0.1,9,"gpt-3.5","DW1"
227,0.25,9,"gpt-3.5","DW1"
228,0.5,9,"gpt-3.5","DW1"
229,0.05,10,"gpt-3.5","DW1"
230,0.1,10,"gpt-3.5","DW1"
231,0.25,10,"gpt-3.5","DW1"
232,0.5,10,"gpt-3.5","DW1"
233,0.05,11,"gpt-3.5","DW1"
234,0.1,11,"gpt-3.5","DW1"
235,0.25,11,"gpt-3.5","DW1"
236,0.5,11,"gpt-3.5","DW1"
237,0.05,12,"gpt-3.5","DW1"
238,0.1,12,"gpt-3.5","DW1"
239,0.25,12,"gpt-3.5","DW1"
240,0.5,12,"gpt-3.5","DW1"
241,0.05,1,"gpt-4o","DW1"
242,0.1,1,"gpt-4o","DW1"
243,0.25,1,"gpt-4o","DW1"
244,0.5,1,"gpt-4o","DW1"
245,0.05,2,"gpt-4o","DW1"
246,0.1,2,"gpt-4o","DW1"
247,0.25,2,"gpt-4o","DW1"
248,0.5,2,"gpt-4o","DW1"
249,0.05,3,"gpt-4o","DW1"
250,0.1,3,"gpt-4o","DW1"
251,0.25,3,"gpt-4o","DW1"
252,0.5,3,"gpt-4o","DW1"
253,0.05,4,"gpt-4o","DW1"
254,0.1,4,"gpt-4o","DW1"
255,0.25,4,"gpt-4o","DW1"
256,0.5,4,"gpt-4o","DW1"
257,0.05,5,"gpt-4o","DW1"
258,0.1,5,"gpt-4o","DW1"
259,0.25,5,"gpt-4o","DW1"
260,0.5,5,"gpt-4o","DW1"
261,0.05,6,"gpt-4o","DW1"
262,0.1,6,"gpt-4o","DW1"
263,0.25,6,"gpt-4o","DW1"
264,0.5,6,"gpt-4o","DW1"
265,0.05,7,"gpt-4o","DW1"
266,0.1,7,"gpt-4o","DW1"
267,0.25,7,"gpt-4o","DW1"
268,0.5,7,"gpt-4o","DW1"
269,0.05,8,"gpt-4o","DW1"
270,0.1,8,"gpt-4o","DW1"
271,0.25,8,"gpt-4o","DW1"
272,0.5,8,"gpt-4o","DW1"
273,0.05,9,"gpt-4o","DW1"
274,0.1,9,"gpt-4o","DW1"
275,0.25,9,"gpt-4o","DW1"
276,0.5,9,"gpt-4o","DW1"
277,0.05,10,"gpt-4o","DW1"
278,0.1,10,"gpt-4o","DW1"
279,0.25,10,"gpt-4o","DW1"
280,0.5,10,"gpt-4o","DW1"
281,0.05,11,"gpt-4o","DW1"
