,original_index,context,labels,prompts,gold,q_chatgpt,LLM_correct
0,1173,Bacterial lung infections are increasing because of face masks,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
1,2075,Fenugreek Seed Tape Can Cure Throat Infection During COVID-19,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
2,1,"Climate crisis: Remote glaciers in China melting at 'shocking' pace, risking water shortages",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
3,19,How The COVID Relief Bill Turned Into A Climate Change Bill,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
4,1873,The senate of Berlin admitted that PCR tests are a scam and can't detect infections,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
5,392,Rusting oil tanker could create one of the worst environmental disasters in history,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
6,465,John Kerry's Think Tank Calls for War With Russia Over Climate Change,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
7,482,Joe Biden unlikely to cancel Trump's Space Force but could use NASA to help in climate crisis fight,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
8,1511,Bogot has more ICU beds than Peru and Chile.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
9,2009,"CoronaVac, a chinese vaccine candidate being tested in Brazil, causes 10 types of cancer and suicidal thoughts",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
10,343,Trump says Paris climate agreement 'was designed to kill US economy',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
11,1847,"The total number of deaths in the U.S. this year is significantly down compared to previous years, so COVID-19 restrictions weren't needed.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,1
12,1808,Event 201 held by The Johns Hopkins Center for Health Security in 2019 was a scenario plotted about the coronavirus pandemic,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,0
