"","headline","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3","headline.type"
"1","Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74",0.6,0.8,4259,"AGILENT TECHNOLOGIES INC",8,"the large purchase of call options ahead of the earnings report indicates a bullish sentiment, suggesting an expected increase in the stock price.",180,398,2,"2019-01-29",87432,0.395797658711672,2.55574360489845,3.73844497244495,4.77161809764763,-0.515960436314344,1.51010853696054,2.26098407824653,"increase"
"2","Bank of America Earlier Upgraded Advance Auto Parts to Buy",0.6,0.8,4275,"ADVANCE AUTO PARTS INC",8,"an upgrade to 'buy' from a major financial institution like bank of america typically signals positive sentiment and can lead to an increase in stock price.",147,59,2,"2019-01-09",89217,2.75589823722839,0.38923230022192,-1.21023553800086,-4.93826883795827,-0.695044780150056,0.761920987422471,-1.73779659177284,"increase"
"3","Barclays Upgrades Advance Auto Parts to Overweight, Raises Price Target to $205",0.6,0.8,4283,"ADVANCE AUTO PARTS INC",8,"an upgrade from barclays to 'overweight' and a raised price target to $205 is likely to positively influence investor sentiment, leading to an increase in advance auto parts' stock price.",154,67,2,"2019-01-07",89217,1.46716320887208,-0.695044780150056,-1.50179842710764,1.85553280222497,-2.4808157235384,0.563576110962116,0.857354734520466,"increase"
"4","Abbvie shares are continuing lower following a large sell off Friday due to worse than expected Q4 EPS and revenue results.",0.7,0.9,4291,"ABBVIE INC",8,"the news indicates that abbvie shares are continuing to decline following a large sell-off due to worse than expected q4 eps and revenue results, which typically leads to a decrease in stock price.",155,69,0,"2019-01-28",13721,-4.22150678932667,0.427795993164182,1.80191779742647,3.40938198585103,-6.21797442436218,-8.9429012528845,-9.15858591226987,"decrease"
"5","AbbVie Announces FDA Approval of IMBRUVICA Plus Obinutuzumab for Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma in Previously Untreated Patien",0.6,0.8,4299,"ABBVIE INC",8,"fda approval of a new treatment option for a serious condition like chronic lymphocytic leukemia/small lymphocytic lymphoma is likely to positively impact abbvie's stock price as it can lead to increased revenue and market share.",170,79,2,"2019-01-28",13721,-4.22150678932667,0.427795993164182,1.80191779742647,3.40938198585103,-6.21797442436218,-8.9429012528845,-9.15858591226987,"increase"
"6","From AbbVie Q4 Earnings Conference Call: CEO Richard Gonzalez Says Rumors Of His Retirement Are False",0.3,0.7,4307,"ABBVIE INC",8,"the confirmation that ceo richard gonzalez is not retiring can provide stability and confidence to investors, potentially leading to a slight increase in stock price.",152,57,2,"2019-01-25",13721,-6.21797442436218,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,"increase"
"7","From AbbVie Q4 Earnings Conference Call: Sees Q1 EPS $2.05-$2.07 vs $2.03 Estimate, Sales $7.7B vs $8B Est.",0.6,0.8,4315,"ABBVIE INC",8,"the news indicates that abbvie's q1 eps and sales estimates are below market expectations, which is likely to negatively impact investor sentiment and lead to a decrease in the stock price.",172,67,0,"2019-01-25",13721,-6.21797442436218,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,"decrease"
"8","AbbVie shares are trading lower after the company missed Q4 EPS and sales estimates.",0.7,0.9,4323,"ABBVIE INC",8,"the news indicates that abbvie missed its q4 eps and sales estimates, which typically leads to a decrease in stock price as it signals weaker-than-expected financial performance.",148,65,0,"2019-01-25",13721,-6.21797442436218,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,"decrease"
"9","From AbbVie Conference Call; Co. Says Humira Will Continue To Generate 'Strong Revenue', Driving Roughly $1B Of Growth In 2019",0.6,0.8,4331,"ABBVIE INC",8,"the news indicates that humira, a key product for abbvie, will continue to generate strong revenue and contribute significantly to growth, which is likely to positively impact investor sentiment and increase the stock price.",163,75,2,"2019-01-25",13721,-6.21797442436218,-4.22150678932667,-0.0496659760699902,-1.08021210327025,-2.90559604763985,-3.1355811200047,-4.0446957283493,"increase"
"10","UBS Assumes AbbVie at Neutral, Lowers Price Target To $91",0.6,0.8,4347,"ABBVIE INC",8,"the news indicates that ubs has assumed a neutral rating for abbvie and lowered its price target to $91, which is likely to be perceived negatively by investors and could lead to a decrease in the stock price.",148,82,0,"2019-01-23",13721,-0.236867484636605,-2.90559604763985,-10.6161668864304,-10.5935504744451,-0.938543397933245,1.67431963173021,3.6353015760306,"decrease"
