headline type,magnitude,confidence,custom_id,company_name,headline,prompt_type,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
neutral,0.0,0.63,26149,NOMURA HOLDINGS INC,"""Brexit"" And The US-China Trade War Drag On European Freight Markets",0,,113,801,1.0,2019-09-04,89256.0,1.21064679697156,0.47846846282482,6.93779836751893,3.11005064392186,1.72414220869541,4.55696367014339,4.82233642550444
positive,0.85,0.77,18868,INTERNATIONAL BUSINESS MACHS COR,"""Deep Data"" To Become The Greatest Natural Resource, Tech Execs Say",0,,113,550,2.0,2019-01-08,12490.0,1.42192151397466,0.71768388152122,1.5855808694993498,10.898770963516991,0.7074682973325199,4.6408623121304995,2.55186396067854
neutral,0.0,0.62,13904,CANADIAN NATIONAL RAILWAY CO,"""Every Option"" On Table To End CN Strike, Canadian Minister Says",0,,118,481,1.0,2019-11-25,84181.0,0.54192161187529,1.5839783474802902,-2.95897302363726,-1.0260752411344398,0.09963061893358,-0.08839981180025,-2.19578026778957
neutral,0.0,0.62,20293,HUNT J B TRANSPORT SERVICES INC,"""FreightWaves Is Doing Some Pretty Cool Stuff""",0,,115,481,1.0,2019-09-20,42877.0,0.92838471755385,-0.61323218978941,-2.7244857209331097,-4.87954411929361,-1.34333642199635,-1.5837101252327,-1.65217519888541
negative,0.65,0.78,31458,TEXTRON INC,"""Liquid nitrogen explosion at @TextronAviation @Beechcraft Plant III this morning sends 11 workers to the hospital. Authorities say no fatalities""",0,,126,673,0.0,2019-12-27,23579.0,-1.53162851929664,0.29305920470505,0.9467947044409,1.53291309274299,0.02219875896116,-1.1411025970825102,-0.3318617611647
neutral,0.0,0.65,11653,CALAMOS GLOBAL DYNAMIC INCOME FD,"""Nuclear Verdict"" Kills 540 Truck Carrier",0,,114,1057,1.0,2019-10-14,92110.0,0.38167599122971,-0.3802247578278099,0.7604555605203299,2.28136670467478,0.25284811854362,0.37974730762979,1.79717809338064
neutral,0.0,0.65,12182,ISHARES INC,"""Really tariffs, laws, have to originate with Congress, and I think you just can't declare emergencies on spending, on tariffs, also on arms sales,"" - Sen. Rand Paul on CNN",0,,134,545,1.0,2019-06-04,83223.0,1.8514201045036296,0.64427657052874,3.7735835528885,2.5077447330715303,-0.5824790336191601,-4.19847925269117,-2.82396183203412
positive,0.65,0.78,25974,TREEHOUSE FOODS INC,"""Shipper Of Choice"" TreeHouse Foods Bakes-In Driver Satisfaction",0,,112,289,2.0,2019-06-25,90775.0,-1.90755855292081,-1.4584869146347,2.56170328849314,5.1795070842695,-0.9087604470551,-1.26765801437906,-2.86834237845211
positive,0.7,0.68,28478,X P O INC,"""Shipper Of Choice"" – It Can Be A Sweet Deal To Partner With Nestle",0,,114,417,2.0,2019-06-13,90175.0,2.60575208812952,-1.3045746833086,0.2957003230493,-4.2268225451035795,0.95495274290442,0.86408558309953,4.1837113188820805
negative,0.85,0.85,24771,MCDONALDS CORP,"""These are extraordinary times for @McDonalds, and it appears the current CEO is in denial of the realities of the business.  Until changes are made at the top, $MCD 's operating performance will continue to disappoint..."" -Hedgeye Tweets",0,,154,545,0.0,2019-02-06,43449.0,-0.78279813751578,-0.5108377430588,-1.15223002511026,3.76319971440233,0.01126683855545,0.48099034000728,-0.67680466296025
