custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,headline type num
0,AGILENT TECHNOLOGIES INC,Agilent Companion Diagnostic Receives Expanded FDA Approval For PD-L1 IHC 22C3 PharmDx,1,increase,0.8,0.6,,2.0
1,AGILENT TECHNOLOGIES INC,"Piper Jaffray Initiates Coverage On Agilent Technologies with Overweight Rating, Announces $83 Price Target",1,increase,0.8,0.5,,2.0
10,BROADCOM INC,Broadcom Late Monday Disclosed Agreement With Apple For A Supply Arrangement; Co. To Supply Apple With Radio Frequency Components And Modules For Apple Devices,1,increase,0.8,0.6,,2.0
100,MAGNACHIP SEMICONDUCTOR CORP,UPDATE: MagnaChip Raises Prelim. Q2 Sales Guidance From $173M-$181M To At Least $194M vs $177M Estimate,1,increase,0.8,0.5,,2.0
1000,UNILEVER PLC,"'Unilever to shut ice cream facility in Nevada, cut 300 jobs' -Tweet from Reuters",1,decrease,0.8,0.5,,0.0
10000,A M C ENTERTAINMENT HOLDINGS INC,Amcor Enters Agreement For Sale Of Three Flexible Packaging Planks In UK And Ireland Fro $394M,3,uncertain,0.6,0.2,,1.0
10001,A M C ENTERTAINMENT HOLDINGS INC,Amcor Enters Agreement For Sale Of Three Flexible Packaging Planks In UK And Ireland Fro $394M,4,uncertain,0.6,0.2,,1.0
10002,A M C ENTERTAINMENT HOLDINGS INC,Amcor Enters Agreement For Sale Of Three Flexible Packaging Planks In UK And Ireland Fro $394M,5,uncertain,0.3,0.1,,1.0
10003,A M C ENTERTAINMENT HOLDINGS INC,Amcor Enters Agreement For Sale Of Three Flexible Packaging Planks In UK And Ireland Fro $394M,6,uncertain,0.7,0.5,"the news about amcor's sale of flexible packaging planks is unrelated to amc entertainment holdings inc, leading to uncertainty in its impact on investor sentiment.",1.0
10004,A M C ENTERTAINMENT HOLDINGS INC,Amcor Enters Agreement For Sale Of Three Flexible Packaging Planks In UK And Ireland Fro $394M,7,uncertain,0.5,0.5,"the news about amcor's sale of packaging planks is unrelated to amc entertainment holdings inc, making its impact on investor sentiment uncertain.",1.0
10005,A M C ENTERTAINMENT HOLDINGS INC,Amcor Enters Agreement For Sale Of Three Flexible Packaging Planks In UK And Ireland Fro $394M,8,uncertain,0.5,0.5,"the news about amcor's sale of flexible packaging plants does not directly relate to amc entertainment holdings inc, making its impact on investor sentiment unclear.",1.0
10006,ACTINIUM PHARMACEUTICALS INC,Actinium Highlights Presentation Of New Data Demonstrating Effective Lymphodepletion With Lutetium-177 For CAR-T At The 2019 Society Of Nuclear Medicine And Molecular Imaging Annual Meeting,0,increase,0.8,0.7,,2.0
10007,ACTINIUM PHARMACEUTICALS INC,Actinium Highlights Presentation Of New Data Demonstrating Effective Lymphodepletion With Lutetium-177 For CAR-T At The 2019 Society Of Nuclear Medicine And Molecular Imaging Annual Meeting,2,increase,0.8,0.7,,2.0
