headline type,magnitude,confidence,custom_id,company_name,headline,prompt_type,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
uncertain,0.4,0.58,26156,NOMURA HOLDINGS INC,"""Brexit"" And The US-China Trade War Drag On European Freight Markets",8,"brexit and us-china tensions imply macro headwinds for global trade and markets, which could dampen nomura's trading volumes and client activity, yet higher volatility could also create some trading opportunities, leading to overall uncertainty in sentiment.",142,1499,1.0,2019-09-04,89256.0,1.21064679697156,0.47846846282482,6.93779836751893,3.11005064392186,1.72414220869541,4.55696367014339,4.82233642550444
uncertain,0.25,0.55,18875,INTERNATIONAL BUSINESS MACHS COR,"""Deep Data"" To Become The Greatest Natural Resource, Tech Execs Say",8,"the article frames data as a valuable tech resource in general, but does not mention ibm specifically, leaving impact on ibm sentiment uncertain.",142,1479,1.0,2019-01-08,12490.0,1.42192151397466,0.71768388152122,1.5855808694993498,10.898770963516991,0.7074682973325199,4.6408623121304995,2.55186396067854
increase,0.25,0.66,13911,CANADIAN NATIONAL RAILWAY CO,"""Every Option"" On Table To End CN Strike, Canadian Minister Says",8,"prospects of ending the cn strike imply a potential resolution and restored operations, which is favorable for cn's profitability and investor sentiment, though the outcome is not guaranteed.",147,1037,2.0,2019-11-25,84181.0,0.54192161187529,1.5839783474802902,-2.95897302363726,-1.0260752411344398,0.09963061893358,-0.08839981180025,-2.19578026778957
uncertain,0.0,0.6,20300,HUNT J B TRANSPORT SERVICES INC,"""FreightWaves Is Doing Some Pretty Cool Stuff""",8,"the news item discusses freightwaves with no reference to hunt j b transport services inc., so there is no direct information about its impact on hunt j b transport's investor sentiment.",144,1356,1.0,2019-09-20,42877.0,0.92838471755385,-0.61323218978941,-2.7244857209331097,-4.87954411929361,-1.34333642199635,-1.5837101252327,-1.65217519888541
uncertain,0.25,0.65,31465,TEXTRON INC,"""Liquid nitrogen explosion at @TextronAviation @Beechcraft Plant III this morning sends 11 workers to the hospital. Authorities say no fatalities""",8,"the incident signals safety concerns and potential near-term disruption, but the absence of fatalities and unspecified financial impact keep the overall effect on investor sentiment uncertain.",155,1610,1.0,2019-12-27,23579.0,-1.53162851929664,0.29305920470505,0.9467947044409,1.53291309274299,0.02219875896116,-1.1411025970825102,-0.3318617611647
uncertain,0.25,0.58,11660,CALAMOS GLOBAL DYNAMIC INCOME FD,"""Nuclear Verdict"" Kills 540 Truck Carrier",8,"the headline suggests broader risk-off pressure in liability and transport sectors that could affect credit spreads for income funds, but the impact on calamos global dynamic income fd is uncertain due to its diversified holdings and active risk management.",143,2139,1.0,2019-10-14,92110.0,0.38167599122971,-0.3802247578278099,0.7604555605203299,2.28136670467478,0.25284811854362,0.37974730762979,1.79717809338064
uncertain,0.34,0.58,12189,ISHARES INC,"""Really tariffs, laws, have to originate with Congress, and I think you just can't declare emergencies on spending, on tariffs, also on arms sales,"" - Sen. Rand Paul on CNN",8,"the quote points to ongoing policy uncertainty around tariffs and executive authority, creating ambiguous sentiment for ishares etfs rather than a clear directional move.",163,2243,1.0,2019-06-04,83223.0,1.8514201045036296,0.64427657052874,3.7735835528885,2.5077447330715303,-0.5824790336191601,-4.19847925269117,-2.82396183203412
increase,0.45,0.65,25981,TREEHOUSE FOODS INC,"""Shipper Of Choice"" TreeHouse Foods Bakes-In Driver Satisfaction",8,"the piece suggests improved driver satisfaction and logistics efficiency, which can reduce turnover and enhance delivery reliability and margins, supporting a positive sentiment among investors.",141,1224,2.0,2019-06-25,90775.0,-1.90755855292081,-1.4584869146347,2.56170328849314,5.1795070842695,-0.9087604470551,-1.26765801437906,-2.86834237845211
uncertain,0.0,0.6,28485,X P O INC,"""Shipper Of Choice"" – It Can Be A Sweet Deal To Partner With Nestle",8,"the piece discusses a potential nestle partnership, which could be favorable if realized, but without a confirmed deal the impact on sentiment is uncertain.",143,2506,1.0,2019-06-13,90175.0,2.60575208812952,-1.3045746833086,0.2957003230493,-4.2268225451035795,0.95495274290442,0.86408558309953,4.1837113188820805
decrease,0.68,0.72,34727,P G & E CORP,"' PG&E Knew for Years Its Lines Could Spark Wildfires, And Didn't Fix Them' -Dow Jones",8,"the report alleging long-term knowledge of wildfire risk and inaction suggests governance failures, potential liabilities, and remediation costs, which would weigh on investors' sentiment toward pg&e.",151,1359,0.0,2019-07-10,13688.0,-2.23846398293972,-4.43924702703952,-13.7850417007584,-11.72897348352941,0.73630856350064,0.45891909280191,-2.1457372841654
