ID,BillID,PromptingStrategyID,PromptingStrategyName,ResponseFormat,TrimText,AddIntrYear,Model,Temperature,PassSLLM,PassHLLM,InputTokens,OutputTokens,Year,Major,MajorText,Party,PassH,PassS,Description,DW1,Chamber,Postal
1,88-S-1173,1,Predict Bill Passage,JSON,False,False,gpt-3.5-turbo-0125,0,1,1,132,22,1963,20,Public Lands and Water Management,Democrat,0,0,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,-0.243,Senate,OK
2,88-S-1173,2,Predict Bill Passage,JSON,False,True,gpt-3.5-turbo-0125,0,1,1,141,22,1963,20,Public Lands and Water Management,Democrat,0,0,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,-0.243,Senate,OK
5,88-S-1173,1,Predict Bill Passage,JSON,False,False,gpt-4o-2024-05-13,0,0,0,132,22,1963,20,Public Lands and Water Management,Democrat,0,0,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,-0.243,Senate,OK
6,88-S-1173,2,Predict Bill Passage,JSON,False,True,gpt-4o-2024-05-13,0,0,0,141,22,1963,20,Public Lands and Water Management,Democrat,0,0,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,-0.243,Senate,OK
9,92-S-3392,1,Predict Bill Passage,JSON,False,False,gpt-3.5-turbo-0125,0,1,1,126,22,1972,16,"Space, Science, Technology, and Communications",Democrat,0,0,A bill to amend the National Science Foundation Act of 1950 so as to provide for a program relating to earthquakes,-0.441,Senate,CA
10,92-S-3392,2,Predict Bill Passage,JSON,False,True,gpt-3.5-turbo-0125,0,1,1,135,22,1972,16,"Space, Science, Technology, and Communications",Democrat,0,0,A bill to amend the National Science Foundation Act of 1950 so as to provide for a program relating to earthquakes,-0.441,Senate,CA
13,92-S-3392,1,Predict Bill Passage,JSON,False,False,gpt-4o-2024-05-13,0,0,0,126,22,1972,16,"Space, Science, Technology, and Communications",Democrat,0,0,A bill to amend the National Science Foundation Act of 1950 so as to provide for a program relating to earthquakes,-0.441,Senate,CA
14,92-S-3392,2,Predict Bill Passage,JSON,False,True,gpt-4o-2024-05-13,0,0,0,135,22,1972,16,"Space, Science, Technology, and Communications",Democrat,0,0,A bill to amend the National Science Foundation Act of 1950 so as to provide for a program relating to earthquakes,-0.441,Senate,CA
17,83-HR-3888,1,Predict Bill Passage,JSON,False,False,gpt-3.5-turbo-0125,0,0,1,110,22,1953,2,"Civil Rights, Minority Issues, and Civil Liberties",Democrat,0,0,To protect the right to political participation,-0.658,House,NY
18,83-HR-3888,2,Predict Bill Passage,JSON,False,True,gpt-3.5-turbo-0125,0,1,1,119,22,1953,2,"Civil Rights, Minority Issues, and Civil Liberties",Democrat,0,0,To protect the right to political participation,-0.658,House,NY
21,83-HR-3888,1,Predict Bill Passage,JSON,False,False,gpt-4o-2024-05-13,0,0,0,111,22,1953,2,"Civil Rights, Minority Issues, and Civil Liberties",Democrat,0,0,To protect the right to political participation,-0.658,House,NY
22,83-HR-3888,2,Predict Bill Passage,JSON,False,True,gpt-4o-2024-05-13,0,0,0,120,22,1953,2,"Civil Rights, Minority Issues, and Civil Liberties",Democrat,0,0,To protect the right to political participation,-0.658,House,NY
25,91-HR-6953,1,Predict Bill Passage,JSON,False,False,gpt-3.5-turbo-0125,0,1,1,135,22,1969,19,Government Operations,Republican,0,0,"To abolish the Commission on Executive, Legislative, sand Judicial Salaries established by section 225 of the Federal Salary Act of 1967, and far other purposes",0.25,House,NY
26,91-HR-6953,2,Predict Bill Passage,JSON,False,True,gpt-3.5-turbo-0125,0,1,1,144,22,1969,19,Government Operations,Republican,0,0,"To abolish the Commission on Executive, Legislative, sand Judicial Salaries established by section 225 of the Federal Salary Act of 1967, and far other purposes",0.25,House,NY
29,91-HR-6953,1,Predict Bill Passage,JSON,False,False,gpt-4o-2024-05-13,0,0,0,137,22,1969,19,Government Operations,Republican,0,0,"To abolish the Commission on Executive, Legislative, sand Judicial Salaries established by section 225 of the Federal Salary Act of 1967, and far other purposes",0.25,House,NY
30,91-HR-6953,2,Predict Bill Passage,JSON,False,True,gpt-4o-2024-05-13,0,0,0,146,22,1969,19,Government Operations,Republican,0,0,"To abolish the Commission on Executive, Legislative, sand Judicial Salaries established by section 225 of the Federal Salary Act of 1967, and far other purposes",0.25,House,NY
33,92-S-2956,1,Predict Bill Passage,JSON,False,False,gpt-3.5-turbo-0125,0,0,1,130,22,1971,15,Defense,Republican,1,1,A bill to make rules governing the use of the Armed Forces of the United States in the absence of a declaration of war by the Congress,-0.319,Senate,NY
34,92-S-2956,2,Predict Bill Passage,JSON,False,True,gpt-3.5-turbo-0125,0,1,1,139,22,1971,15,Defense,Republican,1,1,A bill to make rules governing the use of the Armed Forces of the United States in the absence of a declaration of war by the Congress,-0.319,Senate,NY
37,92-S-2956,1,Predict Bill Passage,JSON,False,False,gpt-4o-2024-05-13,0,0,0,130,22,1971,15,Defense,Republican,1,1,A bill to make rules governing the use of the Armed Forces of the United States in the absence of a declaration of war by the Congress,-0.319,Senate,NY
38,92-S-2956,2,Predict Bill Passage,JSON,False,True,gpt-4o-2024-05-13,0,0,0,139,22,1971,15,Defense,Republican,1,1,A bill to make rules governing the use of the Armed Forces of the United States in the absence of a declaration of war by the Congress,-0.319,Senate,NY
41,113-HR-1855,1,Predict Bill Passage,JSON,False,False,gpt-3.5-turbo-0125,0,1,1,144,22,2013,15,Defense,Democrat,0,0,"To require the Secretary of Defense to establish a process to determine whether individuals claiming certain service in the Philippines during World War II are eligible for certain benefits despite not being on the Missouri List, and for other purposes.",-0.341,House,HI
42,113-HR-1855,2,Predict Bill Passage,JSON,False,True,gpt-3.5-turbo-0125,0,1,1,153,22,2013,15,Defense,Democrat,0,0,"To require the Secretary of Defense to establish a process to determine whether individuals claiming certain service in the Philippines during World War II are eligible for certain benefits despite not being on the Missouri List, and for other purposes.",-0.341,House,HI
45,113-HR-1855,1,Predict Bill Passage,JSON,False,False,gpt-4o-2024-05-13,0,0,0,145,22,2013,15,Defense,Democrat,0,0,"To require the Secretary of Defense to establish a process to determine whether individuals claiming certain service in the Philippines during World War II are eligible for certain benefits despite not being on the Missouri List, and for other purposes.",-0.341,House,HI
46,113-HR-1855,2,Predict Bill Passage,JSON,False,True,gpt-4o-2024-05-13,0,0,0,154,22,2013,15,Defense,Democrat,0,0,"To require the Secretary of Defense to establish a process to determine whether individuals claiming certain service in the Philippines during World War II are eligible for certain benefits despite not being on the Missouri List, and for other purposes.",-0.341,House,HI
49,90-S-2512,1,Predict Bill Passage,JSON,False,False,gpt-3.5-turbo-0125,0,0,0,144,22,1967,19,Government Operations,Democrat,0,0,"A bill to provide financial assistance to candidates for President and Vice President and candidates for the Senate and House of Representatives to assist in defraying their election campaign expenses, and to repeal the Presidential Election Campaign Fund",-0.44,Senate,MT
50,90-S-2512,2,Predict Bill Passage,JSON,False,True,gpt-3.5-turbo-0125,0,0,0,153,22,1967,19,Government Operations,Democrat,0,0,"A bill to provide financial assistance to candidates for President and Vice President and candidates for the Senate and House of Representatives to assist in defraying their election campaign expenses, and to repeal the Presidential Election Campaign Fund",-0.44,Senate,MT
53,90-S-2512,1,Predict Bill Passage,JSON,False,False,gpt-4o-2024-05-13,0,0,0,144,22,1967,19,Government Operations,Democrat,0,0,"A bill to provide financial assistance to candidates for President and Vice President and candidates for the Senate and House of Representatives to assist in defraying their election campaign expenses, and to repeal the Presidential Election Campaign Fund",-0.44,Senate,MT
54,90-S-2512,2,Predict Bill Passage,JSON,False,True,gpt-4o-2024-05-13,0,0,0,153,22,1967,19,Government Operations,Democrat,0,0,"A bill to provide financial assistance to candidates for President and Vice President and candidates for the Senate and House of Representatives to assist in defraying their election campaign expenses, and to repeal the Presidential Election Campaign Fund",-0.44,Senate,MT
57,90-HR-17650,1,Predict Bill Passage,JSON,False,False,gpt-3.5-turbo-0125,0,1,1,127,22,1968,20,Public Lands and Water Management,Democrat,0,0,To declare that certain federally owned lands are held by the United States in trust for the Indians of the Pueblo of Laguna,-0.117,House,NM
58,90-HR-17650,2,Predict Bill Passage,JSON,False,True,gpt-3.5-turbo-0125,0,1,1,136,22,1968,20,Public Lands and Water Management,Democrat,0,0,To declare that certain federally owned lands are held by the United States in trust for the Indians of the Pueblo of Laguna,-0.117,House,NM
61,90-HR-17650,1,Predict Bill Passage,JSON,False,False,gpt-4o-2024-05-13,0,0,0,127,22,1968,20,Public Lands and Water Management,Democrat,0,0,To declare that certain federally owned lands are held by the United States in trust for the Indians of the Pueblo of Laguna,-0.117,House,NM
62,90-HR-17650,2,Predict Bill Passage,JSON,False,True,gpt-4o-2024-05-13,0,0,0,136,22,1968,20,Public Lands and Water Management,Democrat,0,0,To declare that certain federally owned lands are held by the United States in trust for the Indians of the Pueblo of Laguna,-0.117,House,NM
65,80-S-29,1,Predict Bill Passage,JSON,False,False,gpt-3.5-turbo-0125,0,1,1,122,22,1947,15,Defense,Democrat,0,0,A bill to authorize payment of claims based on loss of or damage to property deposited by alien enemies,-0.0002153380151543,Senate,NV
66,80-S-29,2,Predict Bill Passage,JSON,False,True,gpt-3.5-turbo-0125,0,1,1,131,22,1947,15,Defense,Democrat,0,0,A bill to authorize payment of claims based on loss of or damage to property deposited by alien enemies,-0.0002153380151543,Senate,NV
69,80-S-29,1,Predict Bill Passage,JSON,False,False,gpt-4o-2024-05-13,0,0,0,122,22,1947,15,Defense,Democrat,0,0,A bill to authorize payment of claims based on loss of or damage to property deposited by alien enemies,-0.0002153380151543,Senate,NV
70,80-S-29,2,Predict Bill Passage,JSON,False,True,gpt-4o-2024-05-13,0,0,0,131,22,1947,15,Defense,Democrat,0,0,A bill to authorize payment of claims based on loss of or damage to property deposited by alien enemies,-0.0002153380151543,Senate,NV
73,96-S-2794,1,Predict Bill Passage,JSON,False,False,gpt-3.5-turbo-0125,0,1,1,134,22,1980,8,Energy,Democrat,0,0,A bill to amend the Internal Revenue Code of 1954 to provide a tax credit to home builders for the construction of residences incorporating certain solar energy utilization characteristics.,-0.411,Senate,CO
74,96-S-2794,2,Predict Bill Passage,JSON,False,True,gpt-3.5-turbo-0125,0,1,1,143,22,1980,8,Energy,Democrat,0,0,A bill to amend the Internal Revenue Code of 1954 to provide a tax credit to home builders for the construction of residences incorporating certain solar energy utilization characteristics.,-0.411,Senate,CO
77,96-S-2794,1,Predict Bill Passage,JSON,False,False,gpt-4o-2024-05-13,0,0,0,134,22,1980,8,Energy,Democrat,0,0,A bill to amend the Internal Revenue Code of 1954 to provide a tax credit to home builders for the construction of residences incorporating certain solar energy utilization characteristics.,-0.411,Senate,CO
78,96-S-2794,2,Predict Bill Passage,JSON,False,True,gpt-4o-2024-05-13,0,0,0,143,22,1980,8,Energy,Democrat,0,0,A bill to amend the Internal Revenue Code of 1954 to provide a tax credit to home builders for the construction of residences incorporating certain solar energy utilization characteristics.,-0.411,Senate,CO
