ID,BillID,PromptingStrategyID,PromptingStrategyName,ResponseFormat,TrimText,AddIntrDate,Model,Temperature,MaxTokens,DescriptionTrim,DescriptionLLM,InputTokens,OutputTokens,Year,Major,MajorText,Party,PassH,PassS,Description,DW1,Chamber,Postal,IntrDate
0,102-HR-5213,3,Complete Bill Summary,JSON,True,False,gpt-3.5-turbo-0125,0,500.0,"To extend until January 1, 1995, the existing suspension of duty on 6-Hydrox","To extend until January 1, 1995, the existing suspension of duty on 6-Hydrox, a chemical compound used in various industries. This bill aims to continue promoting the use and availability of 6-Hydrox by temporarily waiving import taxes, ultimately supporting businesses and consumers who rely on this substance for their products and operations.",89,79,1992,17,Foreign Trade,Democrat,0,0,"To extend until January 1, 1995, the existing suspension of duty on 6-Hydroxy-2-naphthalenesulfonic acid, and its sodium, potassium, and ammonium salts.",-0.313,House,WI,1992-05-20
1,102-HR-5213,4,Complete Bill Summary,JSON,True,True,gpt-3.5-turbo-0125,0,500.0,"To extend until January 1, 1995, the existing suspension of duty on 6-Hydrox","To extend until January 1, 1995, the existing suspension of duty on 6-Hydrox and certain other chemicals used in the manufacturing of pharmaceutical products. This bill aims to support domestic pharmaceutical manufacturing by reducing costs associated with importing necessary raw materials. The extension of the duty suspension is intended to promote innovation and competitiveness in the pharmaceutical industry.",101,79,1992,17,Foreign Trade,Democrat,0,0,"To extend until January 1, 1995, the existing suspension of duty on 6-Hydroxy-2-naphthalenesulfonic acid, and its sodium, potassium, and ammonium salts.",-0.313,House,WI,1992-05-20
2,102-HR-5213,3,Complete Bill Summary,JSON,True,False,gpt-4o-2024-05-13,0,500.0,"To extend until January 1, 1995, the existing suspension of duty on 6-Hydrox","To extend until January 1, 1995, the existing suspension of duty on 6-Hydroxy-2-naphthoic acid, a chemical compound used in the production of liquid crystal polymers and other industrial applications. This extension aims to support domestic manufacturers by reducing costs associated with importing this essential raw material.",90,73,1992,17,Foreign Trade,Democrat,0,0,"To extend until January 1, 1995, the existing suspension of duty on 6-Hydroxy-2-naphthalenesulfonic acid, and its sodium, potassium, and ammonium salts.",-0.313,House,WI,1992-05-20
3,102-HR-5213,4,Complete Bill Summary,JSON,True,True,gpt-4o-2024-05-13,0,500.0,"To extend until January 1, 1995, the existing suspension of duty on 6-Hydrox","To extend until January 1, 1995, the existing suspension of duty on 6-Hydroxy-2-naphthalenecarboxylic acid, also known as 6-Hydroxy-2-naphthoic acid, which is used in the production of certain dyes and pigments. This bill aims to continue the temporary suspension of import duties on this chemical compound to support domestic industries that rely on it for manufacturing processes.",102,99,1992,17,Foreign Trade,Democrat,0,0,"To extend until January 1, 1995, the existing suspension of duty on 6-Hydroxy-2-naphthalenesulfonic acid, and its sodium, potassium, and ammonium salts.",-0.313,House,WI,1992-05-20
4,111-S-2894,3,Complete Bill Summary,JSON,True,False,gpt-3.5-turbo-0125,0,500.0,A bill to amend the Internal Revenue Code to provide for a refundable tax credit for heating fuels a,"A bill to amend the Internal Revenue Code to provide for a refundable tax credit for heating fuels and energy-efficient home improvements, in order to incentivize the use of cleaner and more sustainable energy sources and reduce overall energy consumption in households across the United States.",86,60,2009,8,Energy,Democrat,0,0,A bill to amend the Internal Revenue Code to provide for a refundable tax credit for heating fuels and to create a grant program for States to provide individuals with loans to weatherize their homes.,-0.478,Senate,NY,2009-12-16
5,111-S-2894,4,Complete Bill Summary,JSON,True,True,gpt-3.5-turbo-0125,0,500.0,A bill to amend the Internal Revenue Code to provide for a refundable tax credit for heating fuels a,"A bill to amend the Internal Revenue Code to provide for a refundable tax credit for heating fuels and electricity used in residential homes, with the goal of assisting low-income individuals and families with their energy costs. The credit would be available for the tax years 2010 and 2011, and would be based on the amount of heating fuel or electricity purchased during those years. The bill also includes provisions for the administration and enforcement of the tax credit.",98,99,2009,8,Energy,Democrat,0,0,A bill to amend the Internal Revenue Code to provide for a refundable tax credit for heating fuels and to create a grant program for States to provide individuals with loans to weatherize their homes.,-0.478,Senate,NY,2009-12-16
6,111-S-2894,3,Complete Bill Summary,JSON,True,False,gpt-4o-2024-05-13,0,500.0,A bill to amend the Internal Revenue Code to provide for a refundable tax credit for heating fuels a,"A bill to amend the Internal Revenue Code to provide for a refundable tax credit for heating fuels and to assist low-income households in managing their heating costs. The bill aims to alleviate the financial burden of heating expenses by offering a refundable tax credit to eligible taxpayers who purchase heating fuels such as natural gas, propane, heating oil, and electricity. The credit would be available to individuals and families who meet certain income thresholds, ensuring that the assistance is targeted towards those most in need. Additionally, the bill includes provisions for the administration and enforcement of the tax credit, as well as measures to prevent fraud and abuse.",85,129,2009,8,Energy,Democrat,0,0,A bill to amend the Internal Revenue Code to provide for a refundable tax credit for heating fuels and to create a grant program for States to provide individuals with loans to weatherize their homes.,-0.478,Senate,NY,2009-12-16
7,111-S-2894,4,Complete Bill Summary,JSON,True,True,gpt-4o-2024-05-13,0,500.0,A bill to amend the Internal Revenue Code to provide for a refundable tax credit for heating fuels a,"A bill to amend the Internal Revenue Code to provide for a refundable tax credit for heating fuels and to provide for other purposes. This bill aims to assist low-income households by offering a refundable tax credit to offset the costs of heating fuels, such as natural gas, propane, and heating oil. The credit would be available to eligible taxpayers who incur expenses for heating their primary residence. Additionally, the bill includes provisions to ensure that the tax credit is accessible to those who need it most, including measures to prevent fraud and abuse.",97,113,2009,8,Energy,Democrat,0,0,A bill to amend the Internal Revenue Code to provide for a refundable tax credit for heating fuels and to create a grant program for States to provide individuals with loans to weatherize their homes.,-0.478,Senate,NY,2009-12-16
8,94-S-938,3,Complete Bill Summary,JSON,True,False,gpt-3.5-turbo-0125,0,500.0,"A bill to amend title 23 of the United States Code, relating to highways,","A bill to amend title 23 of the United States Code, relating to highways, in order to address issues related to funding, maintenance, and construction of highways across the country. This bill aims to improve the efficiency and safety of the highway system, as well as promote sustainable transportation practices and infrastructure development.",82,70,1975,10,Transportation,Democrat,0,0,"A bill to amend title 23 of the United States Code, relating to highways, in order to encourage the States to establish highway assistance patrols.",-0.236,Senate,SC,1975-03-04
9,94-S-938,4,Complete Bill Summary,JSON,True,True,gpt-3.5-turbo-0125,0,500.0,"A bill to amend title 23 of the United States Code, relating to highways,","A bill to amend title 23 of the United States Code, relating to highways, in order to provide for the establishment of a national highway safety program, to improve the safety of highways and reduce traffic accidents, injuries, and fatalities through the implementation of safety standards and measures, and to allocate federal funds for highway safety projects and initiatives.",94,76,1975,10,Transportation,Democrat,0,0,"A bill to amend title 23 of the United States Code, relating to highways, in order to encourage the States to establish highway assistance patrols.",-0.236,Senate,SC,1975-03-04
10,94-S-938,3,Complete Bill Summary,JSON,True,False,gpt-4o-2024-05-13,0,500.0,"A bill to amend title 23 of the United States Code, relating to highways,","A bill to amend title 23 of the United States Code, relating to highways, to improve the safety, efficiency, and sustainability of the national highway system. This bill proposes updates to existing regulations and introduces new measures to enhance infrastructure resilience, promote the use of advanced technologies, and ensure equitable access to transportation resources. Key provisions include increased funding for highway maintenance and construction, incentives for the adoption of environmentally friendly practices, and the establishment of new safety standards to reduce traffic accidents and fatalities. Additionally, the bill aims to streamline project approval processes and encourage public-private partnerships to leverage additional investment in the nation's highway infrastructure.",82,131,1975,10,Transportation,Democrat,0,0,"A bill to amend title 23 of the United States Code, relating to highways, in order to encourage the States to establish highway assistance patrols.",-0.236,Senate,SC,1975-03-04
11,94-S-938,4,Complete Bill Summary,JSON,True,True,gpt-4o-2024-05-13,0,500.0,"A bill to amend title 23 of the United States Code, relating to highways,","A bill to amend title 23 of the United States Code, relating to highways, to provide for the construction and maintenance of highways, to improve highway safety, to enhance the efficiency of highway transportation, and for other purposes. This bill includes provisions for the allocation of federal funds to states for highway projects, establishes guidelines for the planning and development of highway infrastructure, and sets forth measures to ensure the safety and durability of highways. Additionally, the bill addresses environmental concerns related to highway construction and maintenance, and promotes the use of advanced technologies in highway transportation.",94,119,1975,10,Transportation,Democrat,0,0,"A bill to amend title 23 of the United States Code, relating to highways, in order to encourage the States to establish highway assistance patrols.",-0.236,Senate,SC,1975-03-04
