"combination_id","train_proportion","model","prompt","V","regression","coef_name","coef_mean","coef_sd","bias_mean","bias_norm","mse_mean","coverage_mean"
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","14",0.291441005437397,0.0230399518295503,-0.0264397892645897,-1.14756269718754,0.0012293709972836,0.778
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","15",0.313459739288617,0.027252171824612,0.0320164403195447,1.17482160781879,0.00176699063902398,0.802
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","19",0.301397818937881,0.0240238803405351,0.0235785508273511,0.981463048147449,0.00113251773890771,0.837
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","20",0.395747055306333,0.0243100970581349,-0.0104203455747246,-0.428642697304151,0.000698973440053646,0.907
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","3",0.314959924830497,0.0301317817563299,-0.0118282939633315,-0.392552091973342,0.00104692488562227,0.938
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","Other",0.312205650396396,0.008079610126086,-0.00044943645223854,-0.0556260073474931,6.54168128143627e-05,0.952
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","14",0.323202710623622,0.111257853885449,0.00532191592163483,0.0478340695580402,0.0123942545302216,0.95
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","15",0.279666076513308,0.0569802505760886,-0.00177722245576409,-0.0311901481266896,0.0032466607264154,0.957
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","19",0.275591543303512,0.053633971567535,-0.00222772480701779,-0.0415357047391629,0.00287868906101684,0.936
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","20",0.408971003462406,0.0547631661796775,0.00280360258134859,0.0511950417941504,0.00300386555308709,0.937
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","3",0.322452749571967,0.0643076849407153,-0.00433546922186213,-0.0674175913167914,0.00415013915746559,0.947
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","Other",0.313099669908197,0.0233586124919356,0.000444583059562748,0.019032939551364,0.000545276806867713,0.949
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","14",0.317377163543449,0.0858833913578255,-0.00050363115853759,-0.00586412751726647,0.00736883459855414,0.925
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","15",0.279712825868154,0.0657216865916349,-0.00173047310091869,-0.0263303209436951,0.00431801528551363,0.943
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","19",0.276520807400525,0.0561672164224478,-0.00129846071000566,-0.0231177685616394,0.00315328744466087,0.938
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","20",0.404312445635424,0.0680237542639892,-0.00185495524563395,-0.0272692277235268,0.00462604477198672,0.934
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","3",0.322260524105538,0.0776214614150516,-0.00452769468829052,-0.0583304488958328,0.0060395662001265,0.945
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","Other",0.313720868578385,0.0288952118135417,0.00106578172975055,0.0368843715916654,0.000835234223179162,0.951
6,0.1,"gpt-3.5-turbo-0125",2,"Senate","5k_V_Yllm","14",0.294807654224135,0.0215151676762656,-0.0230731404778514,-1.07241276596252,0.000994809349208351,0.801
6,0.1,"gpt-3.5-turbo-0125",2,"Senate","5k_V_Yllm","15",0.296505713307745,0.0238955106427815,0.0150624143386724,0.630344944866142,0.000797300759160246,0.914
6,0.1,"gpt-3.5-turbo-0125",2,"Senate","5k_V_Yllm","19",0.292462196909191,0.0215185872326634,0.014642928798661,0.680478167099852,0.000677001910695909,0.914
