"return_type","question","mag_v_conf","model","prompt","W","V","coef","se","t","return"
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","base_blanks","1 day","Positive",0.958168728289019,0.550751986415435,1.73974629583318,0.0445997162731278
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","base_blanks","1 day","Negative",0.336701921961962,0.384760455696346,0.875094924587801,0.0445997162731278
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","base_json","1 day","Positive",0.141105984155683,0.360518767872702,0.391397055383,0.0445997162731278
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","base_json","1 day","Negative",1.02205171677963,0.459294885740517,2.22526256771134,0.0445997162731278
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","cot1","1 day","Positive",-0.276280392356536,0.310564658925103,-0.889606670999758,0.0445997162731278
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","cot1","1 day","Negative",0.767090189114727,0.490297898058016,1.56453901220674,0.0445997162731278
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","cot2","1 day","Positive",-0.210140994329679,0.284410553654398,-0.738864966962626,0.0445997162731278
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","cot2","1 day","Negative",1.03943281119607,0.46935309688385,2.21460733528152,0.0445997162731278
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","cot3","1 day","Positive",-0.399969192464667,0.344136310688339,-1.162240600722,0.0445997162731278
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","cot3","1 day","Negative",1.12906918847828,0.51187579096415,2.20574836397636,0.0445997162731278
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","persona1","1 day","Positive",-0.30986226831638,0.307508160856598,-1.00765543084523,0.0445997162731278
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","persona1","1 day","Negative",0.847588559906051,0.491999314295232,1.72274337642154,0.0445997162731278
"Realized Returns","q1","magnitude","GPT-3.5-Turbo","persona2","1 day","Positive",-0.352048467580856,0.252624471127365,-1.39356439227681,0.0445997162731278
