"","question","model","prompt","mag_v_conf","ret","up.coef","down.coef","up.se","down.se","group_id","id","return_type"
"1","q1","gpt-3.5-turbo","base_blanks","magnitude","1",0.958168728352462,0.33670192195231,0.5223918364417,0.351367115391739,"q1_magnitude_1_base_blanks",37,"realized"
"2","q1","gpt-3.5-turbo","base_json","magnitude","1",0.141105984155987,1.02205171679524,0.324611031859097,0.37323943292372,"q1_magnitude_1_base_json",38,"realized"
"3","q1","gpt-3.5-turbo","cot1","magnitude","1",-0.276280392364238,0.767090189123305,0.28544222020894,0.411647303301184,"q1_magnitude_1_cot1",39,"realized"
"4","q1","gpt-3.5-turbo","cot2","magnitude","1",-0.210140994332375,1.03943281120466,0.267523294769496,0.402620566911142,"q1_magnitude_1_cot2",40,"realized"
"5","q1","gpt-3.5-turbo","cot3","magnitude","1",-0.399969192470425,1.12906918849344,0.309522042528118,0.425770963119839,"q1_magnitude_1_cot3",41,"realized"
"6","q1","gpt-3.5-turbo","persona1","magnitude","1",-0.309862268330557,0.847588559924884,0.276726140012344,0.393015995457417,"q1_magnitude_1_persona1",42,"realized"
"7","q1","gpt-3.5-turbo","persona2","magnitude","1",-0.352048467591886,1.10524547712553,0.279941351530016,0.399346252254585,"q1_magnitude_1_persona2",43,"realized"
"8","q1","gpt-3.5-turbo","persona3","magnitude","1",-0.0207725542746063,1.63369127746444,0.270141509695674,0.37261863364763,"q1_magnitude_1_persona3",44,"realized"
"9","q1","gpt-3.5-turbo","persona4","magnitude","1",-0.739240286155601,0.645703478717076,0.477349601434728,1.04953286142677,"q1_magnitude_1_persona4",45,"realized"
"10","q1","gpt-3.5-turbo","base_blanks","confidence","1",0.838165797690144,0.92728970023397,1.68786899797608,0.63490164556935,"q1_confidence_1_base_blanks",10,"realized"
"11","q1","gpt-3.5-turbo","base_json","confidence","1",-0.427922150480158,0.35844422292351,0.729551688142154,1.33005209615415,"q1_confidence_1_base_json",11,"realized"
"12","q1","gpt-3.5-turbo","cot1","confidence","1",-0.360470369781591,-1.57801096716455,0.565495749273958,1.22401842295783,"q1_confidence_1_cot1",12,"realized"
"13","q1","gpt-3.5-turbo","cot2","confidence","1",0.584813978931033,-1.75809679865529,0.560319248109427,1.39444115237921,"q1_confidence_1_cot2",13,"realized"
"14","q1","gpt-3.5-turbo","cot3","confidence","1",-0.352082734842806,-0.124767139568371,0.558612900032218,1.15354837435004,"q1_confidence_1_cot3",14,"realized"
"15","q1","gpt-3.5-turbo","persona1","confidence","1",-1.67249812313321,1.00702470748246,0.600675660116032,1.14284149203873,"q1_confidence_1_persona1",15,"realized"
"16","q1","gpt-3.5-turbo","persona2","confidence","1",-1.92766531167692,1.34537377101924,0.558269843780327,1.20934439836136,"q1_confidence_1_persona2",16,"realized"
"17","q1","gpt-3.5-turbo","persona3","confidence","1",-1.28504757119012,1.36792875363397,0.548512404264062,1.54719775405881,"q1_confidence_1_persona3",17,"realized"
"18","q1","gpt-3.5-turbo","persona4","confidence","1",-2.31024473073876,0.758436389745146,1.1221850884396,1.96153304928405,"q1_confidence_1_persona4",18,"realized"
"19","q1","gpt-3.5-turbo","base_blanks","magnitude","5",0.387205487670109,-0.244243252716181,0.740974105887902,0.6575269281574,"q1_magnitude_5_base_blanks",46,"realized"
"20","q1","gpt-3.5-turbo","base_json","magnitude","5",0.854911418373071,0.529484851185918,0.561805268328719,0.707473464351495,"q1_magnitude_5_base_json",47,"realized"
"21","q1","gpt-3.5-turbo","cot1","magnitude","5",-0.0829713854266882,0.425475135936138,0.461574454944683,0.743765601640496,"q1_magnitude_5_cot1",48,"realized"
"22","q1","gpt-3.5-turbo","cot2","magnitude","5",-0.171967731929263,-0.28425873976133,0.450897984158168,0.869174772790375,"q1_magnitude_5_cot2",49,"realized"
"23","q1","gpt-3.5-turbo","cot3","magnitude","5",0.0808633536253676,1.00720672599737,0.54367765949889,0.768049796105053,"q1_magnitude_5_cot3",50,"realized"
"24","q1","gpt-3.5-turbo","persona1","magnitude","5",0.391783996931988,1.21584813104314,0.502518170630234,0.679429698828307,"q1_magnitude_5_persona1",51,"realized"
"25","q1","gpt-3.5-turbo","persona2","magnitude","5",-0.299884582122267,1.05077637962245,0.459914356091759,0.670846827489423,"q1_magnitude_5_persona2",52,"realized"
"26","q1","gpt-3.5-turbo","persona3","magnitude","5",0.266431311320208,1.17636918467918,0.439557518061785,0.707877922709091,"q1_magnitude_5_persona3",53,"realized"
"27","q1","gpt-3.5-turbo","persona4","magnitude","5",-0.450995543383094,1.24351537949793,0.845567368156167,1.51432617995605,"q1_magnitude_5_persona4",54,"realized"
"28","q1","gpt-3.5-turbo","base_blanks","confidence","5",-1.68257310448646,0.895592062929238,2.41151706356064,1.45249525663597,"q1_confidence_5_base_blanks",19,"realized"
"29","q1","gpt-3.5-turbo","base_json","confidence","5",-0.430475564642783,-5.9264121674753,1.28088046047746,4.137860144758,"q1_confidence_5_base_json",20,"realized"
"30","q1","gpt-3.5-turbo","cot1","confidence","5",-0.973778430123246,-9.92327654921869,0.905328307054923,3.93241289186086,"q1_confidence_5_cot1",21,"realized"
"31","q1","gpt-3.5-turbo","cot2","confidence","5",-0.331198942480781,-4.86475395208986,0.889291683358545,2.40685543181565,"q1_confidence_5_cot2",22,"realized"
"32","q1","gpt-3.5-turbo","cot3","confidence","5",-0.614359225049919,-6.94981898306527,0.91210778197697,3.22836824858056,"q1_confidence_5_cot3",23,"realized"
"33","q1","gpt-3.5-turbo","persona1","confidence","5",-1.12632887578771,-4.31973089176955,1.04654387917821,3.17109402891092,"q1_confidence_5_persona1",24,"realized"
"34","q1","gpt-3.5-turbo","persona2","confidence","5",-2.94933915816954,-4.8741302056269,0.901764897096464,3.42724958158766,"q1_confidence_5_persona2",25,"realized"
"35","q1","gpt-3.5-turbo","persona3","confidence","5",-1.87496670570483,0.0843541455368398,0.867899907956771,3.87493540505348,"q1_confidence_5_persona3",26,"realized"
