headline type,magnitude,confidence,custom_id,company_name,headline,prompt_type,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,sum_exret_1,sum_exret_5,sum_exret_10
negative,0.9,0.8,17021,NOMURA HOLDINGS INC,"""Brexit"" And The US-China Trade War Drag On European Freight Markets",4,,127,28,0.0,2019-09-04,89256.0,0.4784684628248214,6.9377983675189325,3.110050643921869,1.7241422086954117,4.556963670143399,4.822336425504448,1.2106,0.0277,0.8888,1.08,-0.22,0.43,0.009,-1.2296,1.4632,-2.1725000000000008
positive,0.7,0.8,30257,INTERNATIONAL BUSINESS MACHS COR,"""Deep Data"" To Become The Greatest Natural Resource, Tech Execs Say",4,,129,28,2.0,2019-01-08,12490.0,0.717683881521225,1.585580869499359,10.898770963516991,0.7074682973325253,4.6408623121305,2.5518639606785465,1.4219,0.583,0.9122,1.01,0.53,-0.63,0.01,0.9157,0.8148,8.890500000000001
neutral,0.2,0.6,13907,CANADIAN NATIONAL RAILWAY CO,"""Every Option"" On Table To End CN Strike, Canadian Minister Says",4,,132,28,1.0,2019-11-25,84181.0,1.583978347480297,-2.958973023637268,-1.0260752411344498,0.0996306189335882,-0.0883998118002549,-2.195780267789571,0.5419,-0.1355,0.8261,0.92,1.32,-0.38,0.006,1.5648,-1.5368,-0.9394999999999999
positive,0.7,0.8,33157,HUNT J B TRANSPORT SERVICES INC,"""FreightWaves Is Doing Some Pretty Cool Stuff""",4,,129,28,2.0,2019-09-20,42877.0,-0.6132321897894144,-2.724485720933112,-4.879544119293611,-1.343336421996355,-1.5837101252327068,-1.6521751988854194,0.9284,1.209,1.0237,-0.48,0.29,0.15,0.009,0.3205000000000001,-0.8940999999999998,-0.9421999999999998
negative,0.9,0.8,31461,TEXTRON INC,"""Liquid nitrogen explosion at @TextronAviation @Beechcraft Plant III this morning sends 11 workers to the hospital. Authorities say no fatalities""",4,,137,28,0.0,2019-12-27,23579.0,0.2930592047050595,0.9467947044409007,1.5329130927429937,0.0221987589611671,-1.1411025970825106,-0.331861761164709,-1.5316,-1.1586,1.4553,-0.1,-0.53,-0.07,0.007,-0.5451,-0.25520000000000015,0.18309999999999998
negative,0.9,0.8,21162,CALAMOS GLOBAL DYNAMIC INCOME FD,"""Nuclear Verdict"" Kills 540 Truck Carrier",4,,130,28,0.0,2019-10-14,92110.0,-0.3802247578278184,0.7604555605203345,2.281366704674781,0.2528481185436249,0.3797473076297963,1.797178093380647,0.3817,0.5259,0.7106,-0.18,-0.34,-0.04,0.007,-0.6339999999999999,0.18530000000000002,0.7125000000000001
neutral,0.2,0.6,14385,ISHARES INC,"""Really tariffs, laws, have to originate with Congress, and I think you just can't declare emergencies on spending, on tariffs, also on arms sales,"" - Sen. Rand Paul on CNN",4,,151,28,1.0,2019-06-04,83223.0,0.6442765705287457,3.773583552888504,2.5077447330715374,-0.5824790336191654,-4.198479252691179,-2.8239618320341275,1.8514,0.3431,0.6013,2.33,0.42,-0.03,0.009,0.9342999999999999,3.2025,1.0702000000000003
positive,0.7,0.8,11169,TREEHOUSE FOODS INC,"""Shipper Of Choice"" TreeHouse Foods Bakes-In Driver Satisfaction",4,,126,28,2.0,2019-06-25,90775.0,-1.4584869146347046,2.5617032884931445,5.179507084269508,-0.9087604470551014,-1.2676580143790694,-2.8683423784521156,-1.9076,-1.5941,0.5302,-0.98,0.34,0.71,0.009,-3.0704000000000002,-0.22930000000000028,2.0451999999999995
positive,0.7,0.8,23257,X P O INC,"""Shipper Of Choice"" – It Can Be A Sweet Deal To Partner With Nestle",4,,128,28,2.0,2019-06-13,90175.0,-1.3045746833086014,0.2957003230493082,-4.226822545103581,0.9549527429044248,0.8640855830995386,4.1837113188820885,2.6058,1.0549,1.4086,0.52,0.67,-0.04,0.009,0.9862,-0.7748999999999997,-4.6094
negative,0.9,0.8,24774,MCDONALDS CORP,"""These are extraordinary times for @McDonalds, and it appears the current CEO is in denial of the realities of the business.  Until changes are made at the top, $MCD 's operating performance will continue to disappoint..."" -Hedgeye Tweets",4,,167,28,0.0,2019-02-06,43449.0,-0.5108377430588007,-1.152230025110268,3.763199714402332,0.011266838555457,0.4809903400072812,-0.6768046629602509,-0.7828,-0.7024,0.4767,-0.22,-0.02,0.07,0.01,-0.9082,-1.9613,2.9202
