Major,MajorText
1,Macroeconomics
2,"Civil Rights, Minority Issues, and Civil Liberties"
3,Health
4,Agriculture
5,Labor and Employment
6,Education
7,Environment
8,Energy
9,Immigration
10,Transportation
11,"Law, Crime, and Family Issues"
12,Social Welfare
13,Community Development and Housing Issues
14,"Banking, Finance, and Domestic Commerce"
15,Defense
16,"Space, Science, Technology, and Communications"
17,Foreign Trade
18,International Affairs and Foreign Aid
19,Government Operations
20,Public Lands and Water Management
