BillID,Major,Description
101-HR-5557,1,To amend the Internal Revenue Code to disallow a deduction for interest paid or accrued on late paid taxes.
91-S-1791,2,A bill to further secure personal privacy and to protect the constitutional right of individuals to ignore unwarranted governmental request for personal information
93-HR-15111,3,A bill to prohibit hospitals which receive Federal support from compensating physicians and other persons for the referral of patients for treatment.
95-HR-8071,4,"A bill to direct the Institute of Medicine of the National Academy of Sciences to conduct a 1-year review and evaluation of all available information respecting the toxicity and carcinogenicity of food additives, including information respecting the ability to predict the effect on humans of food additives found to cause cancer in animals and whether there should be a weighing of risks and benefits in making regulatory decisions respecting such additives, and to direct the Secretary of Health, Education, and Welfare to permit the continued use of saccharin as a food, food additive, drug, and cosmetic for 18 months."
83-HR-3146,5,"To amend the National Labor Relations Act, as amended, so as to equalize legal responsibilities of labor organizations and employers, and for other purposes"
88-HR-3997,6,To amend the Internal Revenue Code of 1954 to allow a taxpayer a personal exemption for any dependent without regard to his income if such dependent is under 19 or a student and is living with the taxpayer
98-S-1282,7,"An original bill to extend titles I and II of the Marine Protection Research and Sanctuaries Act, as amended."
110-S-3025,8,A bill to amend the Internal Revenue Code of 1986 to allow a credit against tax for the purchase of a flexible fuel vehicle.
95-S-1818,9,A bill to amend the Immigration and Nationality Act to facilitate the adoption of more than two unrelated children.
86-HR-2515,10,"To provide that the act to revise, codify, and enact into law title 23 of the United States Code entitledHighways, Public Law 767 of the 85th Congress, title 23, United StatesCode, shall be amended to increase the period in which actual construction sha"
107-S-2459,11,"A bill to provide for a terrorist identification classification system, and for other purposes."
97-HR-3529,12,A bill to amend the Internal Revenue Code of 1954 to exempt from the communications services excise tax telephone facilities designed for individuals who are deaf or hearing impaired.
109-HR-3896,13,"To temporarily suspend, for communities affected by Hurricane Katrina or Hurricane Rita, certain requirements under the community development block grant program."
87-HR-269,14,To provide that the Secretary of Commerce shall conduct a study to determine the practicability and desirability of the adoption by the United States of the metric system of weights and measures
80-HR-2665,15,To authorize the incorporation of The Catholic War Veterans of the United States of America
84-HR-177,16,To amend the Communications Act of 1934 to require licensees to investigate persons and organizations on whose behalf contributions are solicited on radio and television programs
87-HR-4144,17,To provide for adjusting conditions of competition between certain domestic industries and foreign industries with respect to the level of wages and the working conditions do the production of articles imported into the United States
93-HR-297,18,To amend section 4 of the Internal Security Act of 1950.
89-HR-9314,19,To provide certain benefits for Federal civilian employees with respect to premium pay
93-HR-1194,20,"A bill to facilitate the incorporation of the reclamation townsite of Page, Ariz., Glen Canyon unit, Colorado River storage project, as a municipality under the laws of the State of Arizona, and for other purposes."
93-HR-17613,21,A bill to amend the Internal Revenue Code of 1954 to provide an income tax deduction for individuals for purchases of contemporary American art.
