ID,BillID,PromptingStrategyID,Description,PromptingStrategyName,ResponseFormat,AddExplanation,AddExamples,Model,Temperature,Major,MajorText,MajorLLM,MajorTextLLM,ConfidenceLLM,ExplanationLLM,InputTokens,OutputTokens
1,88-S-1173,1,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,Base Prompt,Fill-in-the-Blanks,False,False,gpt-3.5-turbo-0125,0,20,Public Lands and Water Management,20,Public Lands and Water Management,0.95,,240,6
2,88-S-1173,2,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,Base Prompt,JSON,False,False,gpt-3.5-turbo-0125,0,20,Public Lands and Water Management,20,Public Lands and Water Management,0.95,,243,19
3,88-S-1173,3,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,Persona,JSON,False,False,gpt-3.5-turbo-0125,0,20,Public Lands and Water Management,20,Public Lands and Water Management,0.85,,250,19
4,88-S-1173,4,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,Persona,JSON,False,False,gpt-3.5-turbo-0125,0,20,Public Lands and Water Management,20,Public Lands and Water Management,0.95,,262,19
5,88-S-1173,5,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,Persona,JSON,False,False,gpt-3.5-turbo-0125,0,20,Public Lands and Water Management,20,Public Lands and Water Management,0.95,,257,19
6,88-S-1173,6,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,Persona,JSON,False,False,gpt-3.5-turbo-0125,0,20,Public Lands and Water Management,20,Public Lands and Water Management,0.95,,259,19
7,88-S-1173,7,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,Chain-of-Thoughts,JSON,True,False,gpt-3.5-turbo-0125,0,20,Public Lands and Water Management,20,Public Lands and Water Management,0.95,"The bill pertains to changing the name of a lock and dam in Oklahoma, which falls under public lands and water management.",261,49
8,88-S-1173,8,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,Chain-of-Thoughts,JSON,True,False,gpt-3.5-turbo-0125,0,20,Public Lands and Water Management,20,Public Lands and Water Management,0.95,"The bill pertains to changing the name of a lock and dam in Oklahoma, which falls under public lands and water management.",270,49
9,88-S-1173,9,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,Chain-of-Thoughts,JSON,True,False,gpt-3.5-turbo-0125,0,20,Public Lands and Water Management,20,Public Lands and Water Management,0.95,"The bill pertains to changing the name of a lock and dam in Oklahoma, which falls under public lands and water management.",266,49
10,88-S-1173,10,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,Few-Shot,JSON,False,True,gpt-3.5-turbo-0125,0,20,Public Lands and Water Management,20,Public Lands and Water Management,0.95,,1622,15
