BillID,Major,MajorText,Description
88-HR-3394,1,Macroeconomics,To amend the Internal Revenue Code of 1954 with respect to the treatment of certain redemptions of preferred stock
89-HR-8244,1,Macroeconomics,To amend the Internal Revenue Code of 1954 to provide for rounding the amount of State and local taxes for purposes of computing tax on cigars
102-HR-4682,1,Macroeconomics,"To rescind certain budget authority proposed to be rescinded (R92-99) in a special message transmitted to the Congress by the President on March 20, 1992, in accordance with section 1012 of the Impoundment Control Act of 1974."
91-S-2603,1,Macroeconomics,A bill to amend the Internal Revenue Code of 1954 to permit ministers to be treated as self-employed individuals for pension plan purposes
102-HR-3965,1,Macroeconomics,To insure that any peace dividend is invested in Americas families and in deficit reduction.
88-HR-12163,2,"Civil Rights, Minority Issues, and Civil Liberties",To prohibit misuse or exportation of the flag of the United States in certain instances
111-HR-2464,2,"Civil Rights, Minority Issues, and Civil Liberties","To amend title 49, United States Code, to prohibit advance notice to certain individuals, including security screeners, of covert testing of security screening procedures for the purpose of enhancing transportation security at airports, and for other purposes."
95-HR-2653,2,"Civil Rights, Minority Issues, and Civil Liberties","To amend section 901 (1) (relating to prohibition of sex discrimination) of the Education Amendments of 1972 to exempt from the prohibition of such section musical programs or activities, and social programs or activities designed for parents and students."
93-HR-9832,2,"Civil Rights, Minority Issues, and Civil Liberties",A bill to eliminate discrimination based on sex with respect to the appointment and admission of persons to the service of academics.
97-S-1760,2,"Civil Rights, Minority Issues, and Civil Liberties",A bill to provide for civil rights in public schools.
105-S-2588,3,Health,"A bill to provide for the review and classification of physician assistant positions in the Federal Government, and for other purposes."
104-HR-859,3,Health,To amend title XVIII of the Social Security Act to provide for coverage under part B of the medicare program of emergency care and related services furnished by rural emergency access care hospitals.
98-HR-5887,3,Health,A bill to promote the establishment of family support groups for families of victims of Alzheimers disease or a related memory disorder.
100-HR-344,3,Health,A bill to require testing of certain persons for the acquired immune deficiency syndrome and the HTLV-III/LAV virus.
82-S-265,3,Health,A bill to provide for a grant to the Prisoners Relief Society for use in the rehabilitation o: chronic alcoholics
110-S-2745,4,Agriculture,"A bill to extend agricultural programs beyond March 15, 2008, to suspend permanent price support authorities beyond that date, and for other purposes."
