PromptingStrategyID,PromptingStrategyName,Text,TextLocation,ExamplesPath,AddExamples,ResponseFormat,InputTokensAverage,InputTokensSD,OutputTokensAverage,OutputTokensSD,AddExplanation,Model,TotalCostAverage_per10KBills,Temperature
1,Base Prompt,,,,False,Fill-in-the-Blanks,239.96,12.53,5.96,0.20,False,gpt-3.5-turbo-0125,1.29,0
2,Base Prompt,,,,False,JSON,242.96,12.53,19.00,0.00,False,gpt-3.5-turbo-0125,1.50,0
3,Persona,You are a knowledgeable political analyst. ,before,,False,JSON,249.96,12.53,19.00,0.00,False,gpt-3.5-turbo-0125,1.53,0
4,Persona,Answer this question as if you are a political scientist that studies legislation in the United States Congress. ,before,,False,JSON,261.96,12.53,19.00,0.00,False,gpt-3.5-turbo-0125,1.59,0
5,Persona,Answer this question as if you are an expert in United States politics. ,before,,False,JSON,256.96,12.53,19.00,0.00,False,gpt-3.5-turbo-0125,1.57,0
6,Persona,Answer this question as if you were a helpful research assistant for a political scientist. ,before,,False,JSON,258.96,12.53,19.00,0.00,False,gpt-3.5-turbo-0125,1.58,0
7,Chain-of-Thoughts,Think carefully. ,after,,False,JSON,260.96,12.53,47.56,4.41,True,gpt-3.5-turbo-0125,2.02,0
8,Chain-of-Thoughts,Let's think step by step. Lay out each step. ,after,,False,JSON,269.96,12.53,47.47,4.72,True,gpt-3.5-turbo-0125,2.06,0
9,Chain-of-Thoughts,Please provide an explanation for your answer. ,after,,False,JSON,265.96,12.53,48.36,5.29,True,gpt-3.5-turbo-0125,2.06,0
10,Few-Shot,,,/Users/haya1/Documents/LanguageModel_Labels/congressional_bills/01_bills/examples01.csv,True,JSON,1599.96,12.53,15.00,0.00,False,gpt-3.5-turbo-0125,8.22,0
11,Few-Shot,,,/Users/haya1/Documents/LanguageModel_Labels/congressional_bills/01_bills/examples02.csv,True,JSON,1562.96,12.53,15.00,0.00,False,gpt-3.5-turbo-0125,8.04,0
12,Few-Shot,,,/Users/haya1/Documents/LanguageModel_Labels/congressional_bills/01_bills/examples03.csv,True,JSON,1547.96,12.53,15.00,0.00,False,gpt-3.5-turbo-0125,7.96,0
13,Base Prompt,,,,False,Fill-in-the-Blanks,239.96,12.53,5.96,0.20,False,gpt-4o,12.89,0
14,Base Prompt,,,,False,JSON,242.96,12.53,19.00,0.00,False,gpt-4o,15.00,0
15,Persona,You are a knowledgeable political analyst. ,before,,False,JSON,249.96,12.53,19.00,0.00,False,gpt-4o,15.35,0
16,Persona,Answer this question as if you are a political scientist that studies legislation in the United States Congress. ,before,,False,JSON,261.96,12.53,19.00,0.00,False,gpt-4o,15.95,0
17,Persona,Answer this question as if you are an expert in United States politics. ,before,,False,JSON,256.96,12.53,19.00,0.00,False,gpt-4o,15.70,0
18,Persona,Answer this question as if you were a helpful research assistant for a political scientist. ,before,,False,JSON,258.96,12.53,19.00,0.00,False,gpt-4o,15.80,0
19,Chain-of-Thoughts,Think carefully. ,after,,False,JSON,260.96,12.53,47.56,4.41,True,gpt-4o,20.18,0
20,Chain-of-Thoughts,Let's think step by step. Lay out each step. ,after,,False,JSON,269.96,12.53,47.47,4.72,True,gpt-4o,20.62,0
21,Chain-of-Thoughts,Please provide an explanation for your answer. ,after,,False,JSON,265.96,12.53,48.36,5.29,True,gpt-4o,20.55,0
22,Few-Shot,,,/Users/haya1/Documents/LanguageModel_Labels/congressional_bills/01_bills/examples01.csv,True,JSON,1599.96,12.53,15.00,0.00,False,gpt-4o,82.25,0
23,Few-Shot,,,/Users/haya1/Documents/LanguageModel_Labels/congressional_bills/01_bills/examples02.csv,True,JSON,1562.96,12.53,15.00,0.00,False,gpt-4o,80.40,0
24,Few-Shot,,,/Users/haya1/Documents/LanguageModel_Labels/congressional_bills/01_bills/examples03.csv,True,JSON,1547.96,12.53,15.00,0.00,False,gpt-4o,79.65,0
