ID,MajorLLM,MajorTextLLM,ConfidenceLLM,ExplanationLLM,InputTokens,OutputTokens
1,20,Public Lands and Water Management,0.95,,240,6
2,20,Public Lands and Water Management,0.95,,243,19
3,20,Public Lands and Water Management,0.85,,250,19
4,20,Public Lands and Water Management,0.95,,262,19
5,20,Public Lands and Water Management,0.95,,257,19
6,20,Public Lands and Water Management,0.95,,259,19
7,20,Public Lands and Water Management,0.95,"The bill pertains to changing the name of a lock and dam in Oklahoma, which falls under public lands and water management.",261,49
8,20,Public Lands and Water Management,0.95,"The bill pertains to changing the name of a lock and dam in Oklahoma, which falls under public lands and water management.",270,49
9,20,Public Lands and Water Management,0.95,"The bill pertains to changing the name of a lock and dam in Oklahoma, which falls under public lands and water management.",266,49
10,20,Public Lands and Water Management,0.95,,1622,15
11,20,Public Lands and Water Management,0.95,,1534,15
12,20,Public Lands and Water Management,0.90,,1653,15
13,20,Public Lands and Water Management,0.85,,242,6
14,20,Public Lands and Water Management,0.95,,244,18
15,20,Public Lands and Water Management,0.95,,251,18
16,20,Public Lands and Water Management,0.95,,263,18
17,20,Public Lands and Water Management,0.95,,258,18
18,20,Public Lands and Water Management,0.95,,260,18
19,20,Public Lands and Water Management,0.95,"The bill pertains to the renaming of a lock, dam, and reservoir, which falls under the management and regulation of public lands and water resources.",262,53
20,20,Public Lands and Water Management,0.95,"The bill involves the renaming of a lock, dam, and reservoir, which falls under the management and regulation of public lands and water resources.",270,52
21,20,Public Lands and Water Management,0.95,"The bill pertains to the renaming of a lock, dam, and reservoir, which falls under the management and regulation of public lands and water resources.",267,53
22,20,Public Lands and Water Management,0.95,,1626,18
23,20,Public Lands and Water Management,0.90,,1538,18
24,20,Public Lands and Water Management,0.94,,1657,18
25,16,"Space, Science, Technology, and Communications",0.95,,234,6
26,16,"Space, Science, Technology, and Communications",0.85,,237,19
27,7,Environment,0.95,,244,19
28,7,Environment,0.95,,256,19
29,7,Environment,0.95,,251,19
30,7,Environment,0.95,,253,19
31,7,Environment,0.95,"The bill relates to a program on earthquakes, which falls under the category of Environment.",255,41
32,16,"Space, Science, Technology, and Communications",0.90,"The bill relates to amending the National Science Foundation Act of 1950 to provide for a program relating to earthquakes, which falls under the category of Space, Science, Technology, and Communications.",264,63
33,16,"Space, Science, Technology, and Communications",0.95,"The bill relates to amending the National Science Foundation Act of 1950 to provide for a program relating to earthquakes, which falls under the category of Space, Science, Technology, and Communications.",260,63
34,16,"Space, Science, Technology, and Communications",0.98,,1616,15
35,16,"Space, Science, Technology, and Communications",0.98,,1528,15
36,16,"Space, Science, Technology, and Communications",0.95,,1647,15
37,16,"Space, Science, Technology, and Communications",0.95,,236,6
38,16,"Space, Science, Technology, and Communications",0.95,,238,18
39,16,"Space, Science, Technology, and Communications",0.95,,245,18
40,16,"Space, Science, Technology, and Communications",0.95,,257,18
