StrategyID,BillID,Description,PromptingStrategy,Model,Major,MajorText,MajorLLM,MajorTextLLM,ConfidenceLLM,ExplanationLLM
1,88-HR-3394,To amend the Internal Revenue Code of 1954 with respect to the treatment of certain redemptions of preferred stock,No Modification,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
2,88-HR-3394,To amend the Internal Revenue Code of 1954 with respect to the treatment of certain redemptions of preferred stock,Persona Modification,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
3,88-HR-3394,To amend the Internal Revenue Code of 1954 with respect to the treatment of certain redemptions of preferred stock,Persona Modification,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
4,88-HR-3394,To amend the Internal Revenue Code of 1954 with respect to the treatment of certain redemptions of preferred stock,Persona Modification,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
5,88-HR-3394,To amend the Internal Revenue Code of 1954 with respect to the treatment of certain redemptions of preferred stock,Persona Modification,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
6,88-HR-3394,To amend the Internal Revenue Code of 1954 with respect to the treatment of certain redemptions of preferred stock,Chain-of-Thoughts Prompting,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill pertains to amending the Internal Revenue Code, which falls under Banking, Finance, and Domestic Commerce."
7,88-HR-3394,To amend the Internal Revenue Code of 1954 with respect to the treatment of certain redemptions of preferred stock,Chain-of-Thoughts Prompting,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill pertains to amending the Internal Revenue Code, which falls under Banking, Finance, and Domestic Commerce."
8,88-HR-3394,To amend the Internal Revenue Code of 1954 with respect to the treatment of certain redemptions of preferred stock,Chain-of-Thoughts Prompting,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill pertains to amending the Internal Revenue Code, specifically related to the treatment of certain redemptions of preferred stock, which falls under Banking, Finance, and Domestic Commerce."
9,88-HR-3394,To amend the Internal Revenue Code of 1954 with respect to the treatment of certain redemptions of preferred stock,Few-Shot Prompting,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
10,88-HR-3394,To amend the Internal Revenue Code of 1954 with respect to the treatment of certain redemptions of preferred stock,Few-Shot Prompting,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.95,
11,88-HR-3394,To amend the Internal Revenue Code of 1954 with respect to the treatment of certain redemptions of preferred stock,Few-Shot Prompting,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.95,
1,89-HR-8244,To amend the Internal Revenue Code of 1954 to provide for rounding the amount of State and local taxes for purposes of computing tax on cigars,No Modification,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.75,
2,89-HR-8244,To amend the Internal Revenue Code of 1954 to provide for rounding the amount of State and local taxes for purposes of computing tax on cigars,Persona Modification,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
3,89-HR-8244,To amend the Internal Revenue Code of 1954 to provide for rounding the amount of State and local taxes for purposes of computing tax on cigars,Persona Modification,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
4,89-HR-8244,To amend the Internal Revenue Code of 1954 to provide for rounding the amount of State and local taxes for purposes of computing tax on cigars,Persona Modification,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
5,89-HR-8244,To amend the Internal Revenue Code of 1954 to provide for rounding the amount of State and local taxes for purposes of computing tax on cigars,Persona Modification,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
6,89-HR-8244,To amend the Internal Revenue Code of 1954 to provide for rounding the amount of State and local taxes for purposes of computing tax on cigars,Chain-of-Thoughts Prompting,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,The bill relates to tax laws and specifically amends the Internal Revenue Code for computing tax on cigars.
7,89-HR-8244,To amend the Internal Revenue Code of 1954 to provide for rounding the amount of State and local taxes for purposes of computing tax on cigars,Chain-of-Thoughts Prompting,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.8,"The bill relates to amending tax laws, specifically the Internal Revenue Code, which falls under Banking, Finance, and Domestic Commerce."
8,89-HR-8244,To amend the Internal Revenue Code of 1954 to provide for rounding the amount of State and local taxes for purposes of computing tax on cigars,Chain-of-Thoughts Prompting,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill pertains to amending the Internal Revenue Code, specifically related to taxes on cigars, which falls under Banking, Finance, and Domestic Commerce."
9,89-HR-8244,To amend the Internal Revenue Code of 1954 to provide for rounding the amount of State and local taxes for purposes of computing tax on cigars,Few-Shot Prompting,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
10,89-HR-8244,To amend the Internal Revenue Code of 1954 to provide for rounding the amount of State and local taxes for purposes of computing tax on cigars,Few-Shot Prompting,gpt-3.5-turbo,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
