"prompt","model","V","Y","regression","coef_name","coef","se","t","lci","uci"
1,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",2.92241161973339e-19,6.59524020046328e-18,0.0443109201622119,-1.26341921003254e-17,1.32186744242721e-17
1,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.0714285714285715,0.0705300630647554,1.01273936708367,-0.0668078120056878,0.209664954862831
1,"gpt-3.5","Senate",3,"10k_Yllm_V","(Intercept)",0.0433318694188259,0.00246368771125494,17.5882151057018,0.0385031302356123,0.0481606086020395
1,"gpt-3.5","Senate",3,"10k_Yllm_V","V",-0.000416123126620103,0.00436274359299394,-0.0953810641744677,-0.0089669434426711,0.00813469718943089
2,"gpt-3.5","Senate",3,"10k_Yllm_V","(Intercept)",0.0625091494656712,0.00292925112188006,21.3396348980661,0.0567679227651127,0.0682503761662297
2,"gpt-3.5","Senate",3,"10k_Yllm_V","V",0.0065978243431013,0.00537445166978482,1.22762743968734,-0.0039359073663281,0.0171315560525307
3,"gpt-3.5","Senate",3,"10k_Yllm_V","(Intercept)",0.0565070999853609,0.00279397244702099,20.2246446795173,0.0510310146154025,0.0619831853553193
3,"gpt-3.5","Senate",3,"10k_Yllm_V","V",0.010390975117195,0.0052448209577796,1.98118776614904,0.000111314934586153,0.0206706352998039
4,"gpt-3.5","Senate",3,"10k_Yllm_V","(Intercept)",0.0557751427316645,0.00277689431222178,20.0854395092333,0.0503325298908357,0.0612177555724934
4,"gpt-3.5","Senate",3,"10k_Yllm_V","V",0.0130162741190769,0.00528483667370895,2.46294728157454,0.00265818457443092,0.0233743636637229
5,"gpt-3.5","Senate",3,"10k_Yllm_V","(Intercept)",0.0493339188991363,0.00262052373956606,18.8259767138403,0.0441977867489546,0.054470051049318
5,"gpt-3.5","Senate",3,"10k_Yllm_V","V",0.012199687916894,0.00500932406922337,2.43539602315755,0.00238159315432656,0.0220177826794614
6,"gpt-3.5","Senate",3,"10k_Yllm_V","(Intercept)",0.0573854486897965,0.00281429262016124,20.3907185339202,0.0518695365123236,0.0629013608672694
6,"gpt-3.5","Senate",3,"10k_Yllm_V","V",0.0126681959930688,0.00533682211963425,2.37373397671666,0.00220821684668898,0.0231281751394487
7,"gpt-3.5","Senate",3,"10k_Yllm_V","(Intercept)",0.067193675889328,0.00302943216428041,22.1802873428225,0.0612560979537312,0.0731312538249249
7,"gpt-3.5","Senate",3,"10k_Yllm_V","V",0.00853999403809397,0.005591981702311,1.52718561910971,-0.00242008870064257,0.0195000767768305
8,"gpt-3.5","Senate",3,"10k_Yllm_V","(Intercept)",0.0652905870297175,0.00298926822644395,21.8416622677543,0.0594317289657575,0.0711494450936776
8,"gpt-3.5","Senate",3,"10k_Yllm_V","V",0.00665639940133331,0.0054781267169403,1.21508678883776,-0.00408053166661633,0.017393330469283
9,"gpt-3.5","Senate",3,"10k_Yllm_V","(Intercept)",0.0651441955789782,0.00298614896178617,21.8154540890726,0.0592914511614056,0.0709969399965508
9,"gpt-3.5","Senate",3,"10k_Yllm_V","V",0.00806501868419642,0.00550743042604107,1.46438866409681,-0.00272934659820415,0.018859383966597
10,"gpt-3.5","Senate",3,"10k_Yllm_V","(Intercept)",0.0673400673400674,0.0030324924213354,22.206178279718,0.0613964914108593,0.0732836432692754
10,"gpt-3.5","Senate",3,"10k_Yllm_V","V",0.00586914692310716,0.00553269505405484,1.06081156936451,-0.0049747361202832,0.0167130299664975
11,"gpt-3.5","Senate",3,"10k_Yllm_V","(Intercept)",0.0696823305518958,0.00308090466362309,22.6174900426651,0.0636438683713931,0.0757207927323986
11,"gpt-3.5","Senate",3,"10k_Yllm_V","V",0.00762912416568066,0.00565743234467999,1.34851354835109,-0.00345923947486411,0.0187174878062254
12,"gpt-3.5","Senate",3,"10k_Yllm_V","(Intercept)",0.0818328209632558,0.00331685078649736,24.6718427299747,0.0753319128796276,0.088333729046884
12,"gpt-3.5","Senate",3,"10k_Yllm_V","V",0.00810091207555785,0.00606907175957932,1.33478600953622,-0.00379424999280675,0.0199960741439225
1,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",0.0794905577514274,0.0032732048582052,24.285237617243,0.0730751941153236,0.0859059213875311
1,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.0025542513366131,0.0058723342854455,0.43496354472595,-0.00895531236803982,0.014063815041266
2,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",0.0765627287366418,0.0032174639721537,23.7959863418121,0.0702566152296654,0.0828688422436182
2,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.00232651077108934,0.00576947460826148,0.403244823672149,-0.00898145167082151,0.0136344732130002
3,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",0.0767091201873811,0.00322028318833797,23.8206131886717,0.0703974811182188,0.0830207592565433
3,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.00123344844625728,0.00574917888335854,0.214543410682106,-0.0100347351058037,0.0125016319983182
4,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",0.0768555116381203,0.00322309896502587,23.8452223999592,0.0705383537480613,0.0831726695281794
4,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.00298039874370362,0.00579435008406337,0.514362905324073,-0.00837631873487723,0.0143371162222845
5,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",0.0767091201873811,0.00322028318833797,23.8206131886716,0.0703974811182188,0.0830207592565433
5,"gpt-4o","Senate",3,"10k_Yllm_V","V",0.002811233236412,0.00578555312160358,0.485905699476632,-0.00852824251257431,0.0141507089853983
6,"gpt-4o","Senate",3,"10k_Yllm_V","(Intercept)",0.0761235543844239,0.00320898559591542,23.7219994010937,0.0698340581895219,0.082413050579326
