"combination_id","train_proportion","model","prompt","V","Y","regression","coef_name","coef_mean","coef_sd","bias_mean","bias_norm","mse_mean","coverage_mean"
1,0.05,"gpt-3.5",1,"Senate",3,"5k_Yllm_V","(Intercept)",0.0431436759750387,0.00343017647109487,-0.0271242203798142,-7.90752913396215,0.000747477675724957,0
1,0.05,"gpt-3.5",1,"Senate",3,"5k_Yllm_V","V",-0.000334550458206822,0.00603998376436836,-0.0035914253245595,-0.594608440132964,4.93432583318469e-05,0.901
1,0.05,"gpt-3.5",1,"Senate",3,"test_Ytilde_V","(Intercept)",0.0703339632372527,0.017523606678189,6.60668823998631e-05,0.00377016464778875,0.000306774079053809,0.93
1,0.05,"gpt-3.5",1,"Senate",3,"test_Ytilde_V","V",0.0022235369243539,0.0285737995810624,-0.00103333794199878,-0.0361638269025879,0.000816713347778598,0.937
1,0.05,"gpt-3.5",1,"Senate",3,"train_Yhuman_V","(Intercept)",0.0698750322778295,0.0196411950490116,-0.000392864077023401,-0.0200020454989154,0.00038554510859338,0.936
1,0.05,"gpt-3.5",1,"Senate",3,"train_Yhuman_V","V",0.00328034180236289,0.0360867232380249,2.34669360102102e-05,0.000650292792044995,0.00130094989316083,0.939
2,0.1,"gpt-3.5",1,"Senate",3,"5k_Yllm_V","(Intercept)",0.0433407376226561,0.00335874019154161,-0.0269271587321968,-8.01704127041684,0.000736341731927526,0
2,0.1,"gpt-3.5",1,"Senate",3,"5k_Yllm_V","V",-0.000407474148864227,0.0059100844013886,-0.0036643490152169,-0.620016359555872,4.83216222392264e-05,0.909
2,0.1,"gpt-3.5",1,"Senate",3,"test_Ytilde_V","(Intercept)",0.0702735345411365,0.0115968770886661,5.63818628363199e-06,0.000486181429752527,0.000134353102440563,0.955
2,0.1,"gpt-3.5",1,"Senate",3,"test_Ytilde_V","V",0.00197079461295412,0.020806550628065,-0.00128608025339856,-0.0618113149261665,0.000434133638907377,0.947
2,0.1,"gpt-3.5",1,"Senate",3,"train_Yhuman_V","(Intercept)",0.0705436758813331,0.0137159231123516,0.000275779526480211,0.0201065232154781,0.000188014474624344,0.945
