BillID,Year,Major,MajorText,Party,PassH,PassS,Description,DW1,Chamber,Postal,ExampleSetNum
102-HR-4122,1992,1,Macroeconomics,Democrat,0,0,To guarantee a work opportunity for all Americans and for other purposes.,-0.709,House,IL,1
98-S-1059,1983,2,"Civil Rights, Minority Issues, and Civil Liberties",Republican,0,0,A bill to provide that it shall be unlawful to deny equal access to students in public schools and public colleges who wish to meet voluntarily for religious purposes and to provide district courts with jurisdiction over violations of this Act.,0.471,Senate,AL,1
102-HR-3696,1991,3,Health,Democrat,0,0,"To amend the Public Health Service Act to provide for assessments in each State of the incidence and prevalence of substance abuse and of the extent to which the availability, from public and nonprofit private providers, of treatment for such abuse is insufficient to meet the need for such treatment, and for other purposes.",-0.515,House,NY,1
103-HR-3951,1994,4,Agriculture,Republican,0,0,To amend the Internal Revenue Code of 1986 to prevent the reclassification of certain dues paid to tax-exempt agricultural or horticultural organizations.,0.422,House,MI,1
92-HR-15043,1972,5,Labor and Employment,Democrat,0,0,To amend the Internal Revenue Code of 1954 to provide that employees receiving lump stems from tax-free pension or annuity plans on account of separation from employment shall not be taxed at the time of distribution to the extent that an equivalent amount is reinvested in another such plan,-0.19,House,PA,1
102-HR-3179,1991,6,Education,Democrat,0,0,To amend title VIII of the Higher Education Act of 1965.,-0.372,House,MI,2
108-HR-3772,2004,7,Environment,Republican,0,0,"To include Nelson County and Franklin County, Virginia, in the Appalachian region for purposes of the programs of the Appalachian Regional Commission.",0.543,House,VA,2
110-S-2896,2008,8,Energy,Republican,0,0,A bill to amend the Internal Revenue Code of 1986 to provide for a temporary reduction in the tax imposed on diesel fuel.,0.042,Senate,ME,2
114-S-1842,2015,9,Immigration,Republican,0,0,A bill to ensure State and local compliance with all Federal immigration detainers on aliens in custody and for other purposes.,0.551,Senate,AL,2
89-HR-6457,1965,10,Transportation,Democrat,0,0,"To provide for a comprehensive, long-range, and coordinated national program in oceanography, and. for other purposes",-0.35,House,OH,2
113-S-2445,2014,11,"Law, Crime, and Family Issues",Democrat,0,0,"A bill to provide family members and close associates of an individual who they fear is a danger to himself, herself, or others new tools to prevent gun violence.",-0.485,Senate,CA,3
104-HR-1250,1995,12,Social Welfare,Democrat,0,0,To promote self-sufficiency and stability among families receiving aid to families with dependent children by increasing employment opportunities; to increase State flexibility in operating a Job Opportunities and Basic Skills Training Program; to improve the interstate enforcement of child support and parentage court orders; and for other purposes.,-0.503,House,HI,3
89-HR-7984,1965,13,Community Development and Housing Issues,Democrat,1,1,"To assist in the provision of housing for low- and moderate-income families, to promote orderly urban development, to improve living environment in urban areas, and to extend and amend laws, relating to housing, urban renewal, and community facilities",-0.28,House,TX,3
92-HR-15844,1972,14,"Banking, Finance, and Domestic Commerce",Democrat,0,0,"To require any coupon, bonus or direct mail offering for the sale of any product to disclose on its face the full name and address of the party making the offer and of the actual seller of the product, and for other purposes",-0.3,House,NY,3
93-HR-11525,1973,15,Defense,Democrat,0,0,"A bill to confer pensionable status on veterans involved in the Brownsville, Tex., incident of August 13, 1906, and to require the Administrator of Veterans' Affairs to make certain compensatory payments to such veterans and their heirs.",-0.427,House,MA,3
