"combination_id","train_proportion","model","prompt","V","regression","coef_name","coef_mean","coef_sd","bias_mean","bias_norm","mse_mean","coverage_mean"
1,0.05,"gpt-3.5",1,"Senate","5k_V_Yllm","Y14",0.290509813951381,0.0237980999952333,-0.0273709807506058,-1.15013302558138,0.00131495380106978,0.765
1,0.05,"gpt-3.5",1,"Senate","5k_V_Yllm","Y15",0.31241978562901,0.0264764423228435,0.0309764866599378,1.16996408664814,0.00165984372187009,0.807
1,0.05,"gpt-3.5",1,"Senate","5k_V_Yllm","Y19",0.300079745493369,0.0241800950534863,0.0222604773828385,0.92061165738176,0.0010796211731107,0.86
1,0.05,"gpt-3.5",1,"Senate","5k_V_Yllm","Y20",0.395265258852468,0.0241944911408015,-0.0109021420285898,-0.450604311747828,0.000703644728972303,0.912
1,0.05,"gpt-3.5",1,"Senate","5k_V_Yllm","Y3",0.315055734864136,0.0310387355377188,-0.0117324839296929,-0.377994906249817,0.00110009087983717,0.928
1,0.05,"gpt-3.5",1,"Senate","5k_V_Yllm","YOther",0.31229118272138,0.00823212756463936,-0.000363904127254532,-0.0442053557111604,6.78325825300876e-05,0.944
1,0.05,"gpt-3.5",1,"Senate","test_Vtilde_Ytilde","Y14",0.288708644742723,0.509120099876868,-0.0291721499592638,-0.0572991519413968,0.25979508715578,0.937
1,0.05,"gpt-3.5",1,"Senate","test_Vtilde_Ytilde","Y15",0.277317561129253,0.155632948834906,-0.00412573783981941,-0.0265094112185457,0.0242144148610084,0.925
1,0.05,"gpt-3.5",1,"Senate","test_Vtilde_Ytilde","Y19",0.282484019605867,0.19886505808872,0.00466475149533646,0.0234568683919091,0.0395295239238144,0.934
1,0.05,"gpt-3.5",1,"Senate","test_Vtilde_Ytilde","Y20",0.408472979513563,0.124112337623682,0.00230557863250508,0.0185765466725457,0.0153937841708951,0.956
1,0.05,"gpt-3.5",1,"Senate","test_Vtilde_Ytilde","Y3",0.323467362982862,0.176719289257526,-0.00332085581096699,-0.0187916996776036,0.0312095055718068,0.919
1,0.05,"gpt-3.5",1,"Senate","test_Vtilde_Ytilde","YOther",0.313206154089224,0.0697174804086956,0.000551067240589431,0.00790429082288949,0.00485597022256596,0.948
1,0.05,"gpt-3.5",1,"Senate","train_V_Yhuman","Y14",0.316810090033021,0.121161089362863,-0.00107070466896593,-0.00883703402302115,0.0146664759745083,0.919
1,0.05,"gpt-3.5",1,"Senate","train_V_Yhuman","Y15",0.282953658764536,0.0920762821763674,0.001510359795464,0.0164033533909524,0.00847184488439438,0.939
