"prompt","model","W","V","coef","t","lci","uci"
1,"gpt-3.5-turbo-0125","Senate","Health",-0.00041612313,-0.09538106417,-0.00896694344,0.00813469719
2,"gpt-3.5-turbo-0125","Senate","Health",0.00659782434,1.22762743969,-0.00393590737,0.01713155605
3,"gpt-3.5-turbo-0125","Senate","Health",0.01039097512,1.98118776615,0.00011131493,0.0206706353
4,"gpt-3.5-turbo-0125","Senate","Health",0.01301627412,2.46294728157,0.00265818457,0.02337436366
5,"gpt-3.5-turbo-0125","Senate","Health",0.01219968792,2.43539602316,0.00238159315,0.02201778268
6,"gpt-3.5-turbo-0125","Senate","Health",0.01266819599,2.37373397672,0.00220821685,0.02312817514
7,"gpt-3.5-turbo-0125","Senate","Health",0.00853999404,1.52718561911,-0.0024200887,0.01950007678
8,"gpt-3.5-turbo-0125","Senate","Health",0.0066563994,1.21508678884,-0.00408053167,0.01739333047
9,"gpt-3.5-turbo-0125","Senate","Health",0.00806501868,1.4643886641,-0.0027293466,0.01885938397
10,"gpt-3.5-turbo-0125","Senate","Health",0.00586914692,1.06081156936,-0.00497473612,0.01671302997
11,"gpt-3.5-turbo-0125","Senate","Health",0.00762912417,1.34851354835,-0.00345923947,0.01871748781
12,"gpt-3.5-turbo-0125","Senate","Health",0.00810091208,1.33478600954,-0.00379424999,0.01999607414
1,"gpt-4o-2024-05-13","Senate","Health",0.00255425134,0.43496354473,-0.00895531237,0.01406381504
2,"gpt-4o-2024-05-13","Senate","Health",0.00232651077,0.40324482367,-0.00898145167,0.01363447321
3,"gpt-4o-2024-05-13","Senate","Health",0.00123344845,0.21454341068,-0.01003473511,0.012501632
4,"gpt-4o-2024-05-13","Senate","Health",0.00298039874,0.51436290532,-0.00837631873,0.01433711622
5,"gpt-4o-2024-05-13","Senate","Health",0.00281123324,0.48590569948,-0.00852824251,0.01415070899
6,"gpt-4o-2024-05-13","Senate","Health",0.00245012817,0.42555653936,-0.00883430179,0.01373455812
7,"gpt-4o-2024-05-13","Senate","Health",0.00259651962,0.45110658119,-0.00868481642,0.01387785566
8,"gpt-4o-2024-05-13","Senate","Health",0.0013798399,0.24007235041,-0.00988524956,0.01264492935
9,"gpt-4o-2024-05-13","Senate","Health",0.00062510859,0.10880880597,-0.01063492047,0.01188513764
10,"gpt-4o-2024-05-13","Senate","Health",0.00340654615,0.59608623822,-0.00779436294,0.01460745525
11,"gpt-4o-2024-05-13","Senate","Health",0.00181254697,0.30504504362,-0.00983336192,0.01345845586
12,"gpt-4o-2024-05-13","Senate","Health",0.006301854,1.09842897435,-0.00494275732,0.01754646531
1,"gpt-3.5-turbo-0125","Democrat","Health",0.00212054318,0.51256788643,-0.00598801838,0.01022910474
2,"gpt-3.5-turbo-0125","Democrat","Health",0.00117733628,0.23462662514,-0.00865759486,0.01101226741
3,"gpt-3.5-turbo-0125","Democrat","Health",0.00242825607,0.50279054751,-0.00703750351,0.01189401565
4,"gpt-3.5-turbo-0125","Democrat","Health",0.00510234798,1.06036043992,-0.00432880194,0.01453349791
5,"gpt-3.5-turbo-0125","Democrat","Health",0.00529801325,1.16593111743,-0.0036081005,0.01420412699
6,"gpt-3.5-turbo-0125","Democrat","Health",0.00507726269,1.04273660895,-0.00446613679,0.01462066218
7,"gpt-3.5-turbo-0125","Democrat","Health",0.00618937722,1.19738433425,-0.00394183637,0.0163205908
8,"gpt-3.5-turbo-0125","Democrat","Health",0.0053950097,1.06058697068,-0.00457496447,0.01536498387
9,"gpt-3.5-turbo-0125","Democrat","Health",0.00421934578,0.8263032466,-0.00578880292,0.01422749447
10,"gpt-3.5-turbo-0125","Democrat","Health",0.01004749482,1.96406105109,2.095925e-05,0.02007403038
11,"gpt-3.5-turbo-0125","Democrat","Health",0.01150411399,2.20970012187,0.00130017325,0.02170805472
12,"gpt-3.5-turbo-0125","Democrat","Health",0.01221820858,2.17994923052,0.00123297625,0.02320344091
1,"gpt-4o-2024-05-13","Democrat","Health",0.01588233327,2.91463556584,0.005202164,0.02656250253
2,"gpt-4o-2024-05-13","Democrat","Health",0.01216971035,2.26323170223,0.00163071252,0.02270870817
3,"gpt-4o-2024-05-13","Democrat","Health",0.01392902535,2.59969330749,0.00342763738,0.02443041333
4,"gpt-4o-2024-05-13","Democrat","Health",0.01341561308,2.49138594658,0.00286160056,0.02396962561
5,"gpt-4o-2024-05-13","Democrat","Health",0.01475683992,2.7487279055,0.00423456352,0.02527911632
6,"gpt-4o-2024-05-13","Democrat","Health",0.01359789953,2.53991896014,0.0031048902,0.02409090885
7,"gpt-4o-2024-05-13","Democrat","Health",0.01426851294,2.66924492703,0.00379147833,0.02474554755
8,"gpt-4o-2024-05-13","Democrat","Health",0.01292728611,2.41099752504,0.00241835156,0.02343622065
9,"gpt-4o-2024-05-13","Democrat","Health",0.01409458827,2.62954597711,0.00358901597,0.02460016057
10,"gpt-4o-2024-05-13","Democrat","Health",0.01262124557,2.37815273871,0.00221939612,0.02302309502
11,"gpt-4o-2024-05-13","Democrat","Health",0.01692922604,3.06741174851,0.00611206941,0.02774638266
12,"gpt-4o-2024-05-13","Democrat","Health",0.01321325841,2.4980805536,0.00284629464,0.02358022219
1,"gpt-3.5-turbo-0125","DW1","Health",-0.00560425176,-0.94694909517,-0.01720374709,0.00599524357
2,"gpt-3.5-turbo-0125","DW1","Health",-0.00202567112,-0.27718021828,-0.01634935719,0.01229801495
3,"gpt-3.5-turbo-0125","DW1","Health",-0.00614673737,-0.88147762864,-0.0198139973,0.00752052256
4,"gpt-3.5-turbo-0125","DW1","Health",-0.00982777227,-1.42935434838,-0.02330384259,0.00364829804
