"combination_id","train_proportion","model","prompt","V","regression","coef_name","coef_mean","coef_sd","bias_mean","bias_norm","mse_mean","coverage_mean"
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","14",0.290509813951381,0.0237980999952333,-0.0273709807506058,-1.15013302558138,0.00131495380106978,0.765
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","15",0.31241978562901,0.0264764423228435,0.0309764866599378,1.16996408664814,0.00165984372187009,0.807
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","19",0.300079745493369,0.0241800950534863,0.0222604773828385,0.92061165738176,0.0010796211731107,0.86
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","20",0.395265258852468,0.0241944911408015,-0.0109021420285898,-0.450604311747828,0.000703644728972303,0.912
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","3",0.315055734864136,0.0310387355377188,-0.0117324839296929,-0.377994906249817,0.00110009087983717,0.928
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","Other",0.31229118272138,0.00823212756463936,-0.000363904127254532,-0.0442053557111604,6.78325825300876e-05,0.944
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","14",0.324106800413709,0.35390196553726,0.00622600571172185,0.017592458697623,0.125160117757048,0.94
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","15",0.281768707003163,0.0799913893330928,0.000325408034090554,0.00406803828266464,0.00639232963545965,0.922
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","19",0.281157725260652,0.0742016768310751,0.0033384571501214,0.0449916672061416,0.00551152825184196,0.933
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","20",0.405520593195745,0.0718169143933418,-0.000646807685312388,-0.00900634190115461,0.00515292988396938,0.945
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","3",0.326151287126512,0.0914672094933574,-0.000636931667317053,-0.00696349731062156,0.00835828984403806,0.938
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","Other",0.311837858249763,0.0318849064670116,-0.000817228598871716,-0.0256305785220737,0.00101629847573248,0.946
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","14",0.316810090033021,0.121161089362863,-0.00107070466896593,-0.00883703402302115,0.0146664759745083,0.919
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","15",0.282953658764536,0.0920762821763674,0.001510359795464,0.0164033533909524,0.00847184488439438,0.939
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","19",0.27980443140964,0.0782789605190818,0.0019851632991096,0.0253601131893631,0.00612540893761216,0.94
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","20",0.405081121291242,0.0902306743496952,-0.0010862795898156,-0.0120389168943329,0.00813461302235439,0.945
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","3",0.328280137153594,0.116346231658728,0.00149191835976538,0.0128230913755896,0.0135251349959574,0.914
1,0.05,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","Other",0.313774497895645,0.0408457588503573,0.00111941104701014,0.0274058085470078,0.00166796072113765,0.948
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","14",0.291441005437397,0.0230399518295503,-0.0264397892645897,-1.14756269718754,0.0012293709972836,0.778
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","15",0.313459739288617,0.027252171824612,0.0320164403195447,1.17482160781879,0.00176699063902398,0.802
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","19",0.301397818937881,0.0240238803405351,0.0235785508273511,0.981463048147449,0.00113251773890771,0.837
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","20",0.395747055306333,0.0243100970581349,-0.0104203455747246,-0.428642697304151,0.000698973440053646,0.907
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","3",0.314959924830497,0.0301317817563299,-0.0118282939633315,-0.392552091973342,0.00104692488562227,0.938
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","Other",0.312205650396396,0.008079610126086,-0.00044943645223854,-0.0556260073474931,6.54168128143627e-05,0.952
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","14",0.323202710623622,0.111257853885449,0.00532191592163483,0.0478340695580402,0.0123942545302216,0.95
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","15",0.279666076513308,0.0569802505760886,-0.00177722245576409,-0.0311901481266896,0.0032466607264154,0.957
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","19",0.275591543303512,0.053633971567535,-0.00222772480701779,-0.0415357047391629,0.00287868906101684,0.936
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","20",0.408971003462406,0.0547631661796775,0.00280360258134859,0.0511950417941504,0.00300386555308709,0.937
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","3",0.322452749571967,0.0643076849407153,-0.00433546922186213,-0.0674175913167914,0.00415013915746559,0.947
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","alpha_star","Other",0.313099669908197,0.0233586124919356,0.000444583059562748,0.019032939551364,0.000545276806867713,0.949
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","14",0.317377163543449,0.0858833913578255,-0.00050363115853759,-0.00586412751726647,0.00736883459855414,0.925
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","15",0.279712825868154,0.0657216865916349,-0.00173047310091869,-0.0263303209436951,0.00431801528551363,0.943
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","19",0.276520807400525,0.0561672164224478,-0.00129846071000566,-0.0231177685616394,0.00315328744466087,0.938
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","20",0.404312445635424,0.0680237542639892,-0.00185495524563395,-0.0272692277235268,0.00462604477198672,0.934
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","3",0.322260524105538,0.0776214614150516,-0.00452769468829052,-0.0583304488958328,0.0060395662001265,0.945
2,0.1,"gpt-3.5-turbo-0125",1,"Senate","train_V_Yhuman","Other",0.313720868578385,0.0288952118135417,0.00106578172975055,0.0368843715916654,0.000835234223179162,0.951
3,0.25,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","14",0.292536154448439,0.022301425198822,-0.0253446402535474,-1.13645832172583,0.00113920700191449,0.808
3,0.25,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","15",0.314475455560274,0.0269333326276835,0.0330321565912018,1.22644148972673,0.00181580237109269,0.786
3,0.25,"gpt-3.5-turbo-0125",1,"Senate","5k_V_Yllm","19",0.300307853122109,0.0236366677646074,0.0224885850115792,0.951427893116675,0.00106386982677444,0.861
