"combination_id","train_proportion","model","prompt","V","Y","regression","coef_name","coef_mean","coef_sd","bias_mean","bias_norm","mse_mean","coverage_mean"
1,0.05,"gpt-3.5-turbo-0125",1,"Senate",3,"5k_Yllm_V","(Intercept)",0.0431436759750387,0.00342931839066341,-0.0271242203798142,-7.90950774756348,0.000747477675724957,0
1,0.05,"gpt-3.5-turbo-0125",1,"Senate",3,"5k_Yllm_V","V",-0.000334550458206822,0.00603847282406595,-0.00359142532455944,-0.594757222429824,4.93432583318465e-05,0.901
1,0.05,"gpt-3.5-turbo-0125",1,"Senate",3,"Ytilde_V","(Intercept)",0.0703339632372527,0.0175192230366749,6.60668823998641e-05,0.00377110801441131,0.000306774079053809,0.93
1,0.05,"gpt-3.5-turbo-0125",1,"Senate",3,"Ytilde_V","V",0.0022235369243539,0.028566651663607,-0.00103333794199872,-0.0361728757772183,0.000816713347778598,0.937
1,0.05,"gpt-3.5-turbo-0125",1,"Senate",3,"train_Yhuman_V","(Intercept)",0.0698750322778295,0.0196362816793164,-0.000392864077023403,-0.0200070503896478,0.00038554510859338,0.936
1,0.05,"gpt-3.5-turbo-0125",1,"Senate",3,"train_Yhuman_V","V",0.00328034180236289,0.0360776959149973,2.34669360102673e-05,0.000650455507623262,0.00130094989316083,0.939
2,0.1,"gpt-3.5-turbo-0125",1,"Senate",3,"5k_Yllm_V","(Intercept)",0.0433407376226561,0.00335789998134921,-0.0269271587321968,-8.01904728602947,0.000736341731927526,0
2,0.1,"gpt-3.5-turbo-0125",1,"Senate",3,"5k_Yllm_V","V",-0.000407474148864227,0.00590860595623692,-0.00366434901521685,-0.620171499395537,4.8321622239226e-05,0.909
2,0.1,"gpt-3.5-turbo-0125",1,"Senate",3,"Ytilde_V","(Intercept)",0.0702735345411365,0.0115939760562032,5.63818628362714e-06,0.000486303081556779,0.000134353102440563,0.955
2,0.1,"gpt-3.5-turbo-0125",1,"Senate",3,"Ytilde_V","V",0.00197079461295412,0.0208013457372699,-0.0012860802533985,-0.061826781288204,0.000434133638907377,0.947
2,0.1,"gpt-3.5-turbo-0125",1,"Senate",3,"train_Yhuman_V","(Intercept)",0.0705436758813331,0.0137124919870666,0.00027577952648021,0.0201115542485145,0.000188014474624344,0.945
2,0.1,"gpt-3.5-turbo-0125",1,"Senate",3,"train_Yhuman_V","V",0.00209355942642819,0.0244734061845227,-0.00116331543992443,-0.0475338590449304,0.000600001439280265,0.951
3,0.25,"gpt-3.5-turbo-0125",1,"Senate",3,"5k_Yllm_V","(Intercept)",0.0432267883067103,0.00348685157917847,-0.0270411080481426,-7.755164633223,0.000743373579339575,0
