question,model,month,year,batch_id
1,gpt-5-mini,jan,19,batch_692499c5316481908bcd0159aa0d4269
1,gpt-5-nano,jan,19,batch_692499d6976c81908903291b34514fa9
1,gpt-5-mini,feb,19,batch_69249b799cc4819096cd5fa9f64a8906
1,gpt-5-mini,mar,19,batch_69249b874e248190a997b43c0568d05b
1,gpt-5-mini,apr,19,batch_69249b969b308190924fb518e40988f2
1,gpt-5-nano,feb,19,batch_69249ba797c08190a7a6064ad6ccb3d5
1,gpt-5-nano,mar,19,batch_69249bb701a4819097a9ed4e1004ad9f
1,gpt-5-nano,apr,19,batch_69249bc5d3a881908891f170fa7d968f
1,gpt-5-mini,may,19,batch_6924b02a2e608190852a882a6d183cec
1,gpt-5-mini,jun,19,batch_6924b038148881909100bae582f87b6d
1,gpt-5-mini,jul,19,batch_6924b06e1bd881908228213cddce0996
1,gpt-5-mini,aug,19,batch_6924b081e3a081909bd3cd7a0280ed89
1,gpt-5-nano,may,19,batch_6924b0a10e708190af86fadf3ef7fe26
1,gpt-5-nano,jun,19,batch_6924b0acb3348190b275f63c995ead07
1,gpt-5-nano,jul,19,batch_6924b0bf1750819091f21527eefb06ae
1,gpt-5-nano,aug,19,batch_6924b0d1b8748190a4e0df3da4735e1d
1,gpt-5-mini,sep,19,batch_6924b8dcce748190af3a0c5b16b36e11
1,gpt-5-mini,octfirst,19,batch_6924b8ed80888190b405ce6121b498b8
1,gpt-5-mini,octsecond,19,batch_6924b8ff194c8190b43a601790526268
1,gpt-5-mini,nov,19,batch_6924b914e3508190932d5a8f8609843e
1,gpt-5-mini,dec,19,batch_6924b926250c819093215e934a2b274d
1,gpt-5-nano,sep,19,batch_6924b93778b88190aa997ec616d15481
1,gpt-5-nano,octfirst,19,batch_6924b94895a4819097e08bee996bf44c
1,gpt-5-nano,octsecond,19,batch_6924b95910908190aa4a91bb8e6e5127
1,gpt-5-nano,nov,19,batch_6924b9724bcc81909152ffe72cd5db22
1,gpt-5-nano,dec,19,batch_6924b98406808190b15cb7e0aa134c18
2,gpt-5-mini,jan,19,batch_6924e0a113148190866d6e31f29c975e
2,gpt-5-mini,feb,19,batch_6924e0b5a49c81908cffb537a5837595
2,gpt-5-mini,mar,19,batch_6924e0c334e88190a11be7ed44e99252
2,gpt-5-nano,jan,19,batch_6924e10c2efc81908c23f68fbadafcf7
